kept_index,curve_id,doi,doi_dir,top_dir,figure_folder,figure_label,figure_short,panel_letter,series_id,legend_hint,csv_path,max_x_hours,abs_max_pce,pce_at_200h,norm_pce_at_200h,delta_pce_rel_pct,max_pce_source,max_pce_bin,max_pce_bin_index,max_pce_bin_absolute,max_pce_bin_absolute_index,som_cluster_id,som_coord
1236,1261,10.1021/acs.jpclett.1c02371,10.1021_acs.jpclett.1c02371,x_time_h,Fig5_A_stability_performance_curve_pce,Fig5_A,Fig5,_A,Series_2,SnO₂,x_time_h/10.1021_acs.jpclett.1c02371/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acs.jpclett.1c02371__Fig5__A__stability_performance_curve_pce__SnO₂__Series_2.csv,990.904119551883,1.0413132866168169,1.0413132866168169,0.9969881176948547,0.30118823051452637,pre-normalised,Q4,3,n/a,-1,0,"(0,0)"
1237,1262,10.1021/acs.jpclett.8b03194,10.1021_acs.jpclett.8b03194,x_time_h,Fig4_A_stability_performance_curve_pce,Fig4_A,Fig4,_A,Series_2,0%Csl,x_time_h/10.1021_acs.jpclett.8b03194/Fig4_A_stability_performance_curve_pce/accepted/10.1021_acs.jpclett.8b03194__Fig4__A__stability_performance_curve_pce__0%Csl__Series_2.csv,1426.2123567552587,0.9641158809362993,0.8377624674572438,0.8690083026885986,13.099169731140137,pre-normalised,Q1,0,n/a,-1,0,"(0,0)"
1238,1263,10.1021/acs.jpclett.8b03194,10.1021_acs.jpclett.8b03194,x_time_h,Fig4_A_stability_performance_curve_pce_2,Fig4_A,Fig4,_A,Series_2,0%_CsI,x_time_h/10.1021_acs.jpclett.8b03194/Fig4_A_stability_performance_curve_pce_2/accepted/10.1021_acs.jpclett.8b03194__Fig4__A__stability_performance_curve_pce_2__0%_CsI__Series_2.csv,1410.4238135005935,0.9693526922364114,0.8325179958970901,0.8756954073905945,12.430459022521973,pre-normalised,Q1,0,n/a,-1,0,"(0,0)"
1239,1264,10.1021/acs.jpclett.9b03414,10.1021_acs.jpclett.9b03414,x_time_h,Fig5_H_stability,Fig5_H,Fig5,_H,Series_1,n=5,x_time_h/10.1021_acs.jpclett.9b03414/Fig5_H_stability/accepted/10.1021_acs.jpclett.9b03414__Fig5__H__stability__n=5__Series_1.csv,1017.9440253109829,0.9892764326225899,0.946809756603535,0.9570332765579224,4.296672344207764,pre-normalised,Q1,0,n/a,-1,0,"(0,0)"
1240,1265,10.1021/acs.jpclett.9b03414,10.1021_acs.jpclett.9b03414,x_time_h,Fig5_H_stability,Fig5_H,Fig5,_H,Series_4,n=∞,x_time_h/10.1021_acs.jpclett.9b03414/Fig5_H_stability/accepted/10.1021_acs.jpclett.9b03414__Fig5__H__stability__n=∞__Series_4.csv,1031.1451097430656,1.0056097695529957,0.9402764218313726,0.9415349364280701,5.846506118774414,pre-normalised,Q4,3,n/a,-1,0,"(0,0)"
1241,1266,10.1021/acs.nanolett.8b04190,10.1021_acs.nanolett.8b04190,x_time_h,Fig5_A_stability_performance_curve_pce,Fig5_A,Fig5,_A,Series_1,metal_electrode_(Ag),x_time_h/10.1021_acs.nanolett.8b04190/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acs.nanolett.8b04190__Fig5__A__stability_performance_curve_pce__metal_electrode_(Ag)__Series_1.csv,244.3402317062738,1.00099388198393,0.6794555502281464,0.6814697980880737,31.85301971435547,pre-normalised,Q2,1,n/a,-1,1,"(0,1)"
1242,1267,10.1021/acs.nanolett.8b04190,10.1021_acs.nanolett.8b04190,x_time_h,Fig5_A_stability_performance_curve_pce,Fig5_A,Fig5,_A,Series_2,bare_CNT,x_time_h/10.1021_acs.nanolett.8b04190/Fig5_A_stability_performance_curve_pce/accepted/10.1021_acs.nanolett.8b04190__Fig5__A__stability_performance_curve_pce__bare_CNT__Series_2.csv,241.56051999333033,1.00099388198393,0.8479726277146112,0.8502124547958374,14.978754043579102,pre-normalised,Q2,1,n/a,-1,2,"(1,0)"
1243,1268,10.1021/acs.nanolett.9b04661,10.1021_acs.nanolett.9b04661,x_time_h,Fig4_H_stability_performance_curve_pce,Fig4_H,Fig4,_H,Series_2,3D,x_time_h/10.1021_acs.nanolett.9b04661/Fig4_H_stability_performance_curve_pce/accepted/10.1021_acs.nanolett.9b04661__Fig4__H__stability_performance_curve_pce__3D__Series_2.csv,687.0821046788568,0.8901542646175402,0.6008075090508184,0.7006855607032776,29.93144416809082,pre-normalised,Q1,0,n/a,-1,2,"(1,0)"
1244,1269,10.1021/acs.nanolett.9b04661,10.1021_acs.nanolett.9b04661,x_time_h,Fig4_H_stability_performance_curve_pce,Fig4_H,Fig4,_H,Series_3,3D_2D,x_time_h/10.1021_acs.nanolett.9b04661/Fig4_H_stability_performance_curve_pce/accepted/10.1021_acs.nanolett.9b04661__Fig4__H__stability_performance_curve_pce__3D_2D__Series_3.csv,697.8507790756287,0.9953712666418028,0.7699062623040973,0.8105615377426147,18.943845748901367,pre-normalised,Q1,0,n/a,-1,2,"(1,0)"
1245,1270,10.1021/acsaelm.1c00084,10.1021_acsaelm.1c00084,x_time_h,Fig2_F_stability_performance_curve_pce,Fig2_F,Fig2,_F,Series_1,一with_α-terpineol,x_time_h/10.1021_acsaelm.1c00084/Fig2_F_stability_performance_curve_pce/accepted/10.1021_acsaelm.1c00084__Fig2__F__stability_performance_curve_pce__一with_α-terpineol__Series_1.csv,501.75854185680623,100.56859866527854,93.36925927607196,0.9324221611022949,6.757783889770508,absolute,Q5,4,Q5,4,0,"(0,0)"
