drop_fraction,repeat,n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,ari,ari_assigned,vi,common_assigned_fraction,n_overlap
0.1,25,79,2,0.0759493670886076,"[8, 65]",0.12307692307692308,0.7564368312821432,0.8432867415474353,0.2222587611868827,481.8171115655223,0.9697025420953725,1.0,0.20242716856864962,0.8860759493670886,79
0.1,26,79,2,0.06329113924050633,"[7, 67]",0.1044776119402985,0.8471127685028175,0.8859144570723783,0.22593553627695023,524.1418589207552,0.8800231507345446,1.0,0.241339256114247,0.8987341772151899,79
0.1,27,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,28,79,2,0.11392405063291139,"[6, 64]",0.09375,0.48192606834915075,0.7446889266675586,0.3790586862105633,152.6507438464005,0.9463254444570264,1.0,0.10514106418714775,0.8860759493670886,79
0.1,29,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,30,79,2,0.0759493670886076,"[7, 66]",0.10606060606060606,0.26889995380865034,0.7164170980595258,0.40331611205838735,153.28052936376756,0.9353005851356642,1.0,0.17642823008375874,0.8987341772151899,79
0.1,31,79,2,0.06329113924050633,"[9, 65]",0.13846153846153847,0.4756067722797922,0.720984976575085,0.3747218417183976,202.79919843844974,0.9749831023433304,1.0,0.13950801797363432,0.8987341772151899,79
0.1,32,79,2,0.0759493670886076,"[8, 65]",0.12307692307692308,0.5269236250858842,0.7428729982315094,0.37056090343050774,228.23542878750294,0.9818215252572235,1.0,0.11389066220127697,0.8987341772151899,79
0.1,33,79,2,0.06329113924050633,"[9, 65]",0.13846153846153847,0.6197811852241295,0.7096446638780699,0.5022226817382027,152.14432357326166,0.9749831023433304,1.0,0.13950801797363432,0.8987341772151899,79
0.1,34,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,35,79,2,0.0759493670886076,"[7, 66]",0.10606060606060606,0.6225878059148192,0.834411032108401,0.335993593860618,313.20913599317356,0.9214364248075922,1.0,0.27821152490086665,0.8860759493670886,79
0.1,36,79,2,0.05063291139240506,"[9, 66]",0.13636363636363635,0.6460437380578615,0.8556174599409616,0.2553556369809244,575.8350372871663,0.9212988980012562,1.0,0.2367745059257701,0.8987341772151899,79
0.1,37,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,38,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,39,79,2,0.0379746835443038,"[10, 66]",0.15151515151515152,0.8175672356272952,0.8977195091261878,0.19540020190418197,1111.0930667318592,0.9165232940921468,1.0,0.2494515838427227,0.8987341772151899,79
0.1,40,79,2,0.10126582278481013,"[6, 65]",0.09230769230769231,0.5050757865750471,0.7122924559284237,0.46047219133990897,128.85161779939114,0.9818215252572235,1.0,0.14474755805694417,0.8860759493670886,79
0.1,41,79,2,0.0759493670886076,"[8, 65]",0.12307692307692308,0.6183017260093233,0.7776718290558544,0.30961302901136234,289.00965713456105,0.9818215252572235,1.0,0.11389066220127697,0.8987341772151899,79
0.1,42,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,43,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,44,79,2,0.3037974683544304,"[8, 47]",0.1702127659574468,0.43562213031455554,0.6125482051304596,0.36522029717786997,72.14273357470864,-0.0016893160299530912,-0.1037973346478179,1.3130373531800092,0.6708860759493671,79
0.1,45,79,2,0.12658227848101267,"[6, 63]",0.09523809523809523,0.5864334239315683,0.8104200604892011,0.32738556731557467,222.65889866586994,0.8869174020417473,0.8856911925296004,0.27993339092971203,0.8734177215189873,79
0.1,46,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
0.1,47,79,2,0.08860759493670886,"[7, 65]",0.1076923076923077,0.5286340169167303,0.7264682877968749,0.47801938127033033,147.74895557084275,0.9750117539844962,1.0,0.18051581972485953,0.8860759493670886,79
0.1,48,79,2,0.0759493670886076,"[8, 65]",0.12307692307692308,0.560393851748907,0.7628703231944234,0.32371697937357785,256.5669506187044,0.9818215252572235,1.0,0.11389066220127697,0.8987341772151899,79
0.1,49,79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
