drop_fraction,repeat,cp_f1,cp_count,cp_times,sample_id,cluster
0.05,6,1.0,1,[48.703090835164744],S0008,-1
0.05,7,1.0,1,[48.703090835164744],S0008,-1
0.05,8,1.0,1,[48.703090835164744],S0008,-1
0.05,9,1.0,1,[58.44370900219769],S0008,-1
0.05,10,1.0,1,[48.703090835164744],S0008,-1
0.05,11,1.0,1,[48.703090835164744],S0008,-1
0.05,12,1.0,1,[48.703090835164744],S0008,-1
0.05,13,1.0,1,[48.703090835164744],S0008,-1
0.05,14,1.0,1,[48.703090835164744],S0008,-1
0.05,15,1.0,1,[48.703090835164744],S0008,-1
0.05,16,1.0,1,[48.703090835164744],S0008,-1
0.05,17,1.0,1,[48.703090835164744],S0008,-1
0.05,18,1.0,1,[48.703090835164744],S0008,-1
0.05,19,1.0,1,[48.703090835164744],S0008,-1
0.05,20,1.0,1,[48.703090835164744],S0008,-1
0.05,21,1.0,1,[48.703090835164744],S0008,-1
0.05,22,1.0,1,[48.703090835164744],S0008,-1
0.05,23,1.0,1,[68.18432716923064],S0008,-1
0.05,24,1.0,1,[48.703090835164744],S0008,-1
0.05,25,1.0,1,[48.703090835164744],S0008,-1
0.05,26,1.0,1,[48.703090835164744],S0008,-1
0.05,27,1.0,1,[48.703090835164744],S0008,-1
0.05,28,1.0,1,[48.703090835164744],S0008,-1
0.05,29,1.0,1,[48.703090835164744],S0008,-1
0.05,30,1.0,1,[48.703090835164744],S0008,-1
0.05,31,1.0,1,[48.703090835164744],S0008,-1
0.05,32,1.0,1,[58.44370900219769],S0008,-1
0.05,33,1.0,1,[48.703090835164744],S0008,-1
0.05,34,1.0,1,[48.703090835164744],S0008,-1
0.05,35,1.0,1,[48.703090835164744],S0008,-1
0.05,36,1.0,1,[58.44370900219769],S0008,-1
0.05,37,1.0,1,[48.703090835164744],S0008,-1
0.05,38,1.0,1,[48.703090835164744],S0008,-1
0.05,39,1.0,1,[48.703090835164744],S0008,-1
0.05,40,1.0,1,[68.18432716923064],S0008,-1
0.05,41,1.0,1,[48.703090835164744],S0008,-1
0.05,42,1.0,1,[48.703090835164744],S0008,-1
0.05,43,1.0,1,[48.703090835164744],S0008,-1
0.05,44,1.0,1,[68.18432716923064],S0008,-1
0.05,45,1.0,1,[48.703090835164744],S0008,-1
0.05,46,1.0,1,[68.18432716923064],S0008,-1
0.05,47,1.0,1,[48.703090835164744],S0008,-1
0.05,48,1.0,1,[48.703090835164744],S0008,-1
0.05,49,1.0,1,[48.703090835164744],S0008,-1
0.1,0,1.0,1,[68.18432716923064],S0008,-1
0.1,1,1.0,1,[48.703090835164744],S0008,-1
0.1,2,1.0,1,[68.18432716923064],S0008,-1
0.1,3,1.0,1,[68.18432716923064],S0008,-1
0.1,4,1.0,1,[48.703090835164744],S0008,-1
0.1,5,1.0,1,[48.703090835164744],S0008,-1
0.1,6,1.0,1,[58.44370900219769],S0008,-1
0.1,7,1.0,1,[48.703090835164744],S0008,-1
0.1,8,1.0,1,[68.18432716923064],S0008,-1
0.1,9,1.0,1,[48.703090835164744],S0008,-1
0.1,10,1.0,1,[68.18432716923064],S0008,-1
