curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours
图片17_9cc1fbc4c1,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_1__Series_1.csv,图片17,samples_test__unknown__unknown__图片17__Series_1__Series_1,Time,(h),Stabilized output power,(Norm.),,50,0,,,
图片17_b497897586,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片17/accepted/samples_test__unknown__unknown__图片17__Series_2__Series_2.csv,图片17,samples_test__unknown__unknown__图片17__Series_2__Series_2,Time,(h),Stabilized output power,(Norm.),,51,0,,,
图片171_25f7b9ba11,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片171/accepted/samples_test__unknown__unknown__图片171__Series_1__Series_1.csv,图片171,samples_test__unknown__unknown__图片171__Series_1__Series_1,,,,,,25,0,,,
图片171_18254ce7dd,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片171/accepted/samples_test__unknown__unknown__图片171__Series_2__Series_2.csv,图片171,samples_test__unknown__unknown__图片171__Series_2__Series_2,,,,,,101,0,,,
图片175_5c5c4c8b1c,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片175/accepted/samples_test__unknown__unknown__图片175__Series_1__Series_1.csv,图片175,samples_test__unknown__unknown__图片175__Series_1__Series_1,,,Normalized PCE,,,43,0,,,
图片175_1e0feec90c,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片175/accepted/samples_test__unknown__unknown__图片175__Series_2__Series_2.csv,图片175,samples_test__unknown__unknown__图片175__Series_2__Series_2,,,Normalized PCE,,,15,0,,,
图片181_bbb32f8ae8,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片181/accepted/samples_test__unknown__unknown__图片181__SnO2-SSSO__Series_2.csv,图片181,samples_test__unknown__unknown__图片181__SnO2-SSSO__Series_2,UV Exposure Time,(hours),Normalized PCE,,1.0,36,0,0.0180913696998974,27.766872132758643,27.748780763058747
图片181_cc34bace05,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片181/accepted/samples_test__unknown__unknown__图片181__SnO2__Series_1.csv,图片181,samples_test__unknown__unknown__图片181__SnO2__Series_1,UV Exposure Time,(hours),Normalized PCE,,1.0,36,0,-0.0611908610516991,27.687589902007048,27.748780763058747
图片184_6dd94ccd86,False,time_unit_not_explicit_hour_or_day,lab-v2/som_references/accepted/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__OCT-doped__Series_2.csv,图片184,samples_test__unknown__unknown__图片184__OCT-doped__Series_2,Time,( h),PCE,( %),,48,0,,,
图片184_507faa5323,False,time_unit_not_explicit_hour_or_day,lab-v2/som_references/accepted/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__Pristine__Series_1.csv,图片184,samples_test__unknown__unknown__图片184__Pristine__Series_1,Time,( h),PCE,( %),,37,0,,,
