curve_id,n_time_points,time_start_h,time_end_h,max_abs_before_normalization,max_abs_after_normalization,all_finite_after_smoothing
图片132_55073daea0,900,0.16666666666666666,150.0,0.9925362827369292,1.0,True
图片135_416420e73b,900,0.16666666666666666,150.0,1.0006783941067179,1.0,True
图片135_d4e290896b,900,0.16666666666666666,150.0,0.9962285976244789,1.0,True
图片136_2e27e42dd3,900,0.16666666666666666,150.0,1.0173064013610427,1.0,True
图片136_4d4220d0f1,900,0.16666666666666666,150.0,1.065868555800956,1.0,True
图片141_7315da2cdf,900,0.16666666666666666,150.0,1.005207206050539,1.0,True
图片141_939b548eee,900,0.16666666666666666,150.0,1.002619601281597,1.0,True
图片141_a8a78a6cbb,900,0.16666666666666666,150.0,1.0125698547414066,1.0,True
图片141_c22163c53e,900,0.16666666666666666,150.0,1.0053883821139424,1.0,True
图片157_4e9fe149dd,900,0.16666666666666666,150.0,23.825980168142515,1.0,True
图片159_41ff697bee,900,0.16666666666666666,150.0,1.001487547762948,1.0,True
图片159_c223572492,900,0.16666666666666666,150.0,1.003152302649803,1.0,True
图片160_68218de2a7,900,0.16666666666666666,150.0,1.0144873991123198,1.0,True
图片160_d690ea710f,900,0.16666666666666666,150.0,1.004305373637008,1.0,True
图片162_44a16a7876,900,0.16666666666666666,150.0,1.0386819586015614,1.0,True
图片162_d2a80a5e00,900,0.16666666666666666,150.0,0.9650746992775658,1.0,True
图片162_d9ab854a2e,900,0.16666666666666666,150.0,1.0214160423953067,1.0,True
图片172_00449ea194,900,0.16666666666666666,150.0,0.9936531023436191,1.0,True
图片172_1500c740de,900,0.16666666666666666,150.0,1.0045554803708951,1.0,True
图片172_7ed83eec00,900,0.16666666666666666,150.0,0.9731279121633433,1.0,True
图片180_b28007d4ae,900,0.16666666666666666,150.0,1.0025449015646373,1.0,True
图片180_d5cbad9ce6,900,0.16666666666666666,150.0,1.0090111295038924,1.0,True
图片183_3ad46164c8,900,0.16666666666666666,150.0,1.002687067702064,1.0,True
图片183_dc8e592d8b,900,0.16666666666666666,150.0,0.9875839666096051,1.0,True
图片190_46e98c994b,900,0.16666666666666666,150.0,18.695219338913393,1.0,True
图片193_0c17e012f8,900,0.16666666666666666,150.0,15.66075033960085,1.0,True
图片197_80552e30c2,900,0.16666666666666666,150.0,22.169653491841665,1.0,True
