n_nodes,topology,sigma,learning_rate,iterations,seed,qe,te,target_node,target_node_size,target_target_count,target_precision,target_recall,target_f1,target_centroid_rise_then_fall_broad,target_centroid_rise_then_fall_core,target_centroid_peak_time_h,target_centroid_initial_gain,target_centroid_post_peak_drop,screen_score
7,1x7,0.5,0.3,20000,42,1.1062478988834645,0.06241331484049931,1,325,17,0.052307692307692305,0.30357142857142855,0.08923884514435694,False,False,0.0,0.0,0.18415800268051008,0.10584744455020045
16,4x4,0.8,0.05,20000,42,0.7644524236870026,0.16990291262135923,14,86,8,0.09302325581395349,0.14285714285714285,0.11267605633802816,False,False,0.0,0.0,0.17497391965992293,0.10567357634177155
6,2x3,0.5,0.3,20000,42,1.1422842488479845,0.0,5,327,17,0.05198776758409786,0.30357142857142855,0.08877284595300261,False,False,0.0,0.0,0.1843838128065889,0.10551846753744495
7,1x7,0.3,0.1,20000,42,1.1084123712201766,0.7968099861303745,3,334,17,0.05089820359281437,0.30357142857142855,0.08717948717948718,False,False,0.0,0.0,0.17754849410804507,0.10439491895330219
9,3x3,0.5,0.3,20000,42,1.0521112309858194,0.15048543689320387,5,300,16,0.05333333333333334,0.2857142857142857,0.0898876404494382,False,False,0.0,0.0,0.1799336968545011,0.10380096308186196
16,4x4,0.05,0.3,20000,42,0.7823106228733779,0.6220527045769764,15,306,16,0.05228758169934641,0.2857142857142857,0.08839779005524862,False,False,0.0,0.0,0.08458459176683297,0.10274231239457107
16,4x4,0.1,0.3,20000,42,0.7823106228733779,0.6220527045769764,15,306,16,0.05228758169934641,0.2857142857142857,0.08839779005524862,False,False,0.0,0.0,0.08458459176683297,0.10274231239457107
16,4x4,0.3,0.3,20000,42,0.7843240583586344,0.7191400832177531,13,309,16,0.05177993527508091,0.2857142857142857,0.08767123287671233,False,False,0.0,0.0,0.08533194124128651,0.10222673987802328
8,2x4,0.5,0.3,20000,42,1.0996054211578379,0.0,7,316,16,0.05063291139240506,0.2857142857142857,0.08602150537634409,False,False,0.0,0.0,0.18207682192478658,0.10105776896303642
5,1x5,0.5,0.1,20000,42,1.1992525388453559,0.2787794729542302,2,350,16,0.045714285714285714,0.2857142857142857,0.07881773399014778,False,False,0.0,0.0,0.18467928078798912,0.09598029556650245
