window,T_h,id,duration_covers,n_original_in_window,included,reason
coverage090,47.80591738392364,C063,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C064,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C065,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C075,True,13,True,included
coverage090,47.80591738392364,C076,True,13,True,included
coverage090,47.80591738392364,C077,True,13,True,included
coverage090,47.80591738392364,C080,True,7,True,included
coverage090,47.80591738392364,C081,True,7,True,included
coverage090,47.80591738392364,C082,False,36,False,duration_short
coverage090,47.80591738392364,C083,False,36,False,duration_short
coverage090,47.80591738392364,C084,True,10,True,included
coverage090,47.80591738392364,C085,True,10,True,included
coverage090,47.80591738392364,C086,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C087,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C088,True,25,True,included
coverage090,47.80591738392364,C089,True,25,True,included
coverage090,47.80591738392364,C090,True,25,True,included
coverage090,47.80591738392364,C091,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C092,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C093,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C094,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C095,True,5,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C096,True,19,True,included
coverage090,47.80591738392364,C099,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C100,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C103,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C104,True,4,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C105,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C106,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C109,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C110,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C118,True,5,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C124,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C125,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C126,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C127,True,6,True,included
coverage090,47.80591738392364,C128,True,6,True,included
coverage090,47.80591738392364,C129,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C130,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C134,True,9,True,included
coverage090,47.80591738392364,C135,True,9,True,included
coverage090,47.80591738392364,C136,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C137,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C138,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C139,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C140,True,2,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C141,True,3,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C150,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C151,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C152,True,1,False,fewer_than_6_original_points_in_window
coverage090,47.80591738392364,C153,True,3,False,fewer_than_6_original_points_in_window
