id,normalization,raw_sd,raw_IQR,normalized_sd,derivative_rms
C154,y0,0.05508935643469397,0.025002524132524684,0.055366371327049566,0.000887271432220058
C165,y0,0.020022349054427575,0.026303068792764672,0.02003973982941588,0.00026804166651723263
C166,y0,0.022126682891929438,0.03039465727163937,0.022171843382515082,0.00034926233674114726
C167,y0,0.029934873265901468,0.026887581432603946,0.030137182387387225,0.001143788424311279
C172,y0,0.11626225401331816,0.20195835846622323,0.11827584543913916,0.0010384794596432015
C173,y0,0.0066635687180979265,0.010423657211160009,0.006672837626525343,0.00017105007949617867
C174,y0,0.008774910291273447,0.003581317726194966,0.008708135683538547,0.0001583517426077225
C175,y0,0.019139164273245454,0.0196972474940732,0.019061265572740155,0.00028474573262051806
C176,y0,0.004539727480370417,0.003581317726195188,0.0045374340972587504,0.00012135018266432259
C177,y0,0.029980634897870655,0.016185260479127384,0.029967929044203753,0.0004801432303898761
C178,y0,0.07257656322733026,0.1059398867724689,0.07520024829432406,0.0011502439454489871
C179,y0,0.46437995199644816,0.715899235236197,0.019787658506064353,0.00015249927283960402
C180,y0,0.12202117798354335,0.2078417134556716,0.004946331794021616,3.734540371108363e-05
C181,y0,0.1484858355042894,0.2540287608902645,0.006110646985432762,4.427316622853338e-05
C182,y0,0.03333440489165755,0.033255010708934996,0.03332591704110534,0.00041694332012703525
C183,y0,0.0034795274861268125,0.0037885455238027,0.003469879869616915,5.105969904602529e-05
C186,y0,0.05958588943431608,0.03901678870984138,0.0692136500088042,0.0014990500321899974
C191,y0,0.7204115450879832,0.5699926357187692,0.030111616295188753,0.0008513376728635964
C192,y0,0.005195176594326939,0.008303667296353012,0.005175499671393893,9.593037918899907e-05
C193,y0,0.050285126916510874,0.09549217390805897,0.05126078095794817,0.0003899772323107192
C194,y0,0.06084537115833649,0.10519209474676094,0.06049220102557433,0.0005009866329542668
C195,y0,0.001482847436087349,0.0,0.001467708703572227,9.425809966339018e-05
C197,y0,0.06118681158038416,0.09485474990701093,0.002954702175408412,7.752067817361929e-05
C198,y0,0.07045622068648263,0.14228212486052172,0.0032041833485379058,0.00010063208949102305
C199,y0,0.09613662898415604,0.14228212486052172,0.004400542369246613,0.00010648504994951873
C202,y0,0.02061392061055846,0.03919700602207099,0.019996599891892553,0.0003347108966274333
C216,y0,0.309847133436374,0.16770730693823488,0.025177799113324604,0.0009361084995236805
C005,ymax,0.03984878469181275,0.06851892134689219,0.03996049656689958,0.0008032352095577363
C006,ymax,0.02048921912740842,0.027733849116599152,0.020413077250499935,0.00025104216532259425
C007,ymax,0.21171369352039845,0.30983270827248677,0.2098871912017158,0.0019967468963576203
C008,ymax,0.019145955301080684,0.023561422682318423,0.019250573481612212,0.0008458411958861547
C009,ymax,0.08519445394283665,0.07191537502092027,0.08527796123344487,0.0009987141027245194
C010,ymax,0.07956101779470919,0.08327043423474956,0.07786885881639706,0.0008236028773985248
C014,ymax,0.0614817094492426,0.0716283667727482,0.06120927504171509,0.0006340476551956125
C015,ymax,0.10978674983280258,0.08426065495806223,0.11248733350063307,0.0018558364623800473
C016,ymax,0.011767784524240963,0.018724589990680274,0.011540632349505869,0.0004329481080201234
C017,ymax,0.029289488958640204,0.028086884986020744,0.028901021977137446,0.0004074800777371589
C018,ymax,0.08578207272738173,0.06350255463332943,0.08644850689782867,0.0010384682415208383
C019,ymax,0.07872879819418366,0.08536408983496746,0.07770990636668094,0.0008094130190016832
C025,ymax,0.012672922288111517,0.02226688793131737,0.012669367610579008,0.00010471547623464919
C028,ymax,0.7615960780051773,1.2800157144786333,0.03523417967120503,0.00035624004428099913
C029,ymax,0.14429508156326754,0.12190625852177206,0.0057651989401649555,0.00020963254217766698
C030,ymax,0.014583549045465282,0.017092916744568365,0.014483574398000278,0.0001856059803090287
C031,ymax,0.016741685090132286,0.012534805612683386,0.01709113111273681,0.00035888748512874675
C034,ymax,0.037284279749956406,0.040838051376338,0.03730655206777892,0.0003691169106329646
C035,ymax,0.022440372936725277,0.032149104274989404,0.022375962149223223,0.00019535308552038052
C036,ymax,0.08106373210370986,0.06516710326011377,0.08225639417867797,0.0010327355068216993
C037,ymax,0.03524559212033441,0.06495331971717688,0.03518056387815161,0.00033840028043480774
C038,ymax,0.06667316779557458,0.11134854808658912,0.06717230042755552,0.0005511546417841733
C044,ymax,0.0027566715524311703,0.0045120825468896175,0.002766991740331092,0.00011695888732803536
C045,ymax,0.05123046651328344,0.08234550648073446,0.051190418591174444,0.00043564705034205187
C046,ymax,0.09086772104379237,0.1660162255862191,0.08552056524524111,0.0007637915249892196
C047,ymax,0.01763511152884008,0.022376099970316643,0.017253744205050194,0.00027614368220318345
C050,ymax,0.013962913344309857,0.024818518596351313,0.013895088473221162,0.00011321963062918307
C051,ymax,0.0028702147955079337,0.004596021962287367,0.0028355226101197894,4.3261670923595114e-05
C052,ymax,0.005496042900605175,0.011030452709489436,0.005469345864532611,4.872197154339755e-05
C053,ymax,0.007585486029215442,0.01286886149440436,0.007576361102924292,6.915631294685739e-05
C055,ymax,0.1609734771935171,0.3168596004041184,0.006640645682225507,0.00017656454798018473
C056,ymax,0.06232872143587146,0.111750054048262,0.062232012165203694,0.0004862358614482975
C057,ymax,0.015076335717268269,0.023314759477695013,0.01502881571296182,0.00014637064206868316
C061,ymax,0.03075033806709734,0.0471176675875864,0.03031057260929609,0.000285005717698748
C062,ymax,0.01755466001729924,0.024501187145544945,0.017498657161976655,0.0001698342909171623
C063,ymax,0.1014190606982919,0.1313733811294584,0.1050377732346327,0.001130892822981457
C064,ymax,0.028212421737601027,0.03768908475025479,0.02761744053348427,0.00029928136069388734
C065,ymax,0.011464855880754864,0.020459788864423567,0.011036921623615517,0.00016572793386611365
C086,ymax,0.014883181808304963,0.014702229472390749,0.01475511443421306,0.00018978920389176192
C087,ymax,0.017775488240166185,0.009801486314927277,0.01815168063525749,0.00035137671763109445
