candidate,id,medoid,cluster,path_length,path_length_ratio,max_index_warp,mean_index_warp,max_time_warp_fraction,mean_time_warp_fraction,boundary_fraction,turn_collapse_fraction,turns
M016957,C104,C063,1,30,1.0714285714285714,0.19629629629629627,0.08074074074074074,0.17708267453429266,0.06964708410589814,0.0,0.0,1
M016957,C105,C063,1,21,1.0,0.10454545454545461,0.03636363636363636,0.07796871923388334,0.030143997086355085,0.0,0.0,0
M016957,C106,C063,1,21,1.0,0.1636363636363637,0.06926406926406925,0.1383920595947281,0.04977775824125275,0.0,0.0,0
M016957,C109,C063,1,27,1.2272727272727273,0.15714285714285714,0.07962962962962965,0.1616762443111441,0.0755995508871333,0.0,0.0,0
M016957,C110,C063,1,25,1.1363636363636365,0.17142857142857143,0.07200000000000001,0.1665198890041113,0.07212046734478365,0.0,0.0,1
M016957,C118,C063,1,40,1.0256410256410255,0.14210526315789473,0.059802631578947364,0.14553648997295185,0.0642655908153545,0.0,0.5,2
M016957,C129,C063,1,21,1.0,0.17142857142857143,0.06870748299319729,0.16723216649297057,0.05097568891057188,0.0,0.0,0
M016957,C130,C063,1,21,1.0,0.1642857142857143,0.0707482993197279,0.16723216649297057,0.05135969287365599,0.0,0.0,0
M016957,C139,C063,1,22,1.0476190476190477,0.2,0.09431818181818183,0.21842107000875224,0.10119671056525058,0.045454545454545456,0.0,0
M016957,C140,C063,1,21,1.0,0.09999999999999998,0.03690476190476191,0.10573792334859582,0.04357775350786001,0.0,0.0,0
M016957,C141,C063,1,25,1.1904761904761905,0.1388888888888889,0.07,0.13485373731449538,0.06668411564082674,0.0,0.0,1
M016957,C150,C063,1,21,1.0,0.2,0.08095238095238094,0.2852746724874646,0.1160760491367785,0.047619047619047616,0.0,0
M016957,C151,C063,1,21,1.0,0.2,0.08730158730158731,0.2554146770851822,0.07482561788115481,0.047619047619047616,0.0,1
M016957,C152,C063,1,21,1.0,0.19999999999999996,0.06666666666666667,0.1769922904414526,0.057794024831541294,0.047619047619047616,0.0,0
