sample_index,cluster_neuron_id,cluster_x,cluster_y,cluster_coord,PCE_before,PCE_after,PCE_delta
201,3,1,1,"(1, 1)",8.629973254,2.724212708,68.43312687
202,3,1,1,"(1, 1)",12.54551494,2.969146397,76.33300497
203,3,1,1,"(1, 1)",8.903229124,1.631021275,81.68056496
204,3,1,1,"(1, 1)",10.44657679,1.462983901,85.99556649
205,3,1,1,"(1, 1)",8.912242699,1.299484766,85.41910482
206,3,1,1,"(1, 1)",10.87601358,2.685532903,75.30774595
207,3,1,1,"(1, 1)",9.631192297,1.98014723,79.44026898
208,3,1,1,"(1, 1)",10.79069855,2.36089395,78.12102766
209,0,0,0,"(0, 0)",6.355346426,2.297450588,63.85011242
210,3,1,1,"(1, 1)",10.37661074,4.399156798,57.6050706
211,3,1,1,"(1, 1)",9.344015681,1.999044375,78.60615346
212,3,1,1,"(1, 1)",10.60437652,3.441179568,67.54943996
213,3,1,1,"(1, 1)",11.52967209,2.673734337,76.80997068
214,3,1,1,"(1, 1)",11.31138255,3.388416469,70.04418819
215,3,1,1,"(1, 1)",10.3512882,5.055778127,51.1579812
216,3,1,1,"(1, 1)",10.69736119,5.227265745,51.13499814
217,0,0,0,"(0, 0)",10.94845596,5.616037845,48.70475009
218,0,0,0,"(0, 0)",11.02614298,5.598626415,49.22407206
219,0,0,0,"(0, 0)",11.00855046,5.612921876,49.01307039
220,0,0,0,"(0, 0)",9.119184717,4.944533469,45.77877714
221,3,1,1,"(1, 1)",11.02190205,5.281610148,52.08077404
222,0,0,0,"(0, 0)",10.79462937,5.481553651,49.2196215
223,3,1,1,"(1, 1)",11.52786696,5.472782201,52.52563011
224,3,1,1,"(1, 1)",11.48062367,5.648604715,50.79879913
225,3,1,1,"(1, 1)",12.33051459,6.004662819,51.30241504
226,3,1,1,"(1, 1)",12.15832032,6.030282592,50.4020092
227,0,0,0,"(0, 0)",10.07197461,6.105076049,39.38550994
228,0,0,0,"(0, 0)",11.15952273,6.085010633,45.47248319
229,0,0,0,"(0, 0)",11.02935437,5.621214866,49.03405334
230,0,0,0,"(0, 0)",9.010193854,5.540993185,38.50306358
231,0,0,0,"(0, 0)",12.03150458,6.151758856,48.86957973
232,0,0,0,"(0, 0)",11.7403508,5.976160839,49.09725493
233,0,0,0,"(0, 0)",10.84803021,6.269437314,42.20667537
234,0,0,0,"(0, 0)",10.13888999,5.83278842,42.47113419
235,0,0,0,"(0, 0)",11.81079965,6.257597891,47.01799982
236,0,0,0,"(0, 0)",12.77208212,6.804554554,46.72321639
237,0,0,0,"(0, 0)",12.14881661,6.215247788,48.8407144
238,0,0,0,"(0, 0)",17.11950164,10.16143235,40.64411124
239,0,0,0,"(0, 0)",18.3214717,11.93130288,34.87803229
240,0,0,0,"(0, 0)",14.98203463,10.57244311,29.43252788
241,0,0,0,"(0, 0)",18.49526074,11.31212568,38.83770638
242,0,0,0,"(0, 0)",16.27539527,9.064457127,44.30576353
243,1,0,1,"(0, 1)",19.46721592,14.34378427,26.31825561
244,0,0,0,"(0, 0)",18.40564225,10.88454026,40.86302388
245,0,0,0,"(0, 0)",18.28722215,10.7320716,41.31382276
246,0,0,0,"(0, 0)",18.65466749,10.38802365,44.31407768
247,0,0,0,"(0, 0)",17.11660907,8.668865009,49.35407489
248,0,0,0,"(0, 0)",17.56494715,10.91636285,37.85143354
249,0,0,0,"(0, 0)",18.84365132,10.38163505,44.9064575
250,0,0,0,"(0, 0)",20.31065839,11.8674004,41.57057754
251,0,0,0,"(0, 0)",16.52518334,9.460918612,42.74848019
252,0,0,0,"(0, 0)",14.97753533,8.924761704,40.41234753
253,0,0,0,"(0, 0)",17.49103725,11.82806467,32.37642515
254,0,0,0,"(0, 0)",19.84302593,11.95969936,39.72844969
255,3,1,1,"(1, 1)",17.75345183,8.860776525,50.08983825
256,0,0,0,"(0, 0)",20.2327625,12.78416505,36.81453508
257,0,0,0,"(0, 0)",22.10480167,11.3345079,48.72377474
258,3,1,1,"(1, 1)",19.26490319,7.782663703,59.60185407
259,0,0,0,"(0, 0)",19.3324599,9.234238937,52.23453724
260,0,0,0,"(0, 0)",17.44838263,10.204734,41.51472824
261,3,1,1,"(1, 1)",16.07414234,8.086089094,49.69505109
262,0,0,0,"(0, 0)",19.72498526,12.62549724,35.9923616
263,0,0,0,"(0, 0)",18.85957248,9.82070837,47.92719516
264,0,0,0,"(0, 0)",18.68393398,9.49010157,49.20715529
265,0,0,0,"(0, 0)",21.82179184,14.41757206,33.93039322
266,1,0,1,"(0, 1)",22.87749792,20.62024201,9.86670796
267,1,0,1,"(0, 1)",17.86380321,16.94397932,5.149093276
268,1,0,1,"(0, 1)",17.34320774,13.92471208,19.7108615
269,1,0,1,"(0, 1)",24.49989564,16.01398948,34.63649923
270,1,0,1,"(0, 1)",21.72889715,18.11109435,16.64973043
271,1,0,1,"(0, 1)",21.08403019,18.63656752,11.60813489
272,1,0,1,"(0, 1)",21.717283,18.27256022,15.86166548
273,0,0,0,"(0, 0)",24.44331163,16.71947151,31.59899211
274,1,0,1,"(0, 1)",22.4372562,19.21142673,14.37711207
275,1,0,1,"(0, 1)",20.81408819,16.65565757,19.97892281
276,1,0,1,"(0, 1)",25.14510907,18.52620493,26.3228293
277,0,0,0,"(0, 0)",24.43038249,15.61902448,36.06721267
278,1,0,1,"(0, 1)",22.60194983,16.93160788,25.08784417
279,1,0,1,"(0, 1)",24.73721274,18.236722,26.27818584
280,1,0,1,"(0, 1)",24.62582854,19.17166369,22.14814759
281,0,0,0,"(0, 0)",17.53609656,13.27205913,24.31577301
282,0,0,0,"(0, 0)",19.14593785,14.80139333,22.69172998
283,0,0,0,"(0, 0)",24.33880169,15.1524919,37.74347604
284,1,0,1,"(0, 1)",16.8124686,16.49705345,1.876078741
285,0,0,0,"(0, 0)",13.1334345,9.622780082,26.73066529
286,3,1,1,"(1, 1)",16.33670721,8.940804788,45.27168375
287,0,0,0,"(0, 0)",15.54044871,10.56975681,31.98551079
288,0,0,0,"(0, 0)",16.41340036,12.88923871,21.47124653
289,0,0,0,"(0, 0)",16.53272182,11.4355985,30.8305152
290,1,0,1,"(0, 1)",17.02607903,14.14471294,16.92325104
291,0,0,0,"(0, 0)",22.31335159,17.08942248,23.4116739
292,0,0,0,"(0, 0)",22.39938429,16.63071517,25.75369507
293,0,0,0,"(0, 0)",21.81323504,16.88442321,22.59551058
294,0,0,0,"(0, 0)",22.37166881,16.72791201,25.22724993
295,1,0,1,"(0, 1)",15.08557501,13.74380224,8.89440921
296,1,0,1,"(0, 1)",17.93503206,15.04434912,16.11752309
297,1,0,1,"(0, 1)",17.55127837,14.79936876,15.67925453
298,1,0,1,"(0, 1)",16.94739554,14.30663956,15.5820756
299,1,0,1,"(0, 1)",19.24496343,15.44509437,19.74474555
300,0,0,0,"(0, 0)",18.22436344,14.10731722,22.59089175
301,1,0,1,"(0, 1)",19.33504416,15.39556208,20.37482849
302,1,0,1,"(0, 1)",15.85970148,14.53169558,8.373460892
303,0,0,0,"(0, 0)",17.24784439,7.654165343,55.62248145
304,0,0,0,"(0, 0)",15.67648518,7.22820139,53.89144119
305,0,0,0,"(0, 0)",16.78359684,7.288491535,56.57372133
306,0,0,0,"(0, 0)",16.37446177,7.577881581,53.72133943
