candidate,mode,replicates,ARI_mean,ARI_median,ARI_p025,ARI_p975,ARI_min,actual_deleted_fraction
M020845,drop05,50,0.8912661927859168,1.0,0.5873955431754875,1.0,0.3015508328546812,0.060240790304060904
M020845,drop10,50,0.8264026111099563,0.8892968639137222,0.4208207461146697,1.0,0.3015508328546812,0.0918735619368026
M021007,bootstrap90,50,0.7054249802562634,0.6881552501273119,0.2925897031009562,1.0,-0.023809523809523808,
M021007,bootstrap95,50,0.725174273465153,0.7403094646692483,0.35161458338725604,1.0,0.3413950591654557,
M021007,drop05,50,0.8912661927859168,1.0,0.5873955431754875,1.0,0.3015508328546812,0.060240790304060904
M021007,drop10,50,0.8424881211336043,0.8892968639137222,0.5873955431754875,1.0,0.372460321161529,0.0918735619368026
M021169,bootstrap90,50,0.7054249802562634,0.6881552501273119,0.2925897031009562,1.0,-0.023809523809523808,
M021169,bootstrap95,50,0.725174273465153,0.7403094646692483,0.35161458338725604,1.0,0.3413950591654557,
M021169,drop05,50,0.8934802555076422,1.0,0.5873955431754875,1.0,0.3015508328546812,0.060240790304060904
M021169,drop10,50,0.8327475438258395,0.8892968639137222,0.5873955431754875,1.0,0.372460321161529,0.0918735619368026
M021331,bootstrap90,50,0.7506774705851457,0.7692886710976732,0.34404932129014304,1.0,-0.023809523809523808,
M021331,bootstrap95,50,0.7804099226935237,0.824018690732766,0.3759147852970974,1.0,0.3413950591654557,
M021331,drop05,50,0.8330818301325346,0.8892968639137222,0.6213649038940344,0.9780934871327658,0.2511980830670926,0.060240790304060904
M021331,drop10,50,0.8221227262412427,0.8892968639137222,0.5138220430157655,1.0,0.2511980830670926,0.0918735619368026
M021493,bootstrap90,50,0.7539218344082493,0.7686750672736335,0.34404932129014304,1.0,-0.023809523809523808,
M021493,bootstrap95,50,0.7647967930582115,0.7724731981867003,0.37572556177787336,1.0,0.3356969136436817,
