candidate,window,mode,replicate,ARI,unique_curves,actual_deleted_fraction
M000596,coverage100,drop05,0,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,1,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,2,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,3,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,4,1.0,29,0.07742054724517441
M000596,coverage100,drop05,5,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,6,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,7,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,8,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,9,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,10,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,11,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,12,0.7569408067050812,29,0.07742054724517441
M000596,coverage100,drop05,13,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,14,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,15,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,16,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,17,1.0,29,0.07742054724517441
M000596,coverage100,drop05,18,1.0,29,0.07742054724517441
M000596,coverage100,drop05,19,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,20,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,21,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,22,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,23,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,24,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,25,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,26,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,27,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,28,1.0,29,0.07742054724517441
M000596,coverage100,drop05,29,1.0,29,0.07742054724517441
M000596,coverage100,drop05,30,1.0,29,0.07742054724517441
M000596,coverage100,drop05,31,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,32,1.0,29,0.07742054724517441
M000596,coverage100,drop05,33,1.0,29,0.07742054724517441
M000596,coverage100,drop05,34,1.0,29,0.07742054724517441
M000596,coverage100,drop05,35,1.0,29,0.07742054724517441
M000596,coverage100,drop05,36,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,37,0.8703273117510284,29,0.07742054724517441
M000596,coverage100,drop05,38,1.0,29,0.07742054724517441
M000596,coverage100,drop05,39,0.8703273117510284,29,0.07742054724517441
