candidate,id,medoid,cluster,path_length,path_length_ratio,max_index_warp,mean_index_warp,max_time_warp_fraction,mean_time_warp_fraction,boundary_fraction,turn_collapse_fraction,turns
M028837,C197,C181,2,48,1.0,0.045592705167173286,0.01877532928064843,0.07909694012123188,0.027057156664765065,0.0,0.0,6
M028837,C198,C181,2,48,1.0,0.045592705167173286,0.018743667679837893,0.07383442038767656,0.025628575401137554,0.0,0.0,7
M028837,C199,C181,2,48,1.0,0.045592705167173286,0.018743667679837893,0.07383442038767658,0.025628575401137565,0.0,0.0,5
M028837,C202,C181,2,17,1.1333333333333333,0.07142857142857151,0.058823529411764705,0.07047762161714116,0.05131474997013311,0.8235294117647058,0.0,2
M028999,C005,C010,1,62,1.0,0.02868852459016391,0.011953551912568305,0.043472658836764246,0.01706207187136908,0.0,0.2,10
M028999,C009,C010,1,26,1.04,0.04166666666666674,0.038461538461538464,0.041345032542941945,0.03687134490219453,0.9230769230769231,0.0,0
M028999,C018,C010,1,25,1.0,0.041666666666666664,0.02,0.04024089638956834,0.01896230669791332,0.0,0.0,0
M028999,C019,C010,1,25,1.0,0.041666666666666685,0.02,0.04244916869631532,0.019613720121626578,0.0,0.0,0
M028999,C036,C010,1,25,1.0,0.041666666666666685,0.01916666666666667,0.043946403495513514,0.018294286855864678,0.0,0.0,2
M028999,C045,C010,1,55,1.0,0.02777777777777779,0.011784511784511783,0.04389404626638539,0.018393385577382668,0.0,0.0,0
M028999,C063,C010,1,51,1.0,0.030000000000000027,0.012549019607843137,0.05078313384281459,0.029136967771072764,0.0,0.0,0
M028999,C105,C010,1,30,1.0344827586206897,0.03571428571428571,0.01904761904761904,0.039780661787512966,0.014322615573906352,0.0,0.0,2
M028999,C109,C010,1,53,1.0,0.028846153846153855,0.012336719883889699,0.0505827808991347,0.02925455916680179,0.0,0.0,0
M028999,C110,C010,1,53,1.0,0.028846153846153855,0.012518142235123373,0.047503531447070334,0.014085422221869984,0.0,0.0,2
M028999,C153,C010,1,43,1.0,0.029761904761904767,0.013289036544850502,0.05424166775669655,0.031733231923586895,0.0,0.0,0
M028999,C154,C010,1,43,1.0,0.029761904761904767,0.012735326688815059,0.035788109422188304,0.013557991867034474,0.0,0.0,2
