curve_id,qc_status,qc_reason,n_points_original,pce_max,doi,figure_label,series_id,unit_label
x_time_day/10.1002_aenm.202000967/Fig4_A_stability_performance_curve_pce/accepted/10.1002_aenm.202000967__Fig4__A__stability_performance_curve_pce__MAPbI₃₋yClᵧ-Cu_NiO__Series_2.csv,excluded,"Too few unique time points (2) in [0,200]h window (data spans 53% of window)",2.0,,10.1002/aenm.202000967,Fig4_A,Series_2,days
x_time_day/10.1002_aenm.202000967/Fig4_A_stability_performance_curve_pce/accepted/10.1002_aenm.202000967__Fig4__A__stability_performance_curve_pce__MAPbI₃₋yClᵧ__Series_3.csv,excluded,"Too few unique time points (2) in [0,200]h window (data spans 53% of window)",2.0,,10.1002/aenm.202000967,Fig4_A,Series_3,days
x_time_day/10.1002_aenm.202101416/Fig4_F_stability_performance_curve/accepted/10.1002_aenm.202101416__Fig4__F__stability_performance_curve__SnO₂__Series_1.csv,included,,14.0,0.9388144631827761,10.1002/aenm.202101416,Fig4_F,Series_1,days
x_time_day/10.1002_anie.201806392/Fig3_H_stability_performance_curve/accepted/10.1002_anie.201806392__Fig3__H__stability_performance_curve__Py-C__Series_3.csv,excluded,"Too few unique time points (6) in [0,200]h window (data spans 82% of window)",6.0,,10.1002/anie.201806392,Fig3_H,Series_3,days
x_time_day/10.1002_anie.201806392/Fig3_H_stability_performance_curve/accepted/10.1002_anie.201806392__Fig3__H__stability_performance_curve__Spiro-OMeTAD__Series_2.csv,excluded,"Too few unique time points (6) in [0,200]h window (data spans 82% of window)",6.0,,10.1002/anie.201806392,Fig3_H,Series_2,days
x_time_day/10.1002_anie.201911796/Fig4_C_stability_performance_curve_pce/accepted/10.1002_anie.201911796__Fig4__C__stability_performance_curve_pce__−SnO2__Series_2.csv,excluded,"Too few unique time points (4) in [0,200]h window (data spans 94% of window)",4.0,,10.1002/anie.201911796,Fig4_C,Series_2,days
x_time_day/10.1002_anie.202105512/Fig4_D_stability_performance_curve_pce_photovoltaic_parameter/accepted/10.1002_anie.202105512__Fig4__D__stability_performance_curve_pce_photovoltaic_parameter__Control_Device__Series_2.csv,included,,11.0,0.998511470479214,10.1002/anie.202105512,Fig4_D,Series_2,days
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/accepted/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA1__Series_4.csv,included,,12.0,0.9970073277632169,10.1002/chem.201703382,Fig5_A,Series_4,days
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/accepted/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA2__Series_1.csv,included,,11.0,1.0033985824247027,10.1002/chem.201703382,Fig5_A,Series_1,days
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/accepted/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA3__Series_3.csv,included,,10.0,1.0002029550939597,10.1002/chem.201703382,Fig5_A,Series_3,days
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/accepted/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM__Series_2.csv,included,,11.0,0.9874204457709884,10.1002/chem.201703382,Fig5_A,Series_2,days
x_time_day/10.1002_chem.201704181/Fig5_D_stability_performance_curve_pce/accepted/10.1002_chem.201704181__Fig5__D__stability_performance_curve_pce__W_O_IPA__Series_1.csv,excluded,"Too few unique time points (7) in [0,200]h window (data spans 79% of window)",7.0,,10.1002/chem.201704181,Fig5_D,Series_1,days
x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/accepted/10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1.csv,included,,31.0,0.9869849678618438,10.1002/cnma.201800064,Fig6_B,Series_1,days
