sample_id,source_path,figure_id,unit,clean_n,cluster,membership_probability,outlier_score,status
S0142,/Users/shunhao/Desktop/ML/method1/samples_test/图片51/accepted/samples_test__unknown__unknown__图片51__Series_1__Series_1.csv,图片51,unknown,17,,,,unknown_time_unit
S0143,/Users/shunhao/Desktop/ML/method1/samples_test/图片51/accepted/samples_test__unknown__unknown__图片51__Series_2__Series_2.csv,图片51,unknown,48,,,,unknown_time_unit
S0144,/Users/shunhao/Desktop/ML/method1/samples_test/图片52/accepted/samples_test__unknown__unknown__图片52__Series_1__Series_1.csv,图片52,unknown,49,,,,unknown_time_unit
S0145,/Users/shunhao/Desktop/ML/method1/samples_test/图片52/accepted/samples_test__unknown__unknown__图片52__Series_2__Series_2.csv,图片52,unknown,48,,,,unknown_time_unit
S0146,/Users/shunhao/Desktop/ML/method1/samples_test/图片55/accepted/samples_test__unknown__unknown__图片55__Series_1__Series_1.csv,图片55,unknown,44,,,,unknown_time_unit
S0147,/Users/shunhao/Desktop/ML/method1/samples_test/图片55/accepted/samples_test__unknown__unknown__图片55__Series_2__Series_2.csv,图片55,unknown,44,,,,unknown_time_unit
S0148,/Users/shunhao/Desktop/ML/method1/samples_test/图片57/accepted/samples_test__unknown__unknown__图片57__Series_1__Series_1.csv,图片57,unknown,53,,,,unknown_time_unit
S0149,/Users/shunhao/Desktop/ML/method1/samples_test/图片57/accepted/samples_test__unknown__unknown__图片57__Series_2__Series_2.csv,图片57,unknown,53,,,,unknown_time_unit
S0150,/Users/shunhao/Desktop/ML/method1/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_1__Series_1.csv,图片58,hours,37,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0151,/Users/shunhao/Desktop/ML/method1/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_2__Series_2.csv,图片58,hours,38,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0152,/Users/shunhao/Desktop/ML/method1/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_3__Series_3.csv,图片58,hours,38,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0153,/Users/shunhao/Desktop/ML/method1/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Control__Series_1.csv,图片59,hours,44,1.0,0.924991273104049,0.07500872689595099,included
S0154,/Users/shunhao/Desktop/ML/method1/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Target__Series_2.csv,图片59,hours,44,1.0,0.5829148801653768,0.41708511983462315,included
S0155,/Users/shunhao/Desktop/ML/method1/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_1__Series_1.csv,图片6,cycles,64,,,,non_time_axis
S0156,/Users/shunhao/Desktop/ML/method1/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_2__Series_2.csv,图片6,cycles,63,,,,non_time_axis
S0157,/Users/shunhao/Desktop/ML/method1/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_3__Series_3.csv,图片6,cycles,62,,,,non_time_axis
S0158,/Users/shunhao/Desktop/ML/method1/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_4__Series_4.csv,图片6,cycles,63,,,,non_time_axis
S0159,/Users/shunhao/Desktop/ML/method1/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_1__Series_1.csv,图片60,unknown,43,,,,unknown_time_unit
S0160,/Users/shunhao/Desktop/ML/method1/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_2__Series_2.csv,图片60,unknown,17,,,,unknown_time_unit
S0161,/Users/shunhao/Desktop/ML/method1/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_3__Series_3.csv,图片60,unknown,52,,,,unknown_time_unit
S0162,/Users/shunhao/Desktop/ML/method1/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_4__Series_4.csv,图片60,unknown,56,,,,unknown_time_unit
S0163,/Users/shunhao/Desktop/ML/method1/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_1__Series_1.csv,图片62,hours,37,1.0,0.8623626734174054,0.1376373265825946,included
S0164,/Users/shunhao/Desktop/ML/method1/samples_test/图片62/accepted/samples_test__unknown__unknown__图片62__Series_2__Series_2.csv,图片62,hours,90,1.0,0.4504216823457211,0.5495783176542789,included
S0165,/Users/shunhao/Desktop/ML/method1/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-a__Series_2.csv,图片63,hours,73,1.0,0.5602917416608564,0.43970825833914357,included
S0166,/Users/shunhao/Desktop/ML/method1/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_TDY-β__Series_3.csv,图片63,hours,74,1.0,0.6047512727464419,0.39524872725355814,included
S0167,/Users/shunhao/Desktop/ML/method1/samples_test/图片63/accepted/samples_test__unknown__unknown__图片63__PM6_Y6__Series_1.csv,图片63,hours,73,1.0,0.07797815615387578,0.9220218438461243,included
S0168,/Users/shunhao/Desktop/ML/method1/samples_test/图片64/accepted/samples_test__unknown__unknown__图片64__Series_1__Series_1.csv,图片64,unknown,100,,,,unknown_time_unit
S0169,/Users/shunhao/Desktop/ML/method1/samples_test/图片64/accepted/samples_test__unknown__unknown__图片64__Series_2__Series_2.csv,图片64,unknown,25,,,,unknown_time_unit
S0170,/Users/shunhao/Desktop/ML/method1/samples_test/图片65/accepted/samples_test__unknown__unknown__图片65__Series_1__Series_1.csv,图片65,hours,105,1.0,0.25979252172012746,0.7402074782798725,included
S0171,/Users/shunhao/Desktop/ML/method1/samples_test/图片65/accepted/samples_test__unknown__unknown__图片65__Series_2__Series_2.csv,图片65,hours,28,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0172,/Users/shunhao/Desktop/ML/method1/samples_test/图片68/accepted/samples_test__unknown__unknown__图片68__Series_1__Series_1.csv,图片68,hours,37,1.0,0.3433753251566818,0.6566246748433182,included
S0173,/Users/shunhao/Desktop/ML/method1/samples_test/图片68/accepted/samples_test__unknown__unknown__图片68__Series_2__Series_2.csv,图片68,hours,61,1.0,0.11523492478127467,0.8847650752187254,included
S0174,/Users/shunhao/Desktop/ML/method1/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_1__Series_1.csv,图片70,hours,36,1.0,0.21799833373260985,0.7820016662673902,included
S0175,/Users/shunhao/Desktop/ML/method1/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_2__Series_2.csv,图片70,hours,38,1.0,0.14167135041129453,0.8583286495887055,included
S0176,/Users/shunhao/Desktop/ML/method1/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_3__Series_3.csv,图片70,hours,38,0.0,1.0,0.0,included
S0177,/Users/shunhao/Desktop/ML/method1/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Control__Series_2.csv,图片71,hours,49,1.0,0.43425522021302787,0.5657447797869721,included
S0178,/Users/shunhao/Desktop/ML/method1/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Target__Series_1.csv,图片71,hours,29,1.0,0.5159824496376627,0.4840175503623373,included
S0179,/Users/shunhao/Desktop/ML/method1/samples_test/图片74/accepted/samples_test__unknown__unknown__图片74__Series_1__Series_1.csv,图片74,hours,31,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0180,/Users/shunhao/Desktop/ML/method1/samples_test/图片74/accepted/samples_test__unknown__unknown__图片74__Series_2__Series_2.csv,图片74,hours,26,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0181,/Users/shunhao/Desktop/ML/method1/samples_test/图片74/accepted/samples_test__unknown__unknown__图片74__Series_3__Series_3.csv,图片74,hours,30,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0182,/Users/shunhao/Desktop/ML/method1/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__Ceo-based_device(encapsulated)__Series_2.csv,图片75,hours,54,1.0,1.0,0.0,included
S0183,/Users/shunhao/Desktop/ML/method1/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__SnOx-based_device_(unencapsulated)__Series_1.csv,图片75,hours,54,1.0,0.18343998038933843,0.8165600196106616,included
S0184,/Users/shunhao/Desktop/ML/method1/samples_test/图片77/accepted/samples_test__unknown__unknown__图片77__Series_1__Series_1.csv,图片77,hours,72,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0185,/Users/shunhao/Desktop/ML/method1/samples_test/图片77/accepted/samples_test__unknown__unknown__图片77__Series_2__Series_2.csv,图片77,hours,72,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0186,/Users/shunhao/Desktop/ML/method1/samples_test/图片78/accepted/samples_test__unknown__unknown__图片78__Series_1__Series_1.csv,图片78,hours,55,1.0,0.2532004804533509,0.7467995195466491,included
S0187,/Users/shunhao/Desktop/ML/method1/samples_test/图片78/accepted/samples_test__unknown__unknown__图片78__Series_2__Series_2.csv,图片78,hours,56,1.0,0.12006422367007642,0.8799357763299236,included
S0188,/Users/shunhao/Desktop/ML/method1/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__EtCz3EPA_PTAA_BCP__Series_3.csv,图片8,cycles,51,,,,non_time_axis
S0189,/Users/shunhao/Desktop/ML/method1/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__EtCz3EPA__Series_2.csv,图片8,cycles,52,,,,non_time_axis
S0190,/Users/shunhao/Desktop/ML/method1/samples_test/图片8/accepted/samples_test__unknown__unknown__图片8__PTAA_BCP__Series_1.csv,图片8,cycles,52,,,,non_time_axis
S0191,/Users/shunhao/Desktop/ML/method1/samples_test/图片85/accepted/samples_test__unknown__unknown__图片85__NBG_PSCs_with_YbOx__Series_1.csv,图片85,hours,72,1.0,0.34822580806939335,0.6517741919306067,included
S0192,/Users/shunhao/Desktop/ML/method1/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_1__Series_1.csv,图片87,hours,41,1.0,0.15169245848255672,0.8483075415174434,included
S0193,/Users/shunhao/Desktop/ML/method1/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_2__Series_2.csv,图片87,hours,41,1.0,0.6131333268502763,0.38686667314972367,included
S0194,/Users/shunhao/Desktop/ML/method1/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_1__Series_1.csv,图片88,hours,63,1.0,0.7242661000861296,0.27573389991387043,included
S0195,/Users/shunhao/Desktop/ML/method1/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_2__Series_2.csv,图片88,hours,63,-1.0,0.0,0.9816028299655168,included
S0196,/Users/shunhao/Desktop/ML/method1/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_3__Series_3.csv,图片88,hours,63,1.0,0.26398667462324243,0.7360133253767576,included
S0197,/Users/shunhao/Desktop/ML/method1/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA_PTAA_BCP__Series_1.csv,图片89,hours,49,-1.0,0.0,0.9669048844941902,included
S0198,/Users/shunhao/Desktop/ML/method1/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA__Series_2.csv,图片89,hours,49,0.0,1.0,0.0,included
S0199,/Users/shunhao/Desktop/ML/method1/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__PTAA_BCP__Series_3.csv,图片89,hours,49,1.0,0.08615340045159647,0.9138465995484035,included
S0200,/Users/shunhao/Desktop/ML/method1/samples_test/图片9/accepted/samples_test__unknown__unknown__图片9__Control__Series_1.csv,图片9,cycles,47,,,,non_time_axis
S0201,/Users/shunhao/Desktop/ML/method1/samples_test/图片9/accepted/samples_test__unknown__unknown__图片9__DMPESI__Series_2.csv,图片9,cycles,47,,,,non_time_axis
S0202,/Users/shunhao/Desktop/ML/method1/samples_test/图片90/accepted/samples_test__unknown__unknown__图片90__Series_1__Series_1.csv,图片90,hours,27,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0203,/Users/shunhao/Desktop/ML/method1/samples_test/图片92/accepted/samples_test__unknown__unknown__图片92__Series_1__Series_1.csv,图片92,cycles,33,,,,non_time_axis
S0204,/Users/shunhao/Desktop/ML/method1/samples_test/图片92/accepted/samples_test__unknown__unknown__图片92__Series_2__Series_2.csv,图片92,cycles,29,,,,non_time_axis
S0205,/Users/shunhao/Desktop/ML/method1/samples_test/图片94/accepted/samples_test__unknown__unknown__图片94__Series_1__Series_1.csv,图片94,hours,33,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0206,/Users/shunhao/Desktop/ML/method1/samples_test/图片94/accepted/samples_test__unknown__unknown__图片94__Series_2__Series_2.csv,图片94,hours,33,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0207,/Users/shunhao/Desktop/ML/method1/samples_test/图片94/accepted/samples_test__unknown__unknown__图片94__Series_3__Series_3.csv,图片94,hours,33,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0208,/Users/shunhao/Desktop/ML/method1/samples_test/图片95/accepted/samples_test__unknown__unknown__图片95__No_Desiccant__Series_4.csv,图片95,hours,31,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0209,"/Users/shunhao/Desktop/ML/method1/samples_test/图片95/accepted/samples_test__unknown__unknown__图片95__SiO,+Desiccant__Series_1.csv",图片95,hours,30,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0210,/Users/shunhao/Desktop/ML/method1/samples_test/图片95/accepted/samples_test__unknown__unknown__图片95__o-Desiccant__Series_2.csv,图片95,hours,30,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0211,/Users/shunhao/Desktop/ML/method1/samples_test/图片95/accepted/samples_test__unknown__unknown__图片95__√-GO+Desiccant__Series_3.csv,图片95,hours,30,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0212,/Users/shunhao/Desktop/ML/method1/samples_test/图片96/accepted/samples_test__unknown__unknown__图片96__Series_1__Series_1.csv,图片96,hours,34,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0213,/Users/shunhao/Desktop/ML/method1/samples_test/图片96/accepted/samples_test__unknown__unknown__图片96__Series_2__Series_2.csv,图片96,hours,33,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0214,/Users/shunhao/Desktop/ML/method1/samples_test/图片96/accepted/samples_test__unknown__unknown__图片96__Series_3__Series_3.csv,图片96,hours,33,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0215,/Users/shunhao/Desktop/ML/method1/samples_test/图片97/accepted/samples_test__unknown__unknown__图片97__85%--__Series_1.csv,图片97,hours,34,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0216,/Users/shunhao/Desktop/ML/method1/samples_test/图片98/accepted/samples_test__unknown__unknown__图片98__Series_1__Series_1.csv,图片98,hours,33,1.0,0.1502300112990878,0.8497699887009121,included
S0217,/Users/shunhao/Desktop/ML/method1/samples_test/图片99/accepted/samples_test__unknown__unknown__图片99__Control__Series_2.csv,图片99,hours,65,,,,does_not_cover_window_or_fewer_than_12_points_within_window
S0218,/Users/shunhao/Desktop/ML/method1/samples_test/图片99/accepted/samples_test__unknown__unknown__图片99__TBPO__Series_1.csv,图片99,hours,65,,,,does_not_cover_window_or_fewer_than_12_points_within_window
