sample_id,cluster,membership_probability,outlier_score,source_path,figure_id,unit,duration_analysis,clean_n,qc_flags
S0173,1,0.11523492478127467,0.8847650752187254,/Users/shunhao/Desktop/ML/method1/samples_test/图片68/accepted/samples_test__unknown__unknown__图片68__Series_2__Series_2.csv,图片68,hours,968.7256233787182,61,
S0174,1,0.21799833373260985,0.7820016662673902,/Users/shunhao/Desktop/ML/method1/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_1__Series_1.csv,图片70,hours,807.0698056195981,36,
S0175,1,0.14167135041129453,0.8583286495887055,/Users/shunhao/Desktop/ML/method1/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_2__Series_2.csv,图片70,hours,853.1880802264325,38,negative_start_retained_shifted
S0176,0,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片70/accepted/samples_test__unknown__unknown__图片70__Series_3__Series_3.csv,图片70,hours,853.1880802264325,38,negative_start_retained_shifted
S0177,1,0.43425522021302787,0.5657447797869721,/Users/shunhao/Desktop/ML/method1/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Control__Series_2.csv,图片71,hours,789.0591953981544,49,
S0178,1,0.5159824496376627,0.4840175503623373,/Users/shunhao/Desktop/ML/method1/samples_test/图片71/accepted/samples_test__unknown__unknown__图片71__Target__Series_1.csv,图片71,hours,772.6204621606928,29,
S0182,1,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__Ceo-based_device(encapsulated)__Series_2.csv,图片75,hours,1000.5514869950622,54,negative_start_retained_shifted
S0183,1,0.18343998038933843,0.8165600196106616,/Users/shunhao/Desktop/ML/method1/samples_test/图片75/accepted/samples_test__unknown__unknown__图片75__SnOx-based_device_(unencapsulated)__Series_1.csv,图片75,hours,1000.5514869950623,54,
S0186,1,0.2532004804533509,0.7467995195466491,/Users/shunhao/Desktop/ML/method1/samples_test/图片78/accepted/samples_test__unknown__unknown__图片78__Series_1__Series_1.csv,图片78,hours,519.617852201255,55,
S0187,1,0.12006422367007642,0.8799357763299236,/Users/shunhao/Desktop/ML/method1/samples_test/图片78/accepted/samples_test__unknown__unknown__图片78__Series_2__Series_2.csv,图片78,hours,519.617852201255,56,negative_start_retained_shifted
S0191,1,0.34822580806939335,0.6517741919306067,/Users/shunhao/Desktop/ML/method1/samples_test/图片85/accepted/samples_test__unknown__unknown__图片85__NBG_PSCs_with_YbOx__Series_1.csv,图片85,hours,491.94764135023235,72,
S0192,1,0.15169245848255672,0.8483075415174434,/Users/shunhao/Desktop/ML/method1/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_1__Series_1.csv,图片87,hours,1033.8789097239076,41,
S0193,1,0.6131333268502763,0.38686667314972367,/Users/shunhao/Desktop/ML/method1/samples_test/图片87/accepted/samples_test__unknown__unknown__图片87__Series_2__Series_2.csv,图片87,hours,1033.8789097239076,41,
S0194,1,0.7242661000861296,0.27573389991387043,/Users/shunhao/Desktop/ML/method1/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_1__Series_1.csv,图片88,hours,989.9325475330139,63,
S0195,-1,0.0,0.9816028299655168,/Users/shunhao/Desktop/ML/method1/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_2__Series_2.csv,图片88,hours,989.9325475330141,63,
S0196,1,0.26398667462324243,0.7360133253767576,/Users/shunhao/Desktop/ML/method1/samples_test/图片88/accepted/samples_test__unknown__unknown__图片88__Series_3__Series_3.csv,图片88,hours,989.9325475330141,63,
S0197,-1,0.0,0.9669048844941902,/Users/shunhao/Desktop/ML/method1/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA_PTAA_BCP__Series_1.csv,图片89,hours,1002.7522677989435,49,negative_start_retained_shifted
S0198,0,1.0,0.0,/Users/shunhao/Desktop/ML/method1/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__EtCz3EPA__Series_2.csv,图片89,hours,1002.7522677989434,49,negative_start_retained_shifted
S0199,1,0.08615340045159647,0.9138465995484035,/Users/shunhao/Desktop/ML/method1/samples_test/图片89/accepted/samples_test__unknown__unknown__图片89__PTAA_BCP__Series_3.csv,图片89,hours,1002.7522677989435,49,
S0216,1,0.1502300112990878,0.8497699887009121,/Users/shunhao/Desktop/ML/method1/samples_test/图片98/accepted/samples_test__unknown__unknown__图片98__Series_1__Series_1.csv,图片98,hours,414.1410227028837,33,
