variant_id,window_hours,cohort,representation,n,dimensions,accepted_input_total,retention_fraction,primary_window_eligible,smoothing_applied,labels_used,elbow_k,elbow_strength,inertia_at_elbow,silhouette_at_elbow,seed_ari_at_elbow,subsample_ari_to_full,min_cluster_fraction_at_elbow,passes_support,rank_silhouette_at_elbow,rank_subsample_ari_to_full,rank_seed_ari_at_elbow,rank_elbow_strength,rank_min_cluster_fraction_at_elbow,rank_n,kmeans_rank_sum,selected_for_som
w1000_dense_z_level,1000,dense,z_level,379,64,2104,0.18013307984790874,True,False,False,5,0.3886672929263788,1596.1558465031999,0.2595955508285549,0.5683084074895354,0.30924169416150804,0.018469656992084433,True,24.0,48.0,44.0,19.0,46.0,46.5,227.5,False
w0750_dense_z_level_d1_d2,750,dense,z_level_d1_d2,576,189,2104,0.2737642585551331,True,False,False,5,0.2165888198559699,781.0756270652405,0.04927390115858707,0.5330901193479541,0.6174697540185209,0.04513888888888889,True,48.0,45.0,47.0,48.0,6.0,34.5,228.5,False
w1000_detail_z_level_d1_d2,1000,detail,z_level_d1_d2,472,189,2104,0.22433460076045628,True,False,False,5,0.31143597287571856,646.3589615534187,0.05528747367605913,0.7277715289362414,0.6624742701700127,0.029661016949152543,True,40.0,44.0,37.0,38.0,29.5,42.5,231.0,False
w1000_dense_z_level_d1_d2,1000,dense,z_level_d1_d2,379,189,2104,0.18013307984790874,True,False,False,5,0.23858252138156222,522.4466665838436,0.04929887647845112,0.48213920320515413,0.45612919434751,0.04221635883905013,True,47.0,47.0,48.0,47.0,9.0,46.5,244.5,False
w0150_coverage_maxabs_level,150,coverage,maxabs_level,1857,64,2104,0.8826045627376425,False,False,False,4,0.49534050293293763,265.62446333382275,0.5810438555629037,0.9860524777658022,0.9561275872193395,0.03500269251480883,False,,,,,,,,False
w0150_coverage_z_level,150,coverage,z_level,1857,64,2104,0.8826045627376425,False,False,False,5,0.3565061270058548,8177.661220950038,0.41654931498548836,0.8961061209041337,0.8137539488321137,0.03231017770597738,False,,,,,,,,False
w0150_coverage_z_level_d1,150,coverage,z_level_d1,1857,127,2104,0.8826045627376425,False,False,False,4,0.3785378650262188,635.1177016730167,0.2825872159883575,0.9788169746634854,0.9305781791009332,0.07000538502961766,False,,,,,,,,False
w0150_coverage_z_level_d1_d2,150,coverage,z_level_d1_d2,1857,189,2104,0.8826045627376425,False,False,False,4,0.366379324459956,2451.356692866182,0.09178680109211516,0.9718275002488947,0.9552633825882507,0.07054388799138395,False,,,,,,,,False
w0150_detail_maxabs_level,150,detail,maxabs_level,1103,64,2104,0.5242395437262357,False,False,False,4,0.4962576651063574,187.18508629672226,0.557506614948708,1.0,0.9718357221273326,0.044424297370806894,False,,,,,,,,False
w0150_detail_z_level,150,detail,z_level,1103,64,2104,0.5242395437262357,False,False,False,4,0.38940446613427826,5071.970725976744,0.38905430027211785,0.9893895406897512,0.977928399625094,0.04170444242973708,False,,,,,,,,False
