curve_id,shape_guided,feature_kmeans,feature_gmm,feature_ward
10.1002_adma.202307422_Fig6_H_mppt_stability_performance_curve_pce_b0f4d80383,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_adma.202307422_Fig6_H_stability_performance_curve_pce_bb9b72d903,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_adma.202416932_Fig6_F_sem_image_stability_performance_curve_664c42250b,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_admi.201900939_Fig11_D_pce_540b30a74a,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_admi.201901964_Fig4_D_stability_performance_curve_pce_2aaf586b44,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_admi.202001683_Fig4_C_stability_performance_curve_pce_40a7f5684a,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_admi.202102324_Fig6_F_stability_performance_curve_pce_077726d809,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_admi.202102324_Fig6_F_stability_performance_curve_pce_57ee775692,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_admi.202102324_Fig6_F_stability_performance_curve_pce_6fab3bfd72,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_admi.202102324_Fig6_F_stability_performance_curve_pce_76b009a819,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_advs.201700484_Fig5_A_stability_performance_curve_pce_2c88fd4d75,IFO-Slope,IFO-Valley,IFO-Valley,IFO-Slope
10.1002_advs.201903044_Fig6_D_stability_performance_curve_pce_59248478c5,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_advs.201903250_Fig5_F_tga_stability_performance_curve_pce_11a397d1d2,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_advs.201903250_Fig5_F_tga_stability_performance_curve_pce_9330e1c049,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_advs.202004662_Fig5_A_stability_performance_curve_pce_9ad105606e,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aelm.202000604_Fig4_F_stability_performance_curve_f7e279072c,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.201501354_Fig9_C_stability_performance_curve_64843a1dd9,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_aenm.201600285_Fig6_whole_stability_performance_curve_pce_5e84edd84b,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_aenm.201600285_Fig6_whole_stability_performance_curve_pce_e14a9f7975,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_aenm.201600920_Fig7_B_stability_performance_curve_jsc_ad6820d394,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Bridge
10.1002_aenm.201602556_Fig7_A_stability_performance_curve_488630dd05,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.201700169_Fig7_whole_stability_b665d1c3bb,IFO-Slope,IFO-Slope,IFO-Valley,IFO-Hill
10.1002_aenm.201700683_Fig5_A_stability_performance_curve_pce_fc8bfb4c7d,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_aenm.201702934_Fig4_A_stability_performance_curve_b577a3323c,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.201702960_Fig5_F_stability_performance_curve_89e05a2379,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.201703392_Fig6_C_stability_performance_curve_14833648ee,IFO-Slope,IFO-Valley,IFO-Slope,IFO-Slope
10.1002_aenm.201800275_Fig4_D_stability_performance_curve_pce_3bddce67cc,IFO-Slope,IFO-Slope,IFO-Hill,IFO-Hill
10.1002_aenm.201803047_Fig6_A_stability_performance_curve_pce_ff_e2ee4c27b7,IFO-Bridge,IFO-Bridge,IFO-Bridge,IFO-Slope
10.1002_aenm.201803587_Fig5_D_stability_performance_curve_pce_eqe_c6cae996f9,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.201803766_Fig4_F_stability_performance_curve_pce_752d9cf539,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.201803766_Fig4_F_stability_performance_curve_pce_8f06f00b66,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.201803766_Fig4_F_stability_performance_curve_pce_a192b2bae9,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.201901980_Fig3_A_stability_performance_curve_pce_56972ec5d5,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_aenm.201901980_Fig3_A_stability_performance_curve_pce_89b8b76581,IFO-Slope,IFO-Valley,IFO-Hill,IFO-Slope
10.1002_aenm.201902472_Fig5_D_stability_performance_curve_8150f40988,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_aenm.201902653_Fig5_E_stability_performance_curve_pce_27c98719da,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
10.1002_aenm.201903013_Fig5_E_stability_performance_curve_pce_75e59ea8d7,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.201903146_Fig7_whole_figure_78f863b320,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Hill
10.1002_aenm.201903299_Fig6_C_stability_performance_curve_pce_7f9262130c,IFO-Slope,IFO-Slope,IFO-Slope,IFO-Slope
