time_h,normalised_pce
185.5,0.943732
185.6667,0.943678
185.8333,0.943624
186.0,0.94357
186.1667,0.943517
186.3333,0.943463
186.5,0.94341
186.6667,0.943357
186.8333,0.943305
187.0,0.943253
187.1667,0.943201
187.3333,0.943149
187.5,0.943097
187.6667,0.943046
187.8333,0.942995
188.0,0.942944
188.1667,0.942894
188.3333,0.942844
188.5,0.942794
188.6667,0.942745
188.8333,0.942696
189.0,0.942647
189.1667,0.942598
189.3333,0.94255
189.5,0.942502
189.6667,0.942454
189.8333,0.942407
190.0,0.942361
190.1667,0.942314
190.3333,0.942269
190.5,0.942223
190.6667,0.942178
190.8333,0.942134
191.0,0.94209
191.1667,0.942046
191.3333,0.942003
191.5,0.941961
191.6667,0.941919
191.8333,0.941877
192.0,0.941836
192.1667,0.941796
192.3333,0.941757
192.5,0.941718
192.6667,0.94168
192.8333,0.941643
193.0,0.941606
193.1667,0.94157
193.3333,0.941535
193.5,0.9415
193.6667,0.941466
193.8333,0.941433
194.0,0.941401
194.1667,0.941369
194.3333,0.94134
194.5,0.941311
194.6667,0.941284
194.8333,0.941257
195.0,0.94123
195.1667,0.941205
195.3333,0.94118
195.5,0.941156
195.6667,0.941133
195.8333,0.94111
196.0,0.941089
196.1667,0.941068
196.3333,0.941047
196.5,0.941028
196.6667,0.941009
196.8333,0.940991
197.0,0.940974
197.1667,0.940958
197.3333,0.940942
197.5,0.940927
197.6667,0.940913
197.8333,0.9409
198.0,0.940888
198.1667,0.940876
198.3333,0.940865
198.5,0.940854
198.6667,0.940845
198.8333,0.940836
199.0,0.940828
199.1667,0.940821
199.3333,0.940815
199.5,0.940809
199.6667,0.940804
199.8333,0.9408
200.0,0.940796
