curve_id,kept_index,doi,doi_dir,top_dir,figure_folder,figure_label,series_id,legend_hint,csv_path,abs_max_pce,delta_pce_rel_pct,max_pce_bin,max_pce_bin_absolute,max_pce_source
637,620,10.1002/adfm.201804856,10.1002_adfm.201804856,x_time_h,Fig5_F_stability_performance_curve_eqe,Fig5_F,Series_1,MAPbI₃,x_time_h/10.1002_adfm.201804856/Fig5_F_stability_performance_curve_eqe/accepted/10.1002_adfm.201804856__Fig5__F__stability_performance_curve_eqe__MAPbI₃__Series_1.csv,0.997230556287941,27.751285552978516,Q2,n/a,pre-normalised
646,629,10.1002/adfm.201910620,10.1002_adfm.201910620,x_time_h,Fig5_D_stability_performance_curve_pce,Fig5_D,Series_1,w_oM2P,x_time_h/10.1002_adfm.201910620/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201910620__Fig5__D__stability_performance_curve_pce__w_oM2P__Series_1.csv,0.9673414504582117,23.734622955322266,Q1,n/a,pre-normalised
647,630,10.1002/adfm.202000034,10.1002_adfm.202000034,x_time_h,Fig6_F_stability_performance_curve_pce,Fig6_F,Series_2,BA_(n=4),x_time_h/10.1002_adfm.202000034/Fig6_F_stability_performance_curve_pce/accepted/10.1002_adfm.202000034__Fig6__F__stability_performance_curve_pce__BA_(n=4)__Series_2.csv,1.0044595347269274,30.698627471923828,Q3,n/a,pre-normalised
657,640,10.1002/adfm.202010696,10.1002_adfm.202010696,x_time_h,Fig6_B_mppt_stability_performance_curve_pce,Fig6_B,Series_2,"→CsPbl,Br-PT_Spiro-OMeTAD","x_time_h/10.1002_adfm.202010696/Fig6_B_mppt_stability_performance_curve_pce/accepted/10.1002_adfm.202010696__Fig6__B__mppt_stability_performance_curve_pce__→CsPbl,Br-PT_Spiro-OMeTAD__Series_2.csv",0.9947979412333603,20.991302490234375,Q1,n/a,pre-normalised
658,641,10.1002/adfm.202103316,10.1002_adfm.202103316,x_time_h,Fig6_B_stability_performance_curve_pce_image,Fig6_B,Series_1,reference,x_time_h/10.1002_adfm.202103316/Fig6_B_stability_performance_curve_pce_image/accepted/10.1002_adfm.202103316__Fig6__B__stability_performance_curve_pce_image__reference__Series_1.csv,0.9996764700799183,21.93303680419922,Q2,n/a,pre-normalised
662,645,10.1002/adfm.202103316,10.1002_adfm.202103316,x_time_h,Fig6_C_stability_performance_curve_pce_image,Fig6_C,Series_2,w_5CzBn,x_time_h/10.1002_adfm.202103316/Fig6_C_stability_performance_curve_pce_image/accepted/10.1002_adfm.202103316__Fig6__C__stability_performance_curve_pce_image__w_5CzBn__Series_2.csv,1.00679452203988,27.43968391418457,Q4,n/a,pre-normalised
665,648,10.1002/adfm.202106560,10.1002_adfm.202106560,x_time_h,Fig4_B_stability_performance_curve,Fig4_B,Series_2,"。—FASnl,_based_PSCs_with_HTL","x_time_h/10.1002_adfm.202106560/Fig4_B_stability_performance_curve/accepted/10.1002_adfm.202106560__Fig4__B__stability_performance_curve__。—FASnl,_based_PSCs_with_HTL__Series_2.csv",0.9996607832352997,16.641199111938477,Q2,n/a,pre-normalised
666,649,10.1002/adfm.202107710,10.1002_adfm.202107710,x_time_h,Fig4_F_stability_performance_curve_jsc,Fig4_F,Series_1,FASnl₃,x_time_h/10.1002_adfm.202107710/Fig4_F_stability_performance_curve_jsc/accepted/10.1002_adfm.202107710__Fig4__F__stability_performance_curve_jsc__FASnl₃__Series_1.csv,1.0214107676779096,26.78675079345703,Q4,n/a,pre-normalised
667,650,10.1002/adfm.202111116,10.1002_adfm.202111116,x_time_h,Fig5_B_stability_performance_curve,Fig5_B,Series_2,O-Ref,x_time_h/10.1002_adfm.202111116/Fig5_B_stability_performance_curve/accepted/10.1002_adfm.202111116__Fig5__B__stability_performance_curve__O-Ref__Series_2.csv,100.3083119371711,13.895702362060547,Q5,Q5,absolute
670,653,10.1002/adfm.202200473,10.1002_adfm.202200473,x_time_h,Fig4_B_stability_performance_curve,Fig4_B,Series_1,FA0.92CS0.08PbI3,x_time_h/10.1002_adfm.202200473/Fig4_B_stability_performance_curve/accepted/10.1002_adfm.202200473__Fig4__B__stability_performance_curve__FA0.92CS0.08PbI3__Series_1.csv,1.0010153814557792,20.368873596191406,Q3,n/a,pre-normalised
