k,cluster_a,cluster_b,center_distance,within_radius_sum,separation_to_spread
13,10,12,0.5048047970094302,0.24399050203716416,2.068952655101875
13,10,13,0.6912149291232471,0.23995652181545618,2.8805840487004604
13,11,12,0.36120901948616313,0.31034378784180694,1.163899628853805
13,11,13,0.4342244165481198,0.306309807620099,1.4175988027346058
13,12,13,0.3421427694228285,0.30820627729562866,1.1101096720838306
14,1,2,0.15610865180427913,0.1430456083878339,1.0913208281167774
14,1,3,0.24636328731130883,0.21157703093673902,1.1644141437308042
14,1,4,0.32174612356958643,0.12144077522931732,2.649407688332287
14,1,5,0.191391294557164,0.11020809892649665,1.7366354779861735
14,1,6,0.4604999738536753,0.1977954662807472,2.3281624321967533
14,1,7,0.4592165989567063,0.19794500302439874,2.3199201391312876
14,1,8,0.08430268874533081,0.11293745247447631,0.7464546693611943
14,1,9,0.20526881899566002,0.11359855394029465,1.806966830788582
14,1,10,0.32397652826295414,0.1452237451320962,2.2308784831865034
14,1,11,0.10388981865870814,0.15863213987030353,0.6549102769693941
14,1,12,0.09458112316466784,0.12851589304611324,0.7359488458811149
14,1,13,0.2696758710581149,0.20748907941414702,1.2997111550138185
14,1,14,0.5052460908880121,0.17661347111500858,2.8607449233529976
14,2,3,0.207573530299098,0.23991589561737217,0.865192903392049
14,2,4,0.41538006081986767,0.14977963990995047,2.7732745323035877
14,2,5,0.31096401536814633,0.13854696360712979,2.2444664774460907
14,2,6,0.3886359860742976,0.22613433096138036,1.718606743266548
14,2,7,0.512356722042271,0.2262838677050319,2.2642211627306286
14,2,8,0.12039876913284853,0.14127631715510947,0.8522218837334274
14,2,9,0.11271129603525303,0.1419374186209278,0.7940914885613852
14,2,10,0.1925882028588429,0.17356260981272936,1.1096180396609718
14,2,11,0.20102922390629677,0.18697100455093668,1.0751893021547638
14,2,12,0.23203718014632999,0.1568547577267464,1.4793123492661753
14,2,13,0.290327423034727,0.23582794409478017,1.231098477956638
14,2,14,0.5202634933450763,0.2049523357956417,2.538460912511052
14,3,4,0.40348513374386713,0.21831106245885556,1.8482120383611378
14,3,5,0.3358621169668873,0.2070783861560349,1.621908124751431
14,3,6,0.3669941367209972,0.29466575351028546,1.2454590747281633
14,3,7,0.4161885687229731,0.29481529025393705,1.411692617314699
14,3,8,0.24426078989979697,0.2098077397040146,1.1642124844602342
14,3,9,0.25829016474361577,0.21046884116983292,1.2272133172206452
14,3,10,0.3011753285331948,0.24209403236163446,1.2440427613816851
14,3,11,0.22556482562737656,0.2555024270998418,0.8828285045575454
14,3,12,0.307911122733455,0.2253861802756515,1.3661490795792093
14,3,13,0.29684177469671147,0.3043593666436853,0.9753002773337524
14,3,14,0.4483211032799103,0.27348375834454686,1.6392969951623075
14,4,5,0.14131953664904207,0.11694213044861321,1.2084570043910803
14,4,6,0.43784101932265923,0.20452949780286378,2.14072309386235
14,4,7,0.25133759089807384,0.20467903454651531,1.2279596269101754
14,4,8,0.40351174153199404,0.11967148399659286,3.371828676775516
14,4,9,0.5072472469263661,0.12033258546241121,4.215377281034296
14,4,10,0.6028984012595453,0.15195777665421276,3.967538973878709
14,4,11,0.28367723117578086,0.16536617139242007,1.715448986858408
14,4,12,0.2604221678907259,0.1352499245682298,1.9254884520053854
14,4,13,0.21053696918377215,0.21422311093626356,0.9827929781414289
14,4,14,0.30082949695709515,0.18334750263712513,1.6407613555145402
14,5,6,0.45481796723786433,0.1932968215000431,2.352951092047641
14,5,7,0.3322322732160292,0.19344635824369463,1.7174387578674322
14,5,8,0.2749603117222454,0.1084388076937722,2.535626475152002
14,5,9,0.38994502953902127,0.10909990915959054,3.5742012302559534
14,5,10,0.4983718573272427,0.1407251003513921,3.5414567556377845
