k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,norm
8,0.3,0.1,29,5000,2x4,0.09137225598275316,8,0.24892440815745218,0.45871559633027525,minmax
8,0.3,0.1,47,5000,2x4,0.09155802303648151,8,0.24887846294284746,0.39908256880733944,minmax
9,0.3,0.1,11,5000,3x3,0.08891815126984443,9,0.2564002941259742,0.45871559633027525,minmax
9,0.3,0.1,29,5000,3x3,0.08887578768719341,9,0.25570612711697327,0.30275229357798167,minmax
9,0.3,0.1,47,5000,3x3,0.08960301918765672,9,0.2655687998390057,0.6009174311926605,minmax
10,0.3,0.1,11,5000,2x5,0.0884555327843937,10,0.2508757545920864,0.43577981651376146,minmax
10,0.3,0.1,29,5000,2x5,0.08626908906787396,10,0.24876570760526268,0.8853211009174312,minmax
10,0.3,0.1,47,5000,2x5,0.08627954872863779,10,0.24653147262890648,0.8944954128440367,minmax
11,0.3,0.1,11,5000,1x11,0.08407889818226844,11,0.2164006031177144,0.8532110091743119,minmax
11,0.3,0.1,29,5000,1x11,0.08354968186400348,11,0.21876356336471445,0.8761467889908257,minmax
11,0.3,0.1,47,5000,1x11,0.0840992455525425,11,0.23709053006671685,0.7614678899082569,minmax
12,0.3,0.1,11,5000,3x4,0.08452844577763773,12,0.24496870803298168,0.6284403669724771,minmax
12,0.3,0.1,29,5000,3x4,0.08184715572831155,12,0.20607402935734428,0.6926605504587156,minmax
12,0.3,0.1,47,5000,3x4,0.08387752106482343,11,0.2469964371468857,0.3669724770642202,minmax
13,0.3,0.1,11,5000,1x13,0.08048655118044362,13,0.22159829828462263,0.8577981651376146,minmax
13,0.3,0.1,29,5000,1x13,0.08215143291949027,13,0.24642338977297124,0.9541284403669725,minmax
13,0.3,0.1,47,5000,1x13,0.07920439844903274,13,0.22377454966108992,0.8899082568807339,minmax
14,0.3,0.1,11,5000,2x7,0.07808193089900077,14,0.22905540578060252,0.518348623853211,minmax
14,0.3,0.1,29,5000,2x7,0.08189283333008392,14,0.2270836445641719,0.6376146788990825,minmax
14,0.3,0.1,47,5000,2x7,0.07885780267349686,14,0.259061066972829,0.5137614678899083,minmax
15,0.3,0.1,11,5000,3x5,0.0774396788885516,15,0.23197645064503733,0.8532110091743119,minmax
15,0.3,0.1,29,5000,3x5,0.07734605964039164,15,0.2018456226520165,0.6559633027522935,minmax
