k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,parent
6,0.5,0.1,101,30000,2x3,0.06370849404119809,6,0.2243412646376211,0.06741573033707865,3
7,0.5,0.1,11,30000,1x7,0.061216657539776585,7,0.22807867559590161,0.4606741573033708,3
7,0.5,0.1,29,30000,1x7,0.05974241925656828,7,0.17634454949657505,0.43820224719101125,3
7,0.5,0.1,47,30000,1x7,0.060147229228009726,7,0.1794072363905823,0.14606741573033707,3
7,0.5,0.1,71,30000,1x7,0.06059699616107436,7,0.17976290968227238,0.42696629213483145,3
7,0.5,0.1,101,30000,1x7,0.05965160676332264,7,0.1798438188589594,0.30337078651685395,3
8,0.5,0.1,11,30000,2x4,0.05753805575459853,8,0.179055259284938,0.1348314606741573,3
8,0.5,0.1,29,30000,2x4,0.05766416209197902,8,0.17946357116669745,0.3258426966292135,3
8,0.5,0.1,47,30000,2x4,0.05831924315404643,8,0.17992035097273837,0.30337078651685395,3
8,0.5,0.1,71,30000,2x4,0.05739021505558415,8,0.1749912408363237,0.29213483146067415,3
8,0.5,0.1,101,30000,2x4,0.05701721692999513,8,0.18337971954816815,0.3258426966292135,3
1,0.5,0.1,11,30000,1x1,0.10504192290622398,1,,,4
1,0.5,0.1,29,30000,1x1,0.1038846556001062,1,,,4
1,0.5,0.1,47,30000,1x1,0.10665336130699958,1,,,4
1,0.5,0.1,71,30000,1x1,0.10640146524361457,1,,,4
1,0.5,0.1,101,30000,1x1,0.1045166746321219,1,,,4
2,0.5,0.1,11,30000,1x2,0.08847501719386473,2,0.3050589254215967,0.0,4
2,0.5,0.1,29,30000,1x2,0.08740001984367907,2,0.31389615434696805,0.0,4
2,0.5,0.1,47,30000,1x2,0.08960619897331976,2,0.31389615434696805,0.0,4
2,0.5,0.1,71,30000,1x2,0.08765372062765135,2,0.31389615434696805,0.0,4
2,0.5,0.1,101,30000,1x2,0.08746532147791418,2,0.31389615434696805,0.0,4
3,0.5,0.1,11,30000,1x3,0.08107834530892544,3,0.31850797360339633,0.8,4
3,0.5,0.1,29,30000,1x3,0.08096309173168739,3,0.31850797360339633,0.1,4
3,0.5,0.1,47,30000,1x3,0.0808234130942814,3,0.31850797360339633,0.15,4
3,0.5,0.1,71,30000,1x3,0.08084722339015939,3,0.31850797360339633,0.8166666666666667,4
3,0.5,0.1,101,30000,1x3,0.08105862258661924,3,0.31850797360339633,0.05,4
4,0.5,0.1,11,30000,2x2,0.07337504296518925,4,0.2502674920115256,0.0,4
4,0.5,0.1,29,30000,2x2,0.07097573653260168,4,0.2616353189011897,0.0,4
4,0.5,0.1,47,30000,2x2,0.07182470837986382,4,0.2616353189011897,0.0,4
4,0.5,0.1,71,30000,2x2,0.07353578329458572,4,0.2555237666998137,0.0,4
4,0.5,0.1,101,30000,2x2,0.07170211173272906,4,0.2616353189011897,0.0,4
5,0.5,0.1,11,30000,1x5,0.06563036243567907,5,0.23705196476336474,0.7333333333333333,4
5,0.5,0.1,29,30000,1x5,0.06649444032486193,5,0.23705196476336474,0.5166666666666667,4
5,0.5,0.1,47,30000,1x5,0.06636073336060193,5,0.23705196476336474,0.2833333333333333,4
5,0.5,0.1,71,30000,1x5,0.06677026361435763,5,0.22930683029533447,0.26666666666666666,4
5,0.5,0.1,101,30000,1x5,0.06687444799184247,5,0.23705196476336474,0.6666666666666666,4
6,0.5,0.1,11,30000,2x3,0.0622100280619725,6,0.2469755163419006,0.016666666666666666,4
6,0.5,0.1,29,30000,2x3,0.06370827977029385,6,0.24898238775492348,0.23333333333333334,4
6,0.5,0.1,47,30000,2x3,0.06424406523249232,6,0.23741852420988846,0.2833333333333333,4
6,0.5,0.1,71,30000,2x3,0.06512468176213825,6,0.2434911277455483,0.05,4
6,0.5,0.1,101,30000,2x3,0.06294485907971335,6,0.25444680615563076,0.21666666666666667,4
7,0.5,0.1,11,30000,1x7,0.05951813021466012,7,0.263354006911427,0.7333333333333333,4
7,0.5,0.1,29,30000,1x7,0.05992979388027249,7,0.2627909077249571,0.6666666666666666,4
7,0.5,0.1,47,30000,1x7,0.059431464527635806,7,0.2576476907246341,0.48333333333333334,4
7,0.5,0.1,71,30000,1x7,0.05944158135380183,7,0.263354006911427,0.75,4
7,0.5,0.1,101,30000,1x7,0.06107510720253218,7,0.24886720852839506,0.5166666666666667,4
8,0.5,0.1,11,30000,2x4,0.05454291489843195,8,0.2587796583382417,0.38333333333333336,4
8,0.5,0.1,29,30000,2x4,0.05625142431708272,8,0.27582200062068574,0.1,4
8,0.5,0.1,47,30000,2x4,0.056324349993258874,8,0.22647631616886044,0.15,4
8,0.5,0.1,71,30000,2x4,0.05425666846079689,8,0.2587796583382417,0.38333333333333336,4
8,0.5,0.1,101,30000,2x4,0.05707559090353485,8,0.20230087742178193,0.1,4
