k,sigma,seed,qe_elastic,occupied,silhouette_elastic,method,assigned_l2_centroid_error,silhouette_l2
13,0.3,71,0.02483367284454463,13,0.06787364275795149,dtw_0,0.11787486533015315,0.06938524134537216
13,0.3,101,0.025512747987742182,13,0.39045241456306634,dtw_0,0.14587109324879569,-0.11371711348571696
14,0.3,11,0.024490875186658892,14,-0.00689736115852583,dtw_0,0.120306760503168,0.0021569280027355264
14,0.3,29,0.023498271098277717,14,0.16863766516417672,dtw_0,0.12642873559578435,-0.008458016637633858
14,0.3,47,0.0239278410713189,14,0.16692833561879022,dtw_0,0.12609228417375398,0.11613841341365605
14,0.3,71,0.0245848122644275,14,0.06828727149168,dtw_0,0.11722642791003275,0.0631192035678469
14,0.3,101,0.025018877425451506,14,0.3778723638737206,dtw_0,0.14148300275579592,-0.11145591020533552
15,0.3,11,0.024099674973576797,15,-0.012857010271518513,dtw_0,0.11920464473817045,0.005924966474972942
15,0.3,29,0.023092383679948855,15,0.16921100044857468,dtw_0,0.12386222423412063,0.017856354573781732
15,0.3,47,0.024850716236591117,15,0.3534553377561048,dtw_0,0.13836953297246038,-0.07114756100365575
15,0.3,71,0.023624579357979392,15,0.07869851296195483,dtw_0,0.1140614928316277,0.03911076661635561
15,0.3,101,0.024234498732222203,15,0.3852257989810298,dtw_0,0.1394812623790075,-0.1828830482889277
16,0.3,11,0.02288488897866359,16,0.0035383818668982873,dtw_0,0.1168429847116668,0.015906495956848447
16,0.3,29,0.022340016366457553,16,0.1698259070818828,dtw_0,0.12242374612890367,0.016640986430450495
16,0.3,47,0.02443590006994561,16,0.34385383090892824,dtw_0,0.13664460111817234,-0.07819828335356133
16,0.3,71,0.023111602352017143,16,0.13621597631693635,dtw_0,0.11852683582500458,-0.012377407778392418
16,0.3,101,0.022485240958480097,16,0.16841739021391547,dtw_0,0.12154392848678204,-0.07849330645528502
1,0.5,11,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.5,29,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.5,47,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.5,71,0.05165368412402472,1,,dtw_0,0.1945852055076173,
1,0.5,101,0.05165368412402472,1,,dtw_0,0.1945852055076173,
2,0.5,11,0.04435927575249731,2,0.5384552963478895,dtw_0,0.1725680888862382,0.30824299705209735
2,0.5,29,0.04435927575249731,2,0.5384552963478895,dtw_0,0.1725680888862382,0.30824299705209735
2,0.5,47,0.04435927575249731,2,0.5384552963478895,dtw_0,0.1725680888862382,0.30824299705209735
2,0.5,71,0.04435927575249731,2,0.5384552963478895,dtw_0,0.1725680888862382,0.30824299705209735
2,0.5,101,0.04435927575249731,2,0.5384552963478895,dtw_0,0.1725680888862382,0.30824299705209735
3,0.5,11,0.03514705466836191,3,0.31255153542393166,dtw_0,0.15433188076158827,0.22270919824002253
3,0.5,29,0.033901850160874845,3,0.13789480070151983,dtw_0,0.1482354476151583,0.1961813269020211
3,0.5,47,0.04186486122873299,3,0.5406557737497344,dtw_0,0.16576331459659635,0.25896892590616355
3,0.5,71,0.04152036121685472,3,0.4221453373446012,dtw_0,0.16625178986811442,0.16494155137671107
3,0.5,101,0.0429137230976654,3,0.2589605829014107,dtw_0,0.16603067805410707,0.13152455933057536
4,0.5,11,0.03232042068293085,4,0.11208473494221256,dtw_0,0.13903059859480718,0.17091899781365433
4,0.5,29,0.0340186771194509,4,0.19964748027521131,dtw_0,0.15388034147984556,0.1230246658784561
