k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,norm
6,0.5,0.3,71,50000,2x3,0.04455700370376627,6,0.47768684255884386,0.0,maxabs
6,0.5,0.3,101,50000,2x3,0.04561412944781622,6,0.4875573452632667,0.0,maxabs
7,0.5,0.3,11,50000,1x7,0.03923808139530743,7,0.4607040336668238,0.2018348623853211,maxabs
7,0.5,0.3,29,50000,1x7,0.03845043804988146,7,0.45921746917986195,0.3577981651376147,maxabs
7,0.5,0.3,47,50000,1x7,0.03749813171493371,7,0.462872094194289,0.04128440366972477,maxabs
7,0.5,0.3,71,50000,1x7,0.037562066087076997,7,0.4633841047540703,0.01834862385321101,maxabs
7,0.5,0.3,101,50000,1x7,0.04252287578376058,7,0.4611413202033124,0.013761467889908258,maxabs
8,0.5,0.3,11,50000,2x4,0.035434778507898355,8,0.45986897481886174,0.0,maxabs
8,0.5,0.3,29,50000,2x4,0.03608475511121269,8,0.4634185618724064,0.0,maxabs
8,0.5,0.3,47,50000,2x4,0.0357692986419675,8,0.4645933177975839,0.009174311926605505,maxabs
8,0.5,0.3,71,50000,2x4,0.03754312083590027,8,0.45833858745550504,0.0,maxabs
8,0.5,0.3,101,50000,2x4,0.03716139390909157,8,0.46126362152877953,0.0,maxabs
9,0.5,0.3,11,50000,3x3,0.03432521383621016,9,0.46068288167136606,0.13302752293577982,maxabs
9,0.5,0.3,29,50000,3x3,0.03529050059122821,9,0.44435353392019195,0.06880733944954129,maxabs
9,0.5,0.3,47,50000,3x3,0.03374554261321904,9,0.4614691501471808,0.03669724770642202,maxabs
9,0.5,0.3,71,50000,3x3,0.035086771177053305,9,0.4643552658488599,0.08256880733944955,maxabs
9,0.5,0.3,101,50000,3x3,0.0348472051733402,9,0.458476816475889,0.14678899082568808,maxabs
10,0.5,0.3,11,50000,2x5,0.03238549774948836,10,0.45603194173792816,0.01834862385321101,maxabs
10,0.5,0.3,29,50000,2x5,0.03381595218502434,10,0.45949760737166556,0.18807339449541285,maxabs
10,0.5,0.3,47,50000,2x5,0.03365137202566827,10,0.45688995102983704,0.0,maxabs
10,0.5,0.3,71,50000,2x5,0.03270594158629086,10,0.4596383845250449,0.022935779816513763,maxabs
10,0.5,0.3,101,50000,2x5,0.03285051616855621,10,0.4540000818610139,0.013761467889908258,maxabs
11,0.5,0.3,11,50000,1x11,0.032215710697392666,11,0.44939806541317906,0.3440366972477064,maxabs
11,0.5,0.3,29,50000,1x11,0.03267213680581893,10,0.4596164082041612,0.3944954128440367,maxabs
11,0.5,0.3,47,50000,1x11,0.03194967911629532,11,0.453254076995222,0.43119266055045874,maxabs
11,0.5,0.3,71,50000,1x11,0.03184142567112013,11,0.4648505765550016,0.16055045871559634,maxabs
11,0.5,0.3,101,50000,1x11,0.03205439728310304,11,0.4574039077981966,0.11926605504587157,maxabs
12,0.5,0.3,11,50000,3x4,0.03049069136374595,12,0.39802850202785867,0.15137614678899083,maxabs
12,0.5,0.3,29,50000,3x4,0.030280625720288237,12,0.45970764493186267,0.11467889908256881,maxabs
12,0.5,0.3,47,50000,3x4,0.03102670754376795,12,0.45869972907539786,0.06422018348623854,maxabs
12,0.5,0.3,71,50000,3x4,0.031146952806973296,12,0.4426466240516252,0.10091743119266056,maxabs
12,0.5,0.3,101,50000,3x4,0.029598583379214158,12,0.3675497534695969,0.24770642201834864,maxabs
13,0.5,0.3,11,50000,1x13,0.029329149982377255,13,0.40011810643001783,0.40825688073394495,maxabs
13,0.5,0.3,29,50000,1x13,0.029997089513185235,13,0.4478747651625388,0.2706422018348624,maxabs
13,0.5,0.3,47,50000,1x13,0.028754772647264323,13,0.35364056686702944,0.42201834862385323,maxabs
13,0.5,0.3,71,50000,1x13,0.028381242756763802,13,0.3580134602885395,0.3073394495412844,maxabs
13,0.5,0.3,101,50000,1x13,0.029317610028556495,13,0.389640309814132,0.2706422018348624,maxabs
