curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours
图片184_6dd94ccd86,True,,lab-v2/som_references/accepted/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__OCT-doped__Series_2.csv,图片184,samples_test__unknown__unknown__图片184__OCT-doped__Series_2,Time,( h),PCE,( %),1.0,48,990.6839997767673
图片184_507faa5323,True,,lab-v2/som_references/accepted/samples_test/图片184/accepted/samples_test__unknown__unknown__图片184__Pristine__Series_1.csv,图片184,samples_test__unknown__unknown__图片184__Pristine__Series_1,Time,( h),PCE,( %),1.0,37,743.0129998325757
图片186_f3af022574,True,,lab-v2/som_references/accepted/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_1__Series_1.csv,图片186,samples_test__unknown__unknown__图片186__Series_1__Series_1,Time,(h),PCE,(Nor.),1.0,37,70.75459625186805
图片186_a9bd8efcd9,True,,lab-v2/som_references/accepted/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_2__Series_2.csv,图片186,samples_test__unknown__unknown__图片186__Series_2__Series_2,Time,(h),PCE,(Nor.),1.0,37,70.75459625186805
图片186_3192ff9cc9,True,,lab-v2/som_references/accepted/samples_test/图片186/accepted/samples_test__unknown__unknown__图片186__Series_3__Series_3.csv,图片186,samples_test__unknown__unknown__图片186__Series_3__Series_3,Time,(h),PCE,(Nor.),1.0,37,70.75459625186804
图片19_357d04a2ef,True,,lab-v2/som_references/accepted/samples_test/图片19/accepted/samples_test__unknown__unknown__图片19__PCE24.7%@t=0__Series_2.csv,图片19,samples_test__unknown__unknown__图片19__PCE24.7%@t=0__Series_2,Time,(h),Normalized PCE,,1.0,31,988.2561874666283
图片19_b6c1315f5c,True,,lab-v2/som_references/accepted/samples_test/图片19/accepted/samples_test__unknown__unknown__图片19__SAM__Series_1.csv,图片19,samples_test__unknown__unknown__图片19__SAM__Series_1,Time,(h),Normalized PCE,,1.0,31,988.2561874666287
图片190_46e98c994b,True,,lab-v2/som_references/accepted/samples_test/图片190/accepted/samples_test__unknown__unknown__图片190__Control__Series_1.csv,图片190,samples_test__unknown__unknown__图片190__Control__Series_1,Time,(h),PCE,(%),1.0,26,712.3329859504383
图片190_df7fb5d9b1,True,,lab-v2/som_references/accepted/samples_test/图片190/accepted/samples_test__unknown__unknown__图片190__Target__Series_2.csv,图片190,samples_test__unknown__unknown__图片190__Target__Series_2,Time,(h),PCE,(%),1.0,6,142.46659719008764
图片193_0c17e012f8,True,,lab-v2/som_references/accepted/samples_test/图片193/accepted/samples_test__unknown__unknown__图片193__Series_1__Series_1.csv,图片193,samples_test__unknown__unknown__图片193__Series_1__Series_1,Time,(hr),PCE,(%),1.0,40,446.204850971782
图片194_7e47c73e7b,True,,lab-v2/som_references/accepted/samples_test/图片194/accepted/samples_test__unknown__unknown__图片194__Series_1__Series_1.csv,图片194,samples_test__unknown__unknown__图片194__Series_1__Series_1,Time,(hr),PCE,(%),1.0,39,100.70399347297044
图片196_fcb6aa8a0d,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片196/accepted/samples_test__unknown__unknown__图片196__Series_1__Series_1.csv,图片196,samples_test__unknown__unknown__图片196__Series_1__Series_1,HF Cycle,,Normalized PCE,(a.u.),,30,
图片196_c57919fcd4,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片196/accepted/samples_test__unknown__unknown__图片196__Series_2__Series_2.csv,图片196,samples_test__unknown__unknown__图片196__Series_2__Series_2,HF Cycle,,Normalized PCE,(a.u.),,27,
图片197_d52078c7d4,True,,lab-v2/som_references/accepted/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__0.74M(16_1)__Series_1.csv,图片197,samples_test__unknown__unknown__图片197__0.74M(16_1)__Series_1,Time,(h),PCE,(%),1.0,38,500.03163787024835
图片197_80552e30c2,True,,lab-v2/som_references/accepted/samples_test/图片197/accepted/samples_test__unknown__unknown__图片197__1.40M（8_1）__Series_2.csv,图片197,samples_test__unknown__unknown__图片197__1.40M（8_1）__Series_2,Time,(h),PCE,(%),1.0,39,513.5460064613361
图片200_127c05ff0a,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片200/accepted/samples_test__unknown__unknown__图片200__Series_1__Series_1.csv,图片200,samples_test__unknown__unknown__图片200__Series_1__Series_1,,,,,,37,
图片200_4fe3112575,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片200/accepted/samples_test__unknown__unknown__图片200__Series_2__Series_2.csv,图片200,samples_test__unknown__unknown__图片200__Series_2__Series_2,,,,,,37,
