id_a,id_b,cluster,DTW
C104,C062,1,0.2365266155281594
C104,C063,1,0.36179793971979557
C104,C064,1,0.3749981565389562
C104,C065,1,0.35843760583970957
C104,C086,1,0.3850979749245771
C104,C087,1,0.23517228272646087
C104,C091,1,0.4866673786839143
C104,C092,1,0.31769991650757656
C104,C093,1,0.5197272383803653
C104,C095,1,0.37934928389858114
C104,C099,1,0.54105917428332
C104,C100,1,0.6451629645116596
C104,C103,1,0.3425580419207306
C105,C005,1,0.1998529288128195
C105,C006,1,0.13478726478407463
C105,C007,1,0.32207609459365805
C105,C008,1,0.48616004105515676
C105,C009,1,0.16404619720344216
C105,C010,1,0.18912049969624609
C105,C014,1,0.2643290992905127
C105,C015,1,0.21105477073540763
C105,C016,1,0.895950071469899
C105,C017,1,0.5002564233403128
C105,C018,1,0.204307013941183
C105,C019,1,0.1689059507536818
C105,C025,1,0.1931764457289834
C105,C028,1,0.2533598424578859
C105,C030,1,0.12260745690048157
C105,C031,1,0.4473353806553177
C105,C034,1,0.22283259793708565
C105,C035,1,0.20248195270460057
C105,C036,1,0.38386849726153033
C105,C037,1,0.16841874534910986
C105,C038,1,0.1300732315029641
C105,C045,1,0.12197701877770296
C105,C046,1,0.23134683688314187
C105,C047,1,0.5739001372796905
C105,C050,1,0.17773703817643252
C105,C051,1,0.6624757432533609
C105,C052,1,0.17807116107725074
C105,C053,1,0.21259203173554198
C105,C056,1,0.13760584595043024
C105,C057,1,0.1254130475050502
C105,C061,1,0.2815891127047848
C105,C062,1,0.2044126864591896
C105,C063,1,0.10765104516607418
C105,C064,1,0.10123043389723231
C105,C065,1,0.1209615358438332
C105,C086,1,0.14671058789681643
C105,C087,1,0.42855790729435694
C105,C091,1,0.16482192148684735
C105,C092,1,0.09566502690456209
C105,C093,1,0.14834636739995
C105,C095,1,0.16648276906115866
C105,C099,1,0.7098517011745797
C105,C100,1,0.776297728126018
C105,C103,1,0.1891147768274851
C105,C104,1,0.36511614733784425
C106,C005,1,0.2919822927973922
C106,C006,1,0.27285767021343066
C106,C007,1,0.4921813527923985
C106,C008,1,0.517283826687355
C106,C009,1,0.13605353937011455
C106,C010,1,0.14501165156964185
C106,C014,1,0.44244804182145564
