K,mode,replicate,ARI
5,bootstrap90,49,0.7533090854550227
6,bootstrap90,49,0.7500266226122395
7,bootstrap90,49,0.6305060392438597
8,bootstrap90,49,0.8608131479241435
9,bootstrap90,49,0.9951897148412654
10,bootstrap90,49,0.6860269529496124
2,bootstrap95,0,1.0
3,bootstrap95,0,0.7204856608793763
4,bootstrap95,0,1.0
5,bootstrap95,0,0.893439532472429
6,bootstrap95,0,0.8939996145251106
7,bootstrap95,0,0.6618041458930101
8,bootstrap95,0,0.9217616377112828
9,bootstrap95,0,0.9954508313539192
10,bootstrap95,0,0.5070592286501377
2,bootstrap95,1,1.0
3,bootstrap95,1,0.6836245995749944
4,bootstrap95,1,0.7686445591849131
5,bootstrap95,1,0.7645276783255301
6,bootstrap95,1,0.7668999588307945
7,bootstrap95,1,0.7807743564564775
8,bootstrap95,1,0.8761254268860602
9,bootstrap95,1,0.9986651009203777
10,bootstrap95,1,0.9973328386718339
2,bootstrap95,2,1.0
3,bootstrap95,2,0.9011956177123331
4,bootstrap95,2,0.9118421660583098
5,bootstrap95,2,0.9066002203784828
6,bootstrap95,2,0.9088319015715826
7,bootstrap95,2,0.9164197070004495
8,bootstrap95,2,0.7949134710138729
9,bootstrap95,2,0.9984939267675838
10,bootstrap95,2,0.5615019044948306
2,bootstrap95,3,1.0
3,bootstrap95,3,1.0
4,bootstrap95,3,1.0
5,bootstrap95,3,0.9921123955021193
6,bootstrap95,3,0.8411914309586609
7,bootstrap95,3,0.8419527046753138
8,bootstrap95,3,0.9983065469533822
9,bootstrap95,3,0.9242634601184773
10,bootstrap95,3,0.9983912431324294
2,bootstrap95,4,1.0
3,bootstrap95,4,1.0
4,bootstrap95,4,1.0
5,bootstrap95,4,0.903577279222967
6,bootstrap95,4,1.0
7,bootstrap95,4,0.6731222965001966
8,bootstrap95,4,0.8879967098176691
9,bootstrap95,4,0.9948792977322605
10,bootstrap95,4,0.994881194644498
2,bootstrap95,5,1.0
3,bootstrap95,5,0.835729951868015
4,bootstrap95,5,0.8661131007217507
5,bootstrap95,5,0.7164669809035348
6,bootstrap95,5,0.49957028202721104
7,bootstrap95,5,0.5022612667616398
8,bootstrap95,5,0.8688871055890308
9,bootstrap95,5,0.9893031820687552
10,bootstrap95,5,0.5239345482360481
2,bootstrap95,6,1.0
3,bootstrap95,6,1.0
4,bootstrap95,6,1.0
5,bootstrap95,6,1.0
6,bootstrap95,6,0.9945716829358607
7,bootstrap95,6,0.7382631174197852
8,bootstrap95,6,0.9969722404102637
