candidate,distance_key,window,T_h,n,effective_coverage,normalization,mode,lambda_value,radius,linkage,K,silhouette,dunn,min_cluster,max_fraction,eligible_structure,internal_score,bootstrap90,bootstrap95,drop05,drop10,stability_mean,stability_worst,warp_mean_time,warp_p95_max_time,turn_collapse_mean,selection_score,extreme_warp
M012070,coverage080_z_multivariate_l1_r0.15,coverage080,164.82640238318905,76,0.5671641791044776,z,multivariate,1.0,0.15,average,2,0.6440022576793354,0.45332825449617953,11,0.8552631578947368,True,0.7978946208112875,0.8117041131024993,0.8601131879101388,0.8865425520095077,0.9110265717649633,0.8673466061967774,0.8117041131024993,0.05166474472091179,0.20104777513913089,0.01126126126126126,0.7050594400773695,False
M012232,coverage080_z_multivariate_l2_r0.15,coverage080,164.82640238318905,76,0.5671641791044776,z,multivariate,2.0,0.15,average,2,0.6417437669165432,0.45336480078252955,11,0.8552631578947368,True,0.796792328042328,0.8118980464840923,0.862105341943597,0.8927246344339457,0.9123375692171629,0.8697663980196995,0.8118980464840923,0.05159005481309377,0.20104777513913089,0.01126126126126126,0.704881066969525,False
M014914,coverage070_ymax_derivative_l1_r0.02,coverage070,399.4283373072515,91,0.6791044776119403,ymax,derivative,1.0,0.02,complete,2,0.6587007808197903,0.3510507318388237,5,0.945054945054945,True,0.9255401234567902,0.7925965798336122,0.7530186931689536,0.9296383891407755,0.7667839243412226,0.810509396621141,0.7530186931689536,0.03572740566396487,0.20069783805164207,0.010968432316746922,0.7008549583306832,False
M037288,coverage020_y0_multivariate_l4_r0.05,coverage020,1456.7496729510262,26,0.19402985074626866,y0,multivariate,4.0,0.05,average,2,0.7875090105570356,0.596007139669477,3,0.8846153846153846,True,0.9440586419753088,0.881491634020609,0.8806835399135658,0.9769741697416974,0.9424354243542435,0.9203961920075289,0.8806835399135658,0.03116786215333489,0.106939038152618,0.1787878787878788,0.6896622556871093,False
M037477,coverage020_ymax_classic_l0_r0.1,coverage020,1456.7496729510262,26,0.19402985074626866,ymax,classic,0.0,0.1,average,2,0.8165043679971209,0.588980932039421,3,0.8846153846153846,True,0.953125,0.881491634020609,0.8806835399135658,0.9769741697416974,0.9539483394833949,0.9232744207898167,0.8806835399135658,0.060790777298359834,0.14578476567337845,0.0,0.687085036399276,False
M038287,coverage020_ymax_multivariate_l2_r0.1,coverage020,1456.7496729510262,26,0.19402985074626866,ymax,multivariate,2.0,0.1,average,2,0.8164992933283461,0.5890024014187956,3,0.8846153846153846,True,0.9529045414462081,0.881491634020609,0.8806835399135658,0.9769741697416974,0.9539483394833949,0.9232744207898167,0.8806835399135658,0.06143907383099328,0.14578476567337845,0.15795454545454546,0.686955593067125,False
M038125,coverage020_ymax_multivariate_l1_r0.1,coverage020,1456.7496729510262,26,0.19402985074626866,ymax,multivariate,1.0,0.1,average,2,0.8165030990788391,0.5889862994878573,3,0.8846153846153846,True,0.952959656084656,0.881491634020609,0.8806835399135658,0.9769741697416974,0.9539483394833949,0.9232744207898167,0.8806835399135658,0.06143907383099328,0.14578476567337845,0.15795454545454546,0.6869554310612143,False
M037963,coverage020_ymax_multivariate_l0.5_r0.1,coverage020,1456.7496729510262,26,0.19402985074626866,ymax,multivariate,0.5,0.1,average,2,0.8165040507518195,0.5889822739080047,3,0.8846153846153846,True,0.953014770723104,0.881491634020609,0.8806835399135658,0.9769741697416974,0.9539483394833949,0.9232744207898167,0.8806835399135658,0.06143907383099328,0.14578476567337845,0.15795454545454546,0.6869553905832902,False
M037801,coverage020_ymax_multivariate_l0.25_r0.1,coverage020,1456.7496729510262,26,0.19402985074626866,ymax,multivariate,0.25,0.1,average,2,0.8165042886848117,0.5889812675069717,3,0.8846153846153846,True,0.9530698853615521,0.881491634020609,0.8806835399135658,0.9769741697416974,0.9539483394833949,0.9232744207898167,0.8806835399135658,0.06143907383099328,0.14578476567337845,0.15795454545454546,0.6869553804652859,False
M001837,coverage100_ymax_multivariate_l1_r0.1,coverage100,27.748780763058747,29,0.21641791044776118,ymax,multivariate,1.0,0.1,average,2,0.7418202592510631,0.6304285375922819,3,0.896551724137931,True,0.9805445326278659,0.8803223491207735,0.8803171176206582,1.0,1.0,0.9401598666853579,0.8803171176206582,0.0684742877747539,0.2353345800452989,0.007407407407407408,0.6821253916124076,False
M038503,coverage020_ymax_multivariate_l4_r0.2,coverage020,1456.7496729510262,26,0.19402985074626866,ymax,multivariate,4.0,0.2,average,2,0.8301465090365578,0.5382910652815809,3,0.8846153846153846,True,0.9536761463844797,0.8937993263283015,0.9179301075268816,1.0,1.0,0.9529323584637958,0.8937993263283015,0.11642567668398203,0.25022908237634967,0.1794191919191919,0.6814916419997304,False
M007678,coverage090_z_multivariate_l2_r0.1,coverage090,47.80591738392364,28,0.208955223880597,z,multivariate,2.0,0.1,complete,2,0.6184091072694765,0.6189750718709686,4,0.8571428571428571,True,0.765652557319224,0.9029493889301246,0.9118088218234276,0.947587147112913,0.9389039268078583,0.9253123211685809,0.9029493889301246,0.047120535352459005,0.17889513969433912,0.016483516483516484,0.6792278275395689,False
M021493,coverage060_z_multivariate_l4_r0.2,coverage060,605.7960715706885,80,0.5970149253731343,z,multivariate,4.0,0.2,average,2,0.6213749505811611,0.4802358452818663,6,0.925,True,0.8747519841269842,0.7539218344082493,0.7647967930582115,0.8405755343585521,0.8430436877934079,0.8005844624046052,0.7539218344082493,0.07465346154026846,0.23274371023178636,0.03888888888888889,0.6788521850141627,False
