variant_id,setting_id,k,seed_ari,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,occupied_nodes_median,empty_nodes_median,min_cluster_fraction_median,minimum_center_rmse_median,median_within_rmse_median,center_separation_ratio_median,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction
w0300_coverage_z_level,sigma0.2_lr0.5_random,6,0.3864012191956477,1.6442274730071351,0.2055284341258919,0.7295597484276729,0.2838642461237346,6.0,0.0,0.021383647798742137,0.25550321624040434,0.15772151757145791,1.619964226650464,0.2,0.5,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_random,7,0.4378404096224439,1.5733070897366213,0.19666338621707766,0.9125786163522013,0.2865808597046233,7.0,0.0,0.01761006289308176,0.2528204641602432,0.14862051957267808,1.7114135467483946,0.2,0.5,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.2_lr0.5_random,8,0.44147792131236147,1.5057873082587678,0.18822341353234598,0.8616352201257862,0.277834869927609,8.0,0.0,0.011320754716981131,0.2564504167170901,0.14294684841665112,1.6623786649386325,0.2,0.5,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_sequential,2,0.9497576362790019,2.296307546074843,0.2870384432593554,0.0,0.7129875885474596,2.0,0.0,0.06855345911949685,1.0523929775664937,0.21080327381335695,4.992299021377056,0.3,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_sequential,3,0.7278679548572647,1.9313685231293818,0.24142106539117272,0.05911949685534591,0.3236658280543261,3.0,0.0,0.05786163522012579,0.3774721291181823,0.1764003327183268,2.1482618425532984,0.3,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_sequential,4,0.8406496801614197,1.7457751001122586,0.21822188751403232,0.0,0.32208575020025243,4.0,0.0,0.05345911949685535,0.34086533340587793,0.15850003576945637,2.151143924317422,0.3,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_sequential,5,0.5546914159765292,1.6181799976076146,0.20227249970095182,0.6672955974842767,0.27615901149092265,5.0,0.0,0.0509433962264151,0.240512799311909,0.13944370304746023,1.7248021535136993,0.3,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_sequential,6,0.3759229601828444,1.5669068876671666,0.19586336095839582,0.11886792452830189,0.23294916385250264,6.0,0.0,0.03522012578616352,0.21093734469290285,0.13761091037206924,1.6625759968696445,0.3,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_sequential,7,0.425487469613454,1.5395421861813787,0.19244277327267234,0.5584905660377358,0.21264317429162233,7.0,0.0,0.018867924528301886,0.2075652145948044,0.12789540370466546,1.515364818459031,0.3,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_sequential,8,0.3795234399749785,1.491817936992091,0.18647724212401137,0.4440251572327044,0.2215900259657452,8.0,0.0,0.02578616352201258,0.19686127895271113,0.12787787400552297,1.5394475430727708,0.3,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_random,2,0.949700880799075,2.280028508340297,0.28500356354253714,0.0,0.7207251488650965,2.0,0.0,0.06477987421383648,1.1756095097692352,0.2084371698971288,5.500448707919845,0.3,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319
w0300_coverage_z_level,sigma0.3_lr0.03_random,3,0.6579485614902745,1.9157656473280085,0.23947070591600106,0.05911949685534591,0.3216742631861365,3.0,0.0,0.057232704402515724,0.37209070128148514,0.1730914281287924,2.1496772272424334,0.3,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319
