variant_id,setting_id,elbow_k,qe_elbow_strength,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,seed_ari,occupied_nodes_median,empty_nodes_median,min_cluster_fraction_median,center_separation_ratio_median,passes_support,rank_silhouette_median,rank_seed_ari,rank_topographic_error_median,rank_center_separation_ratio_median,rank_min_cluster_fraction_median,rank_retention_fraction,rank_qe_elbow_strength,som_rank_sum
w0300_coverage_maxabs_level,sigma1.2_lr0.03_sequential,5,0.35490866670085275,1.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.27081275654410775,0.03385159456801347,0.0,0.42393967595059123,0.7513955276712764,5.0,0.0,0.08553459119496855,2.0759864083280473,True,40.0,127.0,47.5,61.0,31.5,95.5,59.0,461.5
w0300_coverage_maxabs_level,sigma0.8_lr0.5_random,4,0.3668141089263554,0.8,0.5,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.32184003520968707,0.040230004401210884,0.0,0.5223163859845976,0.6480833880049116,4.0,0.0,0.05157232704402516,3.165598560204539,True,6.0,148.0,47.5,12.0,132.5,95.5,49.0,490.5
w0300_coverage_maxabs_level,sigma0.3_lr0.5_random,4,0.3652180322518869,0.3,0.5,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3280985775137073,0.04101232218921341,0.0,0.5407610591537257,0.6372648048790749,4.0,0.0,0.0389937106918239,3.4394002074729246,True,1.5,150.5,47.5,1.5,176.5,95.5,52.0,525.0
w0300_coverage_maxabs_level,sigma0.2_lr0.5_random,4,0.3652172110958561,0.2,0.5,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.32809857751371563,0.041012322189214453,0.0,0.5407610591537257,0.6372648048790749,4.0,0.0,0.0389937106918239,3.4394002074729246,True,1.5,150.5,47.5,1.5,176.5,95.5,53.0,526.0
w0300_coverage_z_level,sigma0.8_lr0.03_sequential,4,0.3476056660433909,0.8,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7566319197190279,0.21957898996487848,0.0,0.30159894878308996,0.9500219403856113,4.0,0.0,0.0559748427672956,2.089480826979718,True,81.0,71.0,47.5,60.0,103.5,95.5,72.0,530.5
w0300_coverage_z_level,sigma0.2_lr0.03_sequential,4,0.3530196429030769,0.2,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319,1.745758248584414,0.21821978107305176,0.0,0.32208575020025243,0.8406496801614197,4.0,0.0,0.05345911949685535,2.1511441700124596,True,71.5,94.5,47.5,47.0,118.5,95.5,60.0,534.5
w0300_coverage_z_level,sigma0.3_lr0.03_sequential,4,0.3509917837931394,0.3,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7457751001122586,0.21822188751403232,0.0,0.32208575020025243,0.8406496801614197,4.0,0.0,0.05345911949685535,2.151143924317422,True,71.5,94.5,47.5,48.0,118.5,95.5,63.0,538.5
w0300_coverage_z_level,sigma2_lr0.1_sequential,5,0.41502098901578144,2.0,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7652560027921909,0.22065700034902386,0.005031446540880503,0.18518642379113093,1.0,5.0,0.0,0.06918238993710692,1.2529476843498843,True,120.0,32.0,97.5,114.0,61.5,95.5,26.0,546.5
w0300_coverage_z_level,sigma1.2_lr0.3_sequential,4,0.31447947223281486,1.2,0.3,False,300,coverage,z_level,1590,64,0.7557034220532319,1.822394405356748,0.2277993006695935,0.0,0.31618570956145997,1.0,4.0,0.0,0.05345911949685535,1.9575007575115189,True,76.0,32.0,47.5,71.0,118.5,95.5,116.0,556.5
w0300_coverage_z_level,sigma2_lr0.5_sequential,5,0.4331472127640442,2.0,0.5,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7447324966261786,0.21809156207827232,0.007547169811320755,0.21599226433021498,1.0,5.0,0.0,0.0559748427672956,1.3692209925925085,True,108.0,32.0,109.5,95.0,103.5,95.5,13.0,556.5
w0300_coverage_z_level,sigma0.8_lr0.1_sequential,4,0.3119045022274998,0.8,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319,1.761486662828266,0.22018583285353324,0.0,0.3290355834145795,1.0,4.0,0.0,0.04905660377358491,2.2101526988200404,True,69.0,32.0,47.5,41.0,150.0,95.5,123.0,558.0
w0300_coverage_z_level,sigma0.5_lr0.5_sequential,4,0.33027978126155916,0.5,0.5,False,300,coverage,z_level,1590,64,0.7557034220532319,1.831375542035084,0.2289219427543855,0.0,0.365297560257917,1.0,4.0,0.0,0.04339622641509434,1.9869450042712733,True,49.0,32.0,47.5,70.0,168.0,95.5,100.0,562.0
w0300_coverage_z_level,sigma2_lr0.3_sequential,5,0.39251826777664367,2.0,0.3,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7652236084711284,0.22065295105889104,0.005660377358490566,0.19665690919086015,1.0,5.0,0.0,0.05911949685534591,1.3179040828392496,True,111.0,32.0,100.5,97.0,89.0,95.5,39.0,564.0
w0300_coverage_maxabs_level,sigma0.3_lr0.5_sequential,5,0.368692055538239,0.3,0.5,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.2855299793360528,0.0356912474170066,0.279874213836478,0.4845450449233659,1.0,5.0,0.0,0.045283018867924525,3.00043077354018,True,29.0,32.0,180.5,17.5,164.0,95.5,48.0,566.5
w0300_coverage_z_level_d1,sigma2_lr0.1_sequential,5,0.399198136100282,2.0,0.1,False,300,coverage,z_level_d1,1590,127,0.7557034220532319,0.5523205483069875,0.049010523382448254,0.005660377358490566,0.08144404490412976,1.0,5.0,0.0,0.0930817610062893,0.6943853607452275,True,143.0,32.0,100.5,144.0,23.0,95.5,35.0,573.0
w0300_coverage_z_level,sigma2_lr0.03_sequential,5,0.45025992886060573,2.0,0.03,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7776788149695866,0.22220985187119832,0.00440251572327044,0.15845528617267013,0.993114952806371,5.0,0.0,0.07169811320754717,1.1836737480468273,True,130.0,66.0,95.5,126.0,57.0,95.5,7.0,577.0
w0300_coverage_z_level,sigma0.8_lr0.03_random,4,0.3486358928400595,0.8,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319,1.7553901797193223,0.2194237724649153,0.0,0.30579041183094197,0.8016106092760943,4.0,0.0,0.0559748427672956,1.9973828998632237,True,80.0,114.0,47.5,69.0,103.5,95.5,68.0,577.5
w0300_coverage_z_level,sigma2_lr0.03_random,5,0.4559291048023888,2.0,0.03,True,300,coverage,z_level,1590,64,0.7557034220532319,1.776258632106447,0.22203232901330588,0.00440251572327044,0.16648999799589348,0.9075131022647313,5.0,0.0,0.07547169811320754,1.1726364169975865,True,129.0,77.0,95.5,128.0,48.5,95.5,5.0,578.5
