curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours,x_min_original,x_max_original,y_min_original,y_max_original
图片140_13c9508a3a,False,implausible_duration_over_100000h,lab-v2/som_references/accepted/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_2__Series_2.csv,图片140,samples_test__unknown__unknown__图片140__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,36,41308550.17446226,-5264067.220997976,36044482.953464285,0.8329519150754094,0.982202610932638
图片165_15ca83cab0,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片165/accepted/samples_test__unknown__unknown__图片165__Series_1__Series_1.csv,图片165,samples_test__unknown__unknown__图片165__Series_1__Series_1,,,PCE,(a.u.),,32,,-0.964454752338554,1443.2180271663003,0.5939464387408394,1.0182061578729948
图片166_5d9c4348ec,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片166/accepted/samples_test__unknown__unknown__图片166__Series_1__Series_1.csv,图片166,samples_test__unknown__unknown__图片166__Series_1__Series_1,,,PCE,(%),,32,,2.7073978503332228,964.762491678819,13.152514943381044,14.9129739108633
图片168_e7d2d77333,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片168/accepted/samples_test__unknown__unknown__图片168__Series_1__Series_1.csv,图片168,samples_test__unknown__unknown__图片168__Series_1__Series_1,,,,,,31,,-1.1556668929052876,940.1425197327262,5.77356724428944,11.40460126490096
图片171_0e7dc2718d,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片171/accepted/samples_test__unknown__unknown__图片171__Series_1__Series_1.csv,图片171,samples_test__unknown__unknown__图片171__Series_1__Series_1,,,,,,25,,0.4276531921309896,75.57322836493739,0.4697458041933409,1.0014842123194216
图片171_8baf082090,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片171/accepted/samples_test__unknown__unknown__图片171__Series_2__Series_2.csv,图片171,samples_test__unknown__unknown__图片171__Series_2__Series_2,,,,,,101,,0.1145466289109649,313.22110984893766,0.8577711290421025,1.0086698664832876
图片175_7fdcd80d19,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片175/accepted/samples_test__unknown__unknown__图片175__Series_1__Series_1.csv,图片175,samples_test__unknown__unknown__图片175__Series_1__Series_1,,,Normalized PCE,,,43,,-2.9453016719780862,1177.4330128252627,0.6366144645079682,0.9999415045241564
图片175_776b8d0ae9,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片175/accepted/samples_test__unknown__unknown__图片175__Series_2__Series_2.csv,图片175,samples_test__unknown__unknown__图片175__Series_2__Series_2,,,Normalized PCE,,,15,,-2.9453016719780862,390.5141364937688,0.0504925414629851,0.9999415045241564
图片196_aedafe8505,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片196/accepted/samples_test__unknown__unknown__图片196__Series_1__Series_1.csv,图片196,samples_test__unknown__unknown__图片196__Series_1__Series_1,HF Cycle,,Normalized PCE,(a.u.),,30,,-0.3540015494049982,33.34128955299012,0.6680807324431222,1.141364106882775
图片196_6142861846,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片196/accepted/samples_test__unknown__unknown__图片196__Series_2__Series_2.csv,图片196,samples_test__unknown__unknown__图片196__Series_2__Series_2,HF Cycle,,Normalized PCE,(a.u.),,27,,-0.3540015494049982,29.85556978377683,1.0039592562390047,1.2253337378317457
图片200_f33d040b5d,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片200/accepted/samples_test__unknown__unknown__图片200__Series_1__Series_1.csv,图片200,samples_test__unknown__unknown__图片200__Series_1__Series_1,,,,,,37,,-3.5596083717893237,726.3060662112317,0.7918564701021664,1.062788298220378
图片200_794a638b05,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片200/accepted/samples_test__unknown__unknown__图片200__Series_2__Series_2.csv,图片200,samples_test__unknown__unknown__图片200__Series_2__Series_2,,,,,,37,,-3.5596083717893237,726.3060662112317,0.7422957698366399,1.0132275979548515
图片208_3c663ea78b,False,x_axis_or_unit_unverified;nonfinite_or_nonpositive_output,lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_1__Series_1.csv,图片208,samples_test__unknown__unknown__图片208__Series_1__Series_1,,,Norm. PCE,,,43,,87.0,507.0,-142.0,-68.0
图片208_c41b919b23,False,x_axis_or_unit_unverified;nonfinite_or_nonpositive_output,lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_2__Series_2.csv,图片208,samples_test__unknown__unknown__图片208__Series_2__Series_2,,,Norm. PCE,,,37,,99.0,509.0,-134.0,-68.0
图片208_74e5268260,False,x_axis_or_unit_unverified;nonfinite_or_nonpositive_output,lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_3__Series_3.csv,图片208,samples_test__unknown__unknown__图片208__Series_3__Series_3,,,Norm. PCE,,,43,,90.0,510.0,-86.0,-65.0
图片208_1896e448d6,False,x_axis_or_unit_unverified;nonfinite_or_nonpositive_output,lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_4__Series_4.csv,图片208,samples_test__unknown__unknown__图片208__Series_4__Series_4,,,Norm. PCE,,,43,,90.0,510.0,-105.0,-66.0
图片210_b1d3718647,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_1__Series_1.csv,图片210,samples_test__unknown__unknown__图片210__Series_1__Series_1,,,,,,40,,22.14280036292807,646.5920919190464,0.5920218051366792,1.0079674809529668
图片210_11a2fe488f,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_2__Series_2.csv,图片210,samples_test__unknown__unknown__图片210__Series_2__Series_2,,,,,,23,,23.743952392559137,375.9973989113951,0.9621752964594306,1.011783496327428
图片210_3a8d0a3780,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_3__Series_3.csv,图片210,samples_test__unknown__unknown__图片210__Series_3__Series_3,,,,,,41,,30.14856051108343,670.6093723635125,0.9201991273403556,1.0155995117018894
