kind,variant,n,n_clusters,noise_fraction,cluster_sizes,balance,dbcv,silhouette,davies_bouldin,calinski_harabasz,ari,ari_assigned,vi,common_assigned_fraction,n_overlap
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 10, ""cluster_selection_method"": ""leaf"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 10, ""cluster_selection_method"": ""leaf"", ""metric"": ""manhattan""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 20, ""cluster_selection_method"": ""eom"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 20, ""cluster_selection_method"": ""eom"", ""metric"": ""manhattan""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 20, ""cluster_selection_method"": ""leaf"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 5, ""min_samples"": 20, ""cluster_selection_method"": ""leaf"", ""metric"": ""manhattan""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": null, ""cluster_selection_method"": ""eom"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": null, ""cluster_selection_method"": ""eom"", ""metric"": ""manhattan""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": null, ""cluster_selection_method"": ""leaf"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": null, ""cluster_selection_method"": ""leaf"", ""metric"": ""manhattan""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": 5, ""cluster_selection_method"": ""eom"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": 5, ""cluster_selection_method"": ""eom"", ""metric"": ""manhattan""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": 5, ""cluster_selection_method"": ""leaf"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": 5, ""cluster_selection_method"": ""leaf"", ""metric"": ""manhattan""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": 10, ""cluster_selection_method"": ""eom"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": 10, ""cluster_selection_method"": ""eom"", ""metric"": ""manhattan""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": 10, ""cluster_selection_method"": ""leaf"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": 10, ""cluster_selection_method"": ""leaf"", ""metric"": ""manhattan""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": 20, ""cluster_selection_method"": ""eom"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": 20, ""cluster_selection_method"": ""eom"", ""metric"": ""manhattan""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
hdbscan_grid,"{""min_cluster_size"": 8, ""min_samples"": 20, ""cluster_selection_method"": ""leaf"", ""metric"": ""euclidean""}",79,0,1.0,[],0.0,,,,,,,0.5881660588971047,0.0,79
