candidate_id,search_stage,window_hours,sigma,learning_rate,iterations,seed,n_curves,quantization_error,topographic_error,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,balance_entropy,matched_mean_prototype_correlation,independent_archetypes_found,independent_labels,cluster_0_size,cluster_1_size,cluster_2_size,cluster_3_size,selection_score,mean_pairwise_ari_5_seeds,min_pairwise_ari_5_seeds,stable_selection_score
48,expanded_som,300,1.0,0.05,100000,0,1635,0.6674350378508183,0.0,0.4753515242001009,0.7184556125673484,2992.622561594694,121,0.8639082155125596,0.6385035835629026,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,811,398,305,121,0.7493902862316364,,,0.5620427146737272
75,expanded_som,750,0.8,0.03,20000,0,798,0.8040521245361243,0.0,0.47806752477241665,0.7760146408133395,1306.2125891199398,52,0.8625692972614452,0.6343271238967991,2,IFO-Hill;IFO-Hill;IFO-Slope;IFO-Hill,242,370,52,134,0.7492096370484173,,,0.561907227786313
91,expanded_som,1000,0.2,0.5,20000,0,500,0.9030039773344786,0.0,0.5198668063040556,0.730252668424509,866.1703313678385,14,0.7776701109258958,0.6436424573030091,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,146,74,266,14,0.7491990093586753,,,0.5618992570190064
97,expanded_som,1000,0.8,0.5,20000,0,500,0.9019068865996023,0.0,0.5198668063040556,0.730252668424509,866.1703313678385,14,0.7776701109258958,0.6436424573030091,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,266,74,146,14,0.7491990093586753,,,0.5618992570190064
92,expanded_som,1000,0.2,0.5,100000,0,500,0.9029820045399872,0.0,0.5198668063040556,0.730252668424509,866.1703313678385,14,0.7776701109258958,0.6436424573030091,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,146,74,266,14,0.7491990093586753,,,0.5618992570190064
98,expanded_som,1000,0.8,0.5,100000,0,500,0.901915465288967,0.0,0.5198668063040556,0.730252668424509,866.1703313678385,14,0.7776701109258958,0.6436424573030091,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,266,74,146,14,0.7491990093586753,,,0.5618992570190064
83,expanded_som,750,1.0,0.05,20000,0,798,0.8006215706315649,0.0,0.4627751827606222,0.7862422538962051,1256.583165986949,66,0.8862649761993435,0.6359319966528043,2,IFO-Hill;IFO-Hill;IFO-Slope;IFO-Hill,230,362,66,140,0.7491036541846438,,,0.5618277406384828
95,expanded_som,1000,0.8,0.05,20000,0,500,0.8695256859219582,0.0,0.5043120780784066,0.8156531383742095,821.8359968570534,25,0.8089372669120765,0.6393548734096298,2,IFO-Hill;IFO-Slope;IFO-Hill;IFO-Hill,145,25,261,69,0.7490676995311325,,,0.5618007746483493
1,paper_reported,150,0.3,0.1,50000,0,1984,0.623164257344913,0.0,0.5759325897558814,0.7000546685176673,4089.5234351702975,62,0.6825259063664417,0.6400474022876245,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,1281,464,177,62,0.7490467191298764,,,0.5617850393474073
3,paper_reported,150,0.5,0.1,50000,0,1984,0.6231642485259777,0.0,0.5759325897558814,0.7000546685176673,4089.5234351702975,62,0.6825259063664417,0.6400474022876245,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,1281,464,177,62,0.7490467191298764,,,0.5617850393474073
57,expanded_som,500,0.8,0.03,20000,0,1229,0.756605468600905,0.0,0.48332672357213835,0.7566995969370273,2152.2443635230247,70,0.8484222223208517,0.636699915148995,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,582,202,375,70,0.7490118882508336,,,0.5617589161881252
47,expanded_som,300,1.0,0.05,20000,0,1635,0.6646265480550236,0.0,0.46687708427191343,0.7161161068214049,2944.4597773701817,129,0.8741158680659215,0.6388374951474597,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,793,310,403,129,0.7489697634476093,,,0.561727322585707
94,expanded_som,1000,0.8,0.03,100000,0,500,0.8750996553586268,0.0,0.5197313747417638,0.7356240345569485,870.7096632153022,14,0.778635825739564,0.6409842246814657,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,266,75,145,14,0.7489396012389482,,,0.5617047009292111
96,expanded_som,1000,0.8,0.05,100000,0,500,0.875349076856259,0.0,0.5197313747417638,0.7356240345569486,870.7096632153022,14,0.778635825739564,0.6409842246814657,2,IFO-Hill;IFO-Slope;IFO-Hill;IFO-Hill,145,14,266,75,0.7489396012389482,,,0.5617047009292111
103,expanded_som,1000,1.0,0.5,20000,0,500,0.8945026108944198,0.0,0.503704328914389,0.8194934328252993,816.8616006268376,26,0.8078830341649874,0.6394738196184018,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,265,69,140,26,0.748870788428817,,,0.5616530913216128
104,expanded_som,1000,1.0,0.5,100000,0,500,0.8945836886211861,0.0,0.503704328914389,0.8194934328252992,816.8616006268376,26,0.8078830341649874,0.6394738196184018,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,265,140,69,26,0.748870788428817,,,0.5616530913216128
53,expanded_som,500,0.2,0.05,20000,0,1229,0.769295543921952,0.0,0.49505721436347144,0.7417293912023889,2193.8896790722124,54,0.8270151218014379,0.6360454226961427,2,IFO-Hill;IFO-Slope;IFO-Hill;IFO-Hill,590,54,196,389,0.748842202530769,,,0.5616316518980768
2,paper_reported,150,0.3,0.3,50000,0,1984,0.6225934878005112,0.0,0.5681721813435638,0.7142807255893078,4036.9602943226923,74,0.6947991415114617,0.6394214851834766,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,1275,453,182,74,0.7488377315342044,,,0.5616282986506533
4,paper_reported,150,0.5,0.3,50000,0,1984,0.622593481866684,0.0,0.5681721813435638,0.7142807255893078,4036.9602943226923,74,0.6947991415114617,0.6394214851834766,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,1275,453,182,74,0.7488377315342044,,,0.5616282986506533
36,expanded_som,300,0.2,0.05,100000,0,1635,0.697211334468762,0.0,0.5171110245100565,0.7338095942566626,3176.1647127425654,80,0.7822957522054178,0.6407861935673558,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,211,922,422,80,0.748822278705721,,,0.5616167090292907
87,expanded_som,1000,0.2,0.03,20000,0,500,0.8776554036265778,0.0,0.5224880800239766,0.7095916402666638,877.9993273583882,12,0.7726105878608783,0.6404276616687534,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,146,76,266,12,0.7487499304988778,,,0.5615624478741583
88,expanded_som,1000,0.2,0.03,100000,0,500,0.8778591246763258,0.0,0.5224880800239766,0.7095916402666638,877.9993273583882,12,0.7726105878608783,0.6404276616687534,2,IFO-Hill;IFO-Hill;IFO-Hill;IFO-Slope,146,76,266,12,0.7487499304988778,,,0.5615624478741583
