k,sigma,lr,seed,iterations,grid,qe,occupied,method
1,0.5,0.3,101,50000,1x1,0.9715970365763033,1,threshold_p01
2,0.5,0.3,11,50000,1x2,0.6622548689447986,2,threshold_p01
2,0.5,0.3,29,50000,1x2,0.7128515647882868,2,threshold_p01
2,0.5,0.3,47,50000,1x2,0.6730006310846119,2,threshold_p01
2,0.5,0.3,71,50000,1x2,0.6435371906802234,2,threshold_p01
2,0.5,0.3,101,50000,1x2,0.6403750110883337,2,threshold_p01
3,0.5,0.3,11,50000,1x3,0.5804811928822882,3,threshold_p01
3,0.5,0.3,29,50000,1x3,0.6004498382182102,3,threshold_p01
3,0.5,0.3,47,50000,1x3,0.6190596770072943,3,threshold_p01
3,0.5,0.3,71,50000,1x3,0.6536329435790853,3,threshold_p01
3,0.5,0.3,101,50000,1x3,0.6101026002730184,3,threshold_p01
4,0.5,0.3,11,50000,2x2,0.5446313933046497,4,threshold_p01
4,0.5,0.3,29,50000,2x2,0.550675697059387,4,threshold_p01
4,0.5,0.3,47,50000,2x2,0.5352784104748286,4,threshold_p01
4,0.5,0.3,71,50000,2x2,0.5407873618138065,4,threshold_p01
4,0.5,0.3,101,50000,2x2,0.5400948014142554,4,threshold_p01
5,0.5,0.3,11,50000,1x5,0.48684719694282896,5,threshold_p01
5,0.5,0.3,29,50000,1x5,0.48563378180440886,5,threshold_p01
5,0.5,0.3,47,50000,1x5,0.4640623676700206,5,threshold_p01
5,0.5,0.3,71,50000,1x5,0.4714202397261347,5,threshold_p01
5,0.5,0.3,101,50000,1x5,0.4770899064308093,5,threshold_p01
6,0.5,0.3,11,50000,2x3,0.48030414528575066,6,threshold_p01
6,0.5,0.3,29,50000,2x3,0.4312578623158146,6,threshold_p01
6,0.5,0.3,47,50000,2x3,0.45280834684388227,6,threshold_p01
6,0.5,0.3,71,50000,2x3,0.466473342193664,6,threshold_p01
6,0.5,0.3,101,50000,2x3,0.4338811814090649,6,threshold_p01
7,0.5,0.3,11,50000,1x7,0.41147795792584413,7,threshold_p01
7,0.5,0.3,29,50000,1x7,0.40549302965461037,7,threshold_p01
7,0.5,0.3,47,50000,1x7,0.41896539951819206,7,threshold_p01
7,0.5,0.3,71,50000,1x7,0.413084030138789,7,threshold_p01
7,0.5,0.3,101,50000,1x7,0.40747849859585755,7,threshold_p01
8,0.5,0.3,11,50000,2x4,0.3884007891264398,8,threshold_p01
8,0.5,0.3,29,50000,2x4,0.3874746913443247,8,threshold_p01
8,0.5,0.3,47,50000,2x4,0.4495990567674935,8,threshold_p01
8,0.5,0.3,71,50000,2x4,0.3850380853173367,8,threshold_p01
8,0.5,0.3,101,50000,2x4,0.38326413358915606,8,threshold_p01
9,0.5,0.3,11,50000,3x3,0.36621567985021186,9,threshold_p01
9,0.5,0.3,29,50000,3x3,0.3604196241108454,9,threshold_p01
9,0.5,0.3,47,50000,3x3,0.37255043399638654,9,threshold_p01
9,0.5,0.3,71,50000,3x3,0.35780865737319084,9,threshold_p01
9,0.5,0.3,101,50000,3x3,0.3705558544059729,9,threshold_p01
10,0.5,0.3,11,50000,2x5,0.35255778045981145,10,threshold_p01
10,0.5,0.3,29,50000,2x5,0.3793745322885845,10,threshold_p01
10,0.5,0.3,47,50000,2x5,0.34924675843595476,10,threshold_p01
10,0.5,0.3,71,50000,2x5,0.3532664661313297,10,threshold_p01
10,0.5,0.3,101,50000,2x5,0.34147993221463147,10,threshold_p01
11,0.5,0.3,11,50000,1x11,0.34906790749616706,11,threshold_p01
11,0.5,0.3,29,50000,1x11,0.3366685414809875,11,threshold_p01
11,0.5,0.3,47,50000,1x11,0.339510708192358,11,threshold_p01
11,0.5,0.3,71,50000,1x11,0.3339068724052943,11,threshold_p01
11,0.5,0.3,101,50000,1x11,0.34173331012113245,11,threshold_p01
12,0.5,0.3,11,50000,3x4,0.30482326982386765,12,threshold_p01
12,0.5,0.3,29,50000,3x4,0.3216227711738468,12,threshold_p01
12,0.5,0.3,47,50000,3x4,0.311267414958685,12,threshold_p01
12,0.5,0.3,71,50000,3x4,0.31439500385353486,12,threshold_p01
12,0.5,0.3,101,50000,3x4,0.3175372391930075,12,threshold_p01
13,0.5,0.3,11,50000,1x13,0.30054729429021954,13,threshold_p01
13,0.5,0.3,29,50000,1x13,0.2999826511433837,13,threshold_p01
13,0.5,0.3,47,50000,1x13,0.3051788649673996,13,threshold_p01
13,0.5,0.3,71,50000,1x13,0.30183036475848046,13,threshold_p01
13,0.5,0.3,101,50000,1x13,0.29735461711516953,13,threshold_p01
14,0.5,0.3,11,50000,2x7,0.28217860256222643,14,threshold_p01
14,0.5,0.3,29,50000,2x7,0.28162279554760206,14,threshold_p01
14,0.5,0.3,47,50000,2x7,0.2872959083872279,14,threshold_p01
14,0.5,0.3,71,50000,2x7,0.2848443104971505,14,threshold_p01
