curve_id,status,reason,n_original_points,pce_max_0_200h,pce_min_normalized,max_x_hours,n_unique_t,t_coverage_pct,top_dir,doi,figure_label,series_id,unit_label
x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__Control__Series_1.csv,included,OK,70,0.9964861350666582,0.9591522211021537,195.21505157722817,20,97.60752578861408,x_time_day,10.1002/aenm.201803766,Fig4_F,Series_1,days
x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP1__Series_2.csv,included,OK,70,0.9963177984459446,0.968703380392403,195.21505157722814,20,97.60752578861407,x_time_day,10.1002/aenm.201803766,Fig4_F,Series_2,days
x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP3__Series_3.csv,included,OK,71,0.9964860961095067,0.9841721617968459,195.21505157722814,20,97.60752578861407,x_time_day,10.1002/aenm.201803766,Fig4_F,Series_3,days
x_time_day/10.1002_aenm.201903013/Fig5_E_stability_performance_curve_pce/10.1002_aenm.201903013__Fig5__E__stability_performance_curve_pce__Reference__Series_1.csv,included,OK,48,0.9996265348837228,0.8594982218543632,189.99592191675507,18,94.99796095837753,x_time_day,10.1002/aenm.201903013,Fig5_E,Series_1,days
x_time_day/10.1002_aenm.201903299/Fig6_C_stability_performance_curve_pce/10.1002_aenm.201903299__Fig6__C__stability_performance_curve_pce__0%__Series_2.csv,excluded,"Too few unique time points (9) in [0,200]h window (data spans 97% of window)",52,,,194.53028498029408,9,97.26514249014704,x_time_day,10.1002/aenm.201903299,Fig6_C,Series_2,days
x_time_day/10.1002_aenm.202000967/Fig4_A_stability_performance_curve_pce/10.1002_aenm.202000967__Fig4__A__stability_performance_curve_pce__MAPbI₃₋yClᵧ-Cu_NiO__Series_2.csv,excluded,"Too few unique time points (2) in [0,200]h window (data spans 53% of window)",34,,,105.22860724497411,2,52.61430362248706,x_time_day,10.1002/aenm.202000967,Fig4_A,Series_2,days
x_time_day/10.1002_aenm.202000967/Fig4_A_stability_performance_curve_pce/10.1002_aenm.202000967__Fig4__A__stability_performance_curve_pce__MAPbI₃₋yClᵧ__Series_3.csv,excluded,"Too few unique time points (2) in [0,200]h window (data spans 53% of window)",10,,,105.22860724497411,2,52.61430362248706,x_time_day,10.1002/aenm.202000967,Fig4_A,Series_3,days
x_time_day/10.1002_aenm.202101416/Fig4_F_stability_performance_curve/10.1002_aenm.202101416__Fig4__F__stability_performance_curve__SnO₂__Series_1.csv,included,OK,54,0.9388144631827761,0.8282611195505099,196.87337154048055,15,98.43668577024027,x_time_day,10.1002/aenm.202101416,Fig4_F,Series_1,days
x_time_day/10.1002_anie.201806392/Fig3_H_stability_performance_curve/10.1002_anie.201806392__Fig3__H__stability_performance_curve__Py-C__Series_3.csv,excluded,"Too few unique time points (7) in [0,200]h window (data spans 99% of window)",24,,,197.46575840987035,7,98.73287920493517,x_time_day,10.1002/anie.201806392,Fig3_H,Series_3,days
x_time_day/10.1002_anie.201806392/Fig3_H_stability_performance_curve/10.1002_anie.201806392__Fig3__H__stability_performance_curve__Spiro-OMeTAD__Series_2.csv,excluded,"Too few unique time points (7) in [0,200]h window (data spans 99% of window)",43,,,197.46575840987026,7,98.73287920493513,x_time_day,10.1002/anie.201806392,Fig3_H,Series_2,days
