curve_id,raw_cluster_id,som_node_x,som_node_y,bmu_distance,max_pce_0_200h,pce_norm_t0,pce_norm_t10,pce_norm_t50,pce_norm_t100,pce_norm_t150,pce_norm_t200,peak_time_h,qc_status
x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP1__Series_2.csv,0,0,0,1.3456069299368638,0.9963177984459446,0.9987528021469613,0.9999776264001935,0.9953527162768012,0.9907479481645418,0.982532793862386,0.9686714172808992,9.333333333333334,included
x_time_day/10.1002_aenm.201803766/Fig4_F_stability_performance_curve_pce/10.1002_aenm.201803766__Fig4__F__stability_performance_curve_pce__SP3__Series_3.csv,0,0,0,1.564436024675397,0.9964860961095067,0.9984935744622488,0.9997831002143548,0.9983125604187263,0.9922926421064459,0.9911239942349365,0.984156182940217,15.5,included
x_time_day/10.1002_aenm.201903013/Fig5_E_stability_performance_curve_pce/10.1002_aenm.201903013__Fig5__E__stability_performance_curve_pce__Reference__Series_1.csv,0,0,0,1.2224383507727243,0.9996265348837228,0.9989065246964537,0.9923206206169309,0.9685079786673243,0.9287440682049907,0.8906775484197655,0.8594982218543289,0.0,included
x_time_day/10.1002_aenm.202101416/Fig4_F_stability_performance_curve/10.1002_aenm.202101416__Fig4__F__stability_performance_curve__SnO₂__Series_1.csv,0,0,0,1.6892035131469771,0.9388144631827761,0.9979148493400948,0.9819256560191307,0.9566627747194131,0.9225368890722837,0.8684626271828106,0.8280698299976789,0.0,included
x_time_day/10.1002_anie.202105512/Fig4_D_stability_performance_curve_pce_photovoltaic_parameter/10.1002_anie.202105512__Fig4__D__stability_performance_curve_pce_photovoltaic_parameter__Control_Device__Series_2.csv,0,0,0,0.7352645481046433,1.0008012337175969,1.0000046309294497,0.9996417712121035,0.9860786232861342,0.9698693397677361,0.9537527681723678,0.9450896839236628,0.0,included
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA1__Series_4.csv,0,0,0,1.438134043448467,0.9970073277632169,0.9995658736584125,0.9948848111912355,0.9506677676627132,0.9063320974059867,0.8867425118773569,0.8619168970209327,0.0,included
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA2__Series_1.csv,2,1,0,1.1002198860986974,1.0033985824247027,0.9995686388726084,0.9949173929338161,0.951113953727716,0.8831768726775119,0.8249127011251584,0.7960910601344056,0.0,included
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM+PMMA3__Series_3.csv,0,0,0,1.4387504668082278,1.0002029550939597,0.9985365581579126,0.988166072860308,0.9583813103280366,0.9368266964203866,0.8767354351343423,0.8400658369039088,0.0,included
x_time_day/10.1002_chem.201703382/Fig5_A_stability_performance_curve_pce/10.1002_chem.201703382__Fig5__A__stability_performance_curve_pce__PCBM__Series_2.csv,2,1,0,1.2121123661756343,0.9874204457709884,0.9975891229510455,0.97945113676995,0.9213497529230223,0.8788084679715027,0.8666257427682212,0.81535095677075,0.0,included
x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1.csv,1,0,1,1.1838067934103838,0.9869849678618438,0.9971056001627886,0.9752681090903497,0.8762138318606734,0.7259318745184241,0.5819112961463332,0.4687329572474538,0.0,included
x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/10.1002_cssc.201600887__Fig6__whole__stability__D-0_in_ambient_atm__Series_3.csv,3,1,1,3.9313633848324883,0.9718513151205798,0.9956310372666178,0.9598939470556633,0.7873983252613936,0.5772676769908007,0.4256005117235488,0.32540298804973905,0.0,included
x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/10.1002_cssc.201600887__Fig6__whole__stability__−−D-0_in_glove_box__Series_1.csv,2,1,0,2.6293594598622643,1.0008959916064761,0.998529530850607,0.9849272823455537,0.8963501399980188,0.7781823701133194,0.6969435888444078,0.6519072392909747,0.0,included
x_time_day/10.1002_cssc.201600887/Fig7_D_photovoltaic_parameter/10.1002_cssc.201600887__Fig7__D__photovoltaic_parameter__D-0__Series_2.csv,1,0,1,2.664770411453605,1.0000092906967688,0.9980210945169862,0.9814859149636569,0.8922000956157903,0.7751128110048514,0.6980842499570922,0.647024978533246,0.0,included
x_time_day/10.1002_cssc.201600887/Fig7_D_photovoltaic_parameter/10.1002_cssc.201600887__Fig7__D__photovoltaic_parameter__D-5__Series_3.csv,2,1,0,0.798548073608899,1.0000092906967688,0.9992504870484736,0.9919770796007641,0.94067611845143,0.8787756894043592,0.8204789107254936,0.7728053166363545,0.0,included
