curve_id,source_path,relative_path,source_sha256,figure,x_name,x_unit,y_name,y_unit,axis_status,hours_factor,n_points,invalid_points,duplicate_x_points,x_min,x_max,duration_h,y_min,y_max,relative_y_range,constant_y,primary_cluster,maxabs_cluster,zscore_cluster,dtw_0_cluster,dtw_0.25_cluster,dtw_1_cluster,msm_0.01_cluster,msm_0.1_cluster
C043,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_3__Series_3.csv,图片134/accepted/samples_test__unknown__unknown__图片134__Series_3__Series_3.csv,1a13999ef09676bf78140a39558f7e93540acf998c8d91eedd2b4801bc826da9,图片134,,,,,unknown,,39,0,0,39.53618297934088,1072.1706523983858,,0.8499246958636115,1.0130420260611546,0.1610173378806064,False,4,2,2,2,4,2,6,4
C044,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,58db2675e2c0b4d08ab2ef68fbb104ac7474faea18ec3a90042e36fc9c5ad5da,图片135,Time,h,Normalized PCE,,time_verified,1.0,57,0,0,5.147157694138514,1016.2044307313108,1011.0572730371724,0.9827340021943828,0.9962702498350516,0.0135869234707249,False,3,1,4,2,4,2,5,4
C045,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,f30630cfc9e266d713177bc07f64827e35489b83ed5c05370ad9b34e6d8bde0f,图片135,Time,h,Normalized PCE,,time_verified,1.0,57,0,0,10.563535942551937,1021.6208089797242,1011.0572730371724,0.6759123890058928,1.0007823323819411,0.3246159857786779,False,3,2,2,2,4,2,6,2
C046,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Control__Series_2.csv,图片136/accepted/samples_test__unknown__unknown__图片136__Control__Series_2.csv,2878327dd6f4a1100a2d110d713a9dd410a845f8f5e3b31d0fddb31ec2c7ec31,图片136,Time,(h),Normalized PCE,,time_verified,1.0,15,0,0,8.590762512351716,661.3910068944253,652.8002443820736,0.4879642923996781,1.0625247948632892,0.5407502067163877,False,1,3,3,2,3,4,1,5
C047,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片136/accepted/samples_test__unknown__unknown__图片136__Target__Series_1.csv,图片136/accepted/samples_test__unknown__unknown__图片136__Target__Series_1.csv,8fcb86d122f8ee9d3ac6dd9be023ae04c7b39342a7e96fefea06fa2166ec7c54,图片136,Time,(h),Normalized PCE,,time_verified,1.0,30,0,0,-5.397814152978526,1346.8312634956026,1352.229077648581,0.9672459175703284,1.022103452981427,0.0536712162072066,False,3,1,1,3,3,2,1,5
C048,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_1__Series_1.csv,图片140/accepted/samples_test__unknown__unknown__图片140__Series_1__Series_1.csv,42ff0a4258e93ef069c49c195778fbfd36c2b2682f1db3fadfc6fb535d64df90,图片140,Time,(h),Normalized PCE,,time_verified,1.0,37,0,0,-4673945.075648515,37814849.389512666,42488794.46516118,0.9238001647276356,0.999507039437824,0.0757442136203162,False,1,1,2,2,3,4,6,3
C049,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_2__Series_2.csv,图片140/accepted/samples_test__unknown__unknown__图片140__Series_2__Series_2.csv,b56869ce53513da04252bd306279291acb919584904f074d64d33761c245bf19,图片140,Time,(h),Normalized PCE,,time_verified,1.0,36,0,0,-5264067.220997976,36044482.953464285,41308550.17446226,0.8329519150754094,0.982202610932638,0.1519550998907542,False,3,1,3,2,4,2,6,3
C050,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell1__Series_1.csv,图片141/accepted/samples_test__unknown__unknown__图片141__Cell1__Series_1.csv,6509687dac8fd172991c24359ea9fc0d904447e71ccb4d8d942f8cc3cea3ebd5,图片141,Time,(hours),Norm. PCE,,time_verified,1.0,39,0,0,-23.685421990936447,2388.174500289033,2411.8599222799694,0.7475039820033951,1.004881211891483,0.2561270196341197,False,3,2,3,2,4,2,6,3
C051,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell2__Series_2.csv,图片141/accepted/samples_test__unknown__unknown__图片141__Cell2__Series_2.csv,7993f441986685b5000cb71b5948365d131647c2e4eca59ee0dc040064c50481,图片141,Time,(hours),Norm. PCE,,time_verified,1.0,38,0,0,-4.644422604515626,2343.7455017207176,2348.389924325233,0.9864971240423336,1.0122348470311426,0.0254266320353395,False,3,1,3,2,4,2,1,5
C052,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,图片141/accepted/samples_test__unknown__unknown__图片141__Cell3__Series_3.csv,80dfc065f10d952747f1fd1b8d67d98970a4dbaf5aa2bc6a6d34ad2dda3a23a6,图片141,Time,(hours),Norm. PCE,,time_verified,1.0,39,0,0,-23.685421990936447,2388.174500289033,2411.8599222799694,0.9092839550759074,1.004881211891483,0.0951328930069587,False,1,1,3,2,3,4,6,3
