curve_id,array_row,n_unique_points_0_200h,n_duplicate_points,max_support_gap_h,endpoint_bracket_time_h,akima_raw_knot_rmse,pchip_raw_knot_rmse,linear_raw_knot_rmse,akima_below_support_normalized,akima_above_support_normalized,pchip_below_support_normalized,pchip_above_support_normalized,linear_below_support_normalized,linear_above_support_normalized,akima_vs_pchip_rmse,pchip_vs_linear_rmse,akima_smoothing_rmse
x_time_h/10.1016_j.cej.2021.131609/Fig8_whole_figure/accepted/10.1016_j.cej.2021.131609__Fig8__whole__figure__doped_spiro-OMeTAD_with_TABC-coated__Series_1.csv,771,32,0,6.278933917109043,200.92588534748768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.647004057596895e-05,9.228939828446666e-05,5.4723888328516647e-05
x_time_h/10.1016_j.cej.2022.137851/Fig5_E_stability_performance_curve/accepted/10.1016_j.cej.2022.137851__Fig5__E__stability_performance_curve__Pristine__Series_2.csv,772,10,0,21.217658489415612,212.17658489415612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84118669725633e-05,9.51980532776907e-05,2.6322369426440554e-06
x_time_h/10.1016_j.cej.2022.139961/Fig5_F_stability_performance_curve_pce_image/accepted/10.1016_j.cej.2022.139961__Fig5__F__stability_performance_curve_pce_image__w_0__Series_1.csv,773,18,0,11.59707999885245,208.74743997934345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.449559313869869e-05,0.00020634059557707256,1.8013350984358424e-05
x_time_h/10.1016_j.dyepig.2019.01.002/Fig4_A_stability_performance_curve_pce/accepted/10.1016_j.dyepig.2019.01.002__Fig4__A__stability_performance_curve_pce__P3HT__Series_1.csv,774,45,0,4.503028519069403,202.63628335812098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021056035065647515,0.00021701215205709303,0.00028503122269496234
x_time_h/10.1016_j.dyepig.2019.01.002/Fig4_A_stability_performance_curve_pce/accepted/10.1016_j.dyepig.2019.01.002__Fig4__A__stability_performance_curve_pce__Spiro-OMeTAD__Series_2.csv,775,45,0,4.503028519069403,202.636283358121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001952979743309896,0.0003727933864236798,0.00022884967044541432
x_time_h/10.1016_j.dyepig.2020.108301/Fig6_C_stability_performance_curve/accepted/10.1016_j.dyepig.2020.108301__Fig6__C__stability_performance_curve__Spiro-OMeTAD__Series_3.csv,776,12,0,17.713410893185824,212.56093071822986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022923411416346046,0.0004914623779367655,8.295682101429537e-06
x_time_h/10.1016_j.electacta.2018.07.029/Fig7_A_stability_performance_curve_pce_spectrum/accepted/10.1016_j.electacta.2018.07.029__Fig7__A__stability_performance_curve_pce_spectrum__PEDOT_PSS__Series_1.csv,777,33,0,6.204914669299342,204.762184086878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012496315995339874,0.00011866659328803791,6.680506428214709e-05
x_time_h/10.1016_j.electacta.2018.07.044/Fig4_H_stability_performance_curve_pce/accepted/10.1016_j.electacta.2018.07.044__Fig4__H__stability_performance_curve_pce__Mg(0.04)-TiO₂__Series_2.csv,778,19,0,11.052138030558922,209.99062258061872,0.0,0.0,0.0,0.0,0.00013827662156172204,0.0,0.0,0.0,0.0,0.00025427850310918884,0.0002028810164279716,2.6386398526293916e-05
x_time_h/10.1016_j.electacta.2018.07.044/Fig4_H_stability_performance_curve_pce/accepted/10.1016_j.electacta.2018.07.044__Fig4__H__stability_performance_curve_pce__None-doped_TiO₂__Series_1.csv,779,19,0,11.052138030558922,209.99062258061872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011584353674892429,0.00016491041155583264,2.0453520609835053e-05
x_time_h/10.1016_j.electacta.2019.135173/Fig9_C_stability_performance_curve/accepted/10.1016_j.electacta.2019.135173__Fig9__C__stability_performance_curve__Pulse-constant_Potential__Series_2.csv,780,51,0,3.9927357640583523,203.62952396697347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.923692468750645e-05,0.00012263923332040435,0.00022730560517518784
