variant_id,setting_id,elbow_k,qe_elbow_strength,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction,quantization_error_median,topographic_error_median,silhouette_median,seed_ari,empty_nodes_median,min_cluster_fraction_median,center_separation_ratio_median,primary_window_eligible,passes_support,rank_silhouette_median,rank_seed_ari,rank_topographic_error_median,rank_center_separation_ratio_median,rank_min_cluster_fraction_median,rank_retention_fraction,rank_qe_elbow_strength,rank_sum
w0750_detail_maxabs_level,random_sigma12_lr03,5,0.3284595192835392,1.2,0.3,True,750,detail,maxabs_level,734,64,0.3488593155893536,0.32956154642301916,0.0,0.4077584123732107,0.855406392282435,0.0,0.05994550408719346,2.255030155838791,True,True,65.0,171.0,82.0,62.0,76.0,154.0,73.0,683.0
w0750_dense_maxabs_level,random_sigma05_lr01,4,0.33568763772979654,0.5,0.1,True,750,dense,maxabs_level,576,64,0.2737642585551331,0.3813417553924426,0.0,0.4658831891900659,0.9176435044085309,0.0,0.04861111111111111,2.542921372391553,True,True,37.0,150.0,82.0,42.0,117.0,200.0,61.0,689.0
w0500_dense_z_level,paper_sigma05_lr03_seq,4,0.4272218203741705,0.5,0.3,False,500,dense,z_level,774,64,0.3678707224334601,1.6714683743379903,0.0,0.26745283060715686,1.0,0.0,0.029715762273901807,1.9675938062790326,True,True,113.0,56.0,82.0,83.0,248.5,107.0,1.0,690.5
w0500_coverage_z_level,paper_sigma03_lr01_seq,4,0.3160859008428791,0.3,0.1,False,500,coverage,z_level,1198,64,0.5693916349809885,1.7921486311211285,0.0,0.3366963602852879,0.9995108172288498,0.0,0.034223706176961605,2.1559208023357046,True,True,75.5,115.0,82.0,69.0,201.0,60.5,100.0,703.0
w0300_coverage_z_level,detail_sigma12_lr05_seq,5,0.3281788783876699,1.2,0.5,False,300,coverage,z_level,1590,64,0.7557034220532319,1.6997194958909214,0.012578616352201259,0.23828048505668079,1.0,0.0,0.04779874213836478,1.6193117510388446,True,True,129.0,56.0,182.0,128.0,122.0,12.5,76.0,705.5
w0750_dense_maxabs_level,random_sigma12_lr03,5,0.34329285368531026,1.2,0.3,True,750,dense,maxabs_level,576,64,0.2737642585551331,0.3388653757194465,0.0,0.3942708732601574,0.862447677703313,0.0,0.06076388888888889,2.2074513776107487,True,True,71.0,170.0,82.0,63.0,73.5,200.0,49.0,708.5
w0300_coverage_z_level,paper_sigma03_lr01_seq,4,0.2938502188859325,0.3,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7688830649347287,0.0,0.35948320440748377,0.8765196405374874,0.0,0.04213836477987421,2.1552229270030154,True,True,73.0,168.0,82.0,71.0,159.0,12.5,147.0,712.5
w1000_detail_maxabs_level,random_sigma12_lr03,4,0.3175643630126958,1.2,0.3,True,1000,detail,maxabs_level,472,64,0.2243346007604562,0.3921779541413813,0.0,0.4167497371376718,0.8087508160872757,0.0,0.1461864406779661,2.519352429921417,True,True,62.0,181.0,82.0,43.0,9.0,247.5,97.0,721.5
w0750_detail_maxabs_level,detail_sigma12_lr05_seq,5,0.28511365066903194,1.2,0.5,False,750,detail,maxabs_level,734,64,0.3488593155893536,0.35331000671305435,0.0027247956403269754,0.406551849100942,1.0,0.0,0.0653950953678474,2.333710130130496,True,True,67.0,56.0,164.0,57.0,66.0,154.0,159.0,723.0
w0500_dense_maxabs_level,random_sigma12_lr03,5,0.3071103923232875,1.2,0.3,True,500,dense,maxabs_level,774,64,0.3678707224334601,0.3413337176743052,0.0,0.4122984796070819,0.7794124524358746,0.0,0.05167958656330749,2.2749036296089673,True,True,63.0,189.0,82.0,61.0,106.5,107.0,119.0,727.5
w1000_coverage_maxabs_level,random_sigma05_lr01,4,0.31957704989629504,0.5,0.1,True,1000,coverage,maxabs_level,489,64,0.2324144486692015,0.399587184989029,0.0,0.5102365309785929,0.8770825673123704,0.0,0.044989775051124746,3.108232051646581,True,True,14.0,167.0,82.0,13.0,136.5,223.5,93.0,729.0
w0300_coverage_z_level_d1,detail_sigma12_lr05_seq,4,0.21911298137536378,1.2,0.5,False,300,coverage,z_level_d1,1590,127,0.7557034220532319,0.5813696764316475,0.0,0.19826247697055827,1.0,0.0,0.06540880503144654,1.4513201272772194,True,True,140.0,56.0,82.0,136.0,65.0,12.5,240.0,731.5
w1000_detail_maxabs_level,paper_sigma05_lr03_seq,4,0.32824574846831295,0.5,0.3,False,1000,detail,maxabs_level,472,64,0.2243346007604562,0.3979147822221163,0.0,0.5241190230359357,1.0,0.0,0.02754237288135593,3.1365842353360027,True,True,4.0,56.0,82.0,11.0,260.0,247.5,74.0,734.5
w0300_detail_z_level,random_sigma05_lr01,4,0.31931178406535493,0.5,0.1,True,300,detail,z_level,1325,64,0.6297528517110266,1.7081736745691765,0.0,0.320013107518904,0.7981078882601972,0.0,0.038490566037735846,2.1028942929791326,True,True,83.0,184.0,82.0,76.0,183.5,36.5,95.0,740.0
w1000_detail_maxabs_level,paper_sigma03_lr01_seq,4,0.3263354017191386,0.3,0.1,False,1000,detail,maxabs_level,472,64,0.2243346007604562,0.3962205716261369,0.0,0.5232614347292738,0.9963579114570855,0.0,0.03389830508474576,3.1841710562276986,True,True,5.0,120.0,82.0,9.0,204.5,247.5,79.0,747.0
w0750_coverage_maxabs_level,paper_sigma05_lr03_seq,4,0.283292316279059,0.5,0.3,False,750,coverage,maxabs_level,770,64,0.3659695817490494,0.3993423973385601,0.0,0.5016693859254828,1.0,0.0,0.02987012987012987,2.3768800825822662,True,True,20.0,56.0,82.0,54.0,246.5,130.5,162.0,751.0
w0750_detail_z_level,paper_sigma03_lr01_seq,4,0.3542082702486183,0.3,0.1,False,750,detail,z_level,734,64,0.3488593155893536,1.7686748276268902,0.0,0.2594604774089541,1.0,0.0,0.0326975476839237,1.8804787850916584,True,True,122.5,56.0,82.0,98.0,215.0,154.0,27.0,754.5
w0300_coverage_maxabs_level,paper_sigma05_lr03_seq,5,0.28297258957030047,0.5,0.3,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.2794251385052354,0.35660377358490564,0.4872980326997242,0.9995637721574946,0.0,0.03773584905660377,3.0631756131017127,True,True,24.0,112.0,244.0,14.0,186.0,12.5,163.0,755.5
w0750_detail_z_level,paper_sigma05_lr01_seq,4,0.353620603948631,0.5,0.1,False,750,detail,z_level,734,64,0.3488593155893536,1.7691944793792582,0.0,0.2594604774089541,1.0,0.0,0.0326975476839237,1.8803366887007535,True,True,122.5,56.0,82.0,99.0,215.0,154.0,28.0,756.5
w1000_coverage_maxabs_level,paper_sigma05_lr01_seq,4,0.3044015585936954,0.5,0.1,False,1000,coverage,maxabs_level,489,64,0.2324144486692015,0.39694989884770454,0.0,0.5136961124311561,0.9928972101310464,0.0,0.03885480572597137,3.060312573099243,True,True,12.0,123.0,82.0,15.0,180.0,223.5,124.0,759.5
w0300_coverage_z_level_d1,paper_sigma05_lr01_seq,4,0.31429344894246874,0.5,0.1,False,300,coverage,z_level_d1,1590,127,0.7557034220532319,0.5491206087620341,0.0,0.19007026725732198,0.8983804215249457,0.0,0.04905660377358491,1.2437811493069597,True,True,146.5,158.0,82.0,147.0,113.5,12.5,103.0,762.5
w0500_detail_z_level,paper_sigma03_lr01_seq,4,0.3815950312887146,0.3,0.1,False,500,detail,z_level,1102,64,0.5237642585551331,1.7283986197866519,0.0,0.2917783015037634,0.8123093635363973,0.0,0.032667876588021776,1.9486128898416155,True,True,104.0,179.0,82.0,87.0,218.5,84.0,8.0,762.5
w0750_detail_z_level,detail_sigma12_lr05_seq,3,0.346340833248881,1.2,0.5,False,750,detail,z_level,734,64,0.3488593155893536,2.0308761408154457,0.01907356948228883,0.3037845173391035,1.0,0.0,0.04632152588555858,1.9151546786965328,True,True,93.0,56.0,196.0,94.0,128.5,154.0,44.0,765.5
