variant_id,setting_id,elbow_k,window_hours,cohort,representation,n,seed_ari,silhouette_median,label_blind_rank_sum,target_type_coverage,exact_four,names
w1000_dense_z_level_d1_d2,detail_sigma12_lr05_seq,4,1000,dense,z_level_d1_d2,379,1.0,0.03256515587158415,1213.0,2,False,Hill-like;Slope-like
w0750_detail_z_level_d1_d2,detail_sigma12_lr05_seq,5,750,detail,z_level_d1_d2,734,1.0,0.025917817245453598,1332.5,2,False,Hill-like;Slope-like
w0200_coverage_z_level,paper_sigma05_lr01_seq,5,200,coverage,z_level,1770,0.9974106340134168,0.30126728552166776,,2,False,Bridge-like;Other/mixed;Slope-like
w0300_detail_z_level_d1_d2,paper_sigma05_lr01_seq,4,300,detail,z_level_d1_d2,1325,0.9962476157531714,0.059854316450982575,1043.0,2,False,Bridge-like;Slope-like
w0300_dense_z_level_d1_d2,paper_sigma05_lr01_seq,4,300,dense,z_level_d1_d2,682,0.9947960679442,0.05058173174600204,1083.0,2,False,Hill-like;Slope-like
w1000_coverage_z_level_d1,paper_sigma03_lr01_seq,5,1000,coverage,z_level_d1,489,0.9846924028022658,0.14325210269401434,1263.5,2,False,Hill-like;Other/mixed;Slope-like
w0750_detail_z_level_d1,paper_sigma05_lr01_seq,4,750,detail,z_level_d1,734,0.9827686313289621,0.13467672403460057,1077.0,2,False,Bridge-like;Slope-like
w0300_detail_z_level,paper_sigma03_lr01_seq,4,300,detail,z_level,1325,0.9668885847427688,0.3254706961549806,667.0,2,False,Bridge-like;Slope-like
w0300_dense_z_level_d1,paper_sigma05_lr01_seq,4,300,dense,z_level_d1,682,0.9657194958315474,0.15444244966793405,964.0,2,False,Bridge-like;Slope-like
w0200_detail_z_level_d1,paper_sigma05_lr01_seq,4,200,detail,z_level_d1,1269,0.954571506605055,0.21679790898802903,,2,False,Bridge-like;Slope-like
w0200_coverage_z_level,paper_sigma03_lr01_seq,4,200,coverage,z_level,1770,0.9397160845945945,0.3800990335150448,,2,False,Bridge-like;Other/mixed;Slope-like
w1000_coverage_z_level_d1,paper_sigma05_lr01_seq,5,1000,coverage,z_level_d1,489,0.9357781381232457,0.14322006948597976,1332.5,2,False,Hill-like;Other/mixed;Slope-like
w0750_dense_z_level_d1_d2,paper_sigma05_lr01_seq,4,750,dense,z_level_d1_d2,576,0.9328150974615297,0.05238150583353813,1250.0,2,False,Hill-like;Slope-like
