window_hours,requested_clusters,grid_x,grid_y,seed,quantization_error,topographic_error,occupied_clusters,minimum_cluster_size,maximum_cluster_size,elapsed_seconds
500,7,1,7,73,1.0783225266367074,0.3023255813953488,7,4,40,1.9368000030517578
500,7,1,7,101,1.0283890374546365,0.32558139534883723,7,4,26,1.9596548080444336
500,8,2,4,7,0.9787936271661124,0.3372093023255814,8,4,26,2.1269519329071045
500,8,2,4,19,0.9992893225012923,0.0,8,4,18,2.129357099533081
500,8,2,4,42,0.9787936271661124,0.3372093023255814,8,4,26,2.1220898628234863
500,8,2,4,73,0.9937053741307429,0.09302325581395349,8,4,25,2.177432060241699
500,8,2,4,101,0.9964496349159923,0.10465116279069768,8,4,26,2.18972110748291
500,9,3,3,7,0.9286184505004944,0.13953488372093023,9,2,28,2.3315091133117676
500,9,3,3,19,0.9164484675756196,0.22093023255813954,9,3,26,2.3712010383605957
500,9,3,3,42,0.9568274315532853,0.3488372093023256,9,4,25,2.393202066421509
500,9,3,3,73,0.95610898341651,0.08139534883720931,9,4,26,2.3840410709381104
500,9,3,3,101,0.9166850295288506,0.2441860465116279,9,3,26,2.320307970046997
500,10,2,5,7,0.9262859528417817,0.0,10,2,18,2.560537099838257
500,10,2,5,19,0.9054089742170708,0.19767441860465115,10,2,22,2.608503818511963
500,10,2,5,42,0.8877206824881647,0.36046511627906974,10,3,25,2.5824708938598633
500,10,2,5,73,0.9310283884778309,0.29069767441860467,10,2,25,2.542229175567627
500,10,2,5,101,0.9030608288633409,0.10465116279069768,10,2,25,2.548691987991333
