array_row,curve_id,pce_0h,pce_10h,pce_20h,pce_50h,pce_100h,pce_150h,pce_200h,slope_0_10h,slope_10_50h,slope_50_100h,slope_100_200h,peak_time_h,peak_value,initial_gain,minimum_time_h,minimum_value,recovery_to_200h,maximum_post_min_recovery,max_drop_rate_per_h,max_drop_time_h,auc_mean_0_200h,endpoint_change,mean_abs_derivative,rule_shape_category
612,x_time_h/10.1002_aenm.202101539/Fig4_F_stability_performance_curve_pce/accepted/10.1002_aenm.202101539__Fig4__F__stability_performance_curve_pce__Reference__Series_1.csv,0.994513905837394,0.994513905837394,0.994513905837394,0.9957627298191122,0.9999718581136801,0.9934788899368883,0.9814538054624796,0.0,3.122059954295542e-05,8.418256589135752e-05,-0.00018518052651200434,101.0,0.9999991662267815,0.0054852603893875695,200.0,0.9814538054624796,0.0,0.0,-0.0003008028834531329,175.0,0.9943054541679287,-0.01306010037491434,0.00012019296937980573,stable
613,x_time_h/10.1002_aenm.202200480/Fig6_A_stability_performance_curve_pce/accepted/10.1002_aenm.202200480__Fig6__A__stability_performance_curve_pce__85.2%__Series_1.csv,1.0,0.9966524375988309,0.9922696667640099,0.9818098773973477,0.9672747597831224,0.9466973584076125,0.9236059318845984,-0.00033475624011690684,-0.0003710640050370806,-0.00029070235228450647,-0.00043668827898524,0.0,1.0,0.0,200.0,0.9236059318845984,0.0,0.0,-0.0007823851860915831,125.0,0.9645294989118725,-0.07639406811540161,0.0003815993036673812,stable
614,x_time_h/10.1002_aenm.202200480/Fig6_B_stability/accepted/10.1002_aenm.202200480__Fig6__B__stability__TTDA-TAPB-COF__Series_1.csv,1.0,0.9836512844463784,0.9630704182247131,0.9575355246955458,0.9757320683931916,0.9698809455842213,0.9529801365611854,-0.0016348715553621608,-0.0006528939937708144,0.00036393087395291567,-0.00022751931832006188,0.0,1.0,0.0,29.0,0.9455309215459335,0.007449215015251864,0.03267319376839406,-0.0026629138788821227,24.0,0.9676140380039405,-0.04701986343881459,0.0005618632006984799,dip_recovery
615,x_time_h/10.1002_aenm.202200480/Fig6_C_stability/accepted/10.1002_aenm.202200480__Fig6__C__stability__TTDA-TTA-COF__Series_1.csv,0.944984154824497,0.9457294866692988,0.9460076337485368,0.9426919365531204,0.9735119877343889,0.9851943636243227,0.9610495540122796,7.453318448017444e-05,-7.593875290445862e-05,0.0006164010236253681,-0.000124624337221092,122.0,0.9999860141642839,0.05500185933978685,51.0,0.9426917939580286,0.01835776005425105,0.0572942202062553,-0.0008424381880325349,168.0,0.9643585136588873,0.016065399187782603,0.0005131592754904096,initial_gain
616,x_time_h/10.1002_aenm.202301066/Fig4_D_stability_performance_curve_pce/accepted/10.1002_aenm.202301066__Fig4__D__stability_performance_curve_pce__Control__Series_3.csv,1.0,0.9693874474815336,0.9360697133715526,0.8684469716134806,0.8250194763628869,0.8022825764021562,0.7661245229474157,-0.0030612552518466396,-0.0025235118967013247,-0.000868549905011875,-0.0005889495341547113,0.0,1.0,0.0,200.0,0.7661245229474157,0.0,0.0,-0.0034428815057030993,17.0,0.8426631544007206,-0.23387547705258427,0.001173026864204845,early_drop
617,x_time_h/10.1002_aenm.202301066/Fig4_D_stability_performance_curve_pce/accepted/10.1002_aenm.202301066__Fig4__D__stability_performance_curve_pce__With_NMAI__Series_1.csv,1.0,0.9624213357686286,0.9087302978028535,0.8001202691318586,0.7360745065064992,0.7132613589684051,0.697935410959879,-0.003757866423137135,-0.004057526665919251,-0.0012809152525071886,-0.00038139095546620204,0.0,1.0,0.0,200.0,0.697935410959879,0.0,0.0,-0.005979421229398263,18.0,0.7705162368066325,-0.302064589040121,0.0015116400213342125,early_drop
618,x_time_h/10.1002_aenm.202302169/Fig5_A_stability_performance_curve_spectrum/accepted/10.1002_aenm.202302169__Fig5__A__stability_performance_curve_spectrum__Control_(initial_PCE_20.15%)__Series_1.csv,1.0,0.9818639522457566,0.9590211780034095,0.9155981476889724,0.8662501024982483,0.8394748106670027,0.8070209027391586,-0.001813604775424338,-0.0016566451139196053,-0.0009869609038144823,-0.0005922919975908969,0.0,1.0,0.0,200.0,0.8070209027391586,0.0,0.0,-0.0026201369957638,13.0,0.8791533516358723,-0.1929790972608414,0.0009644633341639969,moderate_decay
619,x_time_h/10.1002_aenm.202302169/Fig5_B_stability/accepted/10.1002_aenm.202302169__Fig5__B__stability__Control_(initial_PCE_20.98%)__Series_1.csv,0.9646211894106236,0.9970764401814852,0.999646413370325,0.9634331524928577,0.9150908545854968,0.9080150924676215,0.8831281720463455,0.0032455250770861642,-0.0008410821922156892,-0.0009668459581472177,-0.00031962682539151245,13.0,1.0,0.03537881058937642,200.0,0.8831281720463455,0.0,0.0,-0.0018838032412678007,46.0,0.933298525283163,-0.08149301736427805,0.00077024259969159,initial_gain
620,x_time_h/10.1002_aenm.202302169/Fig5_C_stability_performance_curve_pce/accepted/10.1002_aenm.202302169__Fig5__C__stability_performance_curve_pce__Control_(initial_PCE_21.02%)__Series_1.csv,1.0,0.9888248671345264,0.9669168782003232,0.9028090463431105,0.8263044990085804,0.7588171055082426,0.6778160783530661,-0.0011175132865473558,-0.0021503955197853973,-0.001530090946690603,-0.0014848842065551427,0.0,1.0,0.0,200.0,0.6778160783530661,0.0,0.0,-0.0028103415459144188,27.0,0.832452637896827,-0.3221839216469339,0.0016085302865450756,rapid_decay
621,x_time_h/10.1002_anie.201904195/Fig4_A_stability_performance_curve/accepted/10.1002_anie.201904195__Fig4__A__stability_performance_curve__PCBM_in_ambient__Series_1.csv,1.0,0.9927386932085278,0.9874445107210426,0.9688778990205658,0.9440586696416456,0.9312322087238405,0.9090530105032439,-0.0007261306791472189,-0.0005965198546990513,-0.0004963845875784023,-0.000350056591384017,0.0,1.0,0.0,200.0,0.9090530105032439,0.0,0.0,-0.0008087303368929377,155.0,0.94917527944582,-0.09094698949675606,0.00045569567948765716,stable
622,x_time_h/10.1002_anie.201904195/Fig4_A_stability_performance_curve/accepted/10.1002_anie.201904195__Fig4__A__stability_performance_curve__PDI-C60_in_ambient__Series_2.csv,1.0,0.9908037315334156,0.9816074630668312,0.9550208062250064,0.9158781646184294,0.8358095659617774,0.7874394019412696,-0.000919626846658439,-0.0008945731327102302,-0.0007828528321315398,-0.001284387626771598,0.0,1.0,0.0,200.0,0.7874394019412696,0.0,0.0,-0.0022691890454198393,111.0,0.8995560712532142,-0.2125605980587304,0.0010613987872312,moderate_decay
623,x_time_h/10.1002_anie.201905690/Fig1_F_stability_performance_curve_pce/accepted/10.1002_anie.201905690__Fig1__F__stability_performance_curve_pce__BA₂MA₄Pb₅I₁₆__Series_1.csv,1.0,0.9938565768155491,0.9927604102280765,0.9891406153421147,0.9837407336346498,0.964072449013171,0.9438544778417463,-0.0006143423184450936,-0.00011789903683585845,-0.00010799763414929941,-0.00039886255792903505,0.0,1.0,0.0,200.0,0.9438544778417463,0.0,0.0,-0.0007186706725205161,0.0,0.9766573991424014,-0.05614552215825375,0.00028231226696156023,stable
624,x_time_h/10.1002_anie.202005211/Fig4_E_mppt_stability_performance_curve_pce/accepted/10.1002_anie.202005211__Fig4__E__mppt_stability_performance_curve_pce__Bare_FAPbI₃_with_MACI__Series_1.csv,1.0,0.898304997834673,0.7677225233266581,0.6225768368891164,0.5801743379492513,0.5463605778337104,0.5345394625448879,-0.010169500216532701,-0.0068932040236389155,-0.0008480499787973006,-0.00045634875404363393,0.0,1.0,0.0,200.0,0.5345394625448879,0.0,0.0,-0.014451734815189798,14.0,0.616702602387473,-0.46546053745511207,0.0023383165337865944,early_drop
625,x_time_h/10.1002_anie.202007353/Fig3_F_stability_performance_curve_pce/accepted/10.1002_anie.202007353__Fig3__F__stability_performance_curve_pce__a__Series_1.csv,1.0,0.9839526638168818,0.9674723933713975,0.9424095214072559,0.9170430456865,0.8950825059158853,0.8727303351487816,-0.0016047336183118155,-0.0010385785602406495,-0.000507329514415118,-0.00044312710537718346,0.0,1.0,0.0,200.0,0.8727303351487816,0.0,0.0,-0.0017082749672777675,15.0,0.9213697436469397,-0.12726966485121838,0.0006380311189174043,moderate_decay
626,x_time_h/10.1002_anie.202007353/Fig3_F_stability_performance_curve_pce/accepted/10.1002_anie.202007353__Fig3__F__stability_performance_curve_pce__c__Series_2.csv,1.0,0.989162847546013,0.9798900655739697,0.9744503479852881,0.9646550071129167,0.9510454113204336,0.9347272150939117,-0.0010837152453986975,-0.0003678124890181239,-0.00019590681744742654,-0.0002992779201900508,0.0,1.0,0.0,200.0,0.9347272150939117,0.0,0.0,-0.0011929843905602588,0.0,0.9638586120103512,-0.06527278490608834,0.00032837315872086796,stable
627,x_time_h/10.1002_anie.202012095/Fig5_E_stability_performance_curve_pce/accepted/10.1002_anie.202012095__Fig5__E__stability_performance_curve_pce__Pristine__Series_1.csv,0.9775768755486441,0.9797834735372387,0.9831510126410982,0.9980617335098376,0.991773112679242,0.9693007559818899,0.9552164325171062,0.00022065979885945718,0.00045695649931497273,-0.0001257724166119134,-0.00036556680162135757,61.0,1.0,0.022423124451355858,200.0,0.9552164325171062,0.0,0.0,-0.0006273647666871218,149.0,0.9816479697414994,-0.022360443031537947,0.0003349354292104734,initial_gain
628,x_time_h/10.1002_anie.202016085/Fig6_A_pce/accepted/10.1002_anie.202016085__Fig6__A__pce__PTAA__Series_2.csv,0.9913524083743428,0.9892977400286905,0.9873030535887681,0.9812635382210395,0.9935596446734152,0.9954763966564195,0.9797877656213835,-0.00020546683456522662,-0.0002008550451912755,0.0002459221290475133,-0.00013771879052031698,84.0,0.9999952239029495,0.008642815528606684,200.0,0.9797877656213835,0.0,0.0,-0.0005479485225083902,93.0,0.9895066380221847,-0.01156464275295932,0.00030252873358238536,stable
629,x_time_h/10.1002_anie.202410069/Fig4_E_stability_performance_curve_pce/accepted/10.1002_anie.202410069__Fig4__E__stability_performance_curve_pce__Control__Series_1.csv,0.995571116090772,1.0,0.9970090322813239,0.9759142660437046,0.9018028796239077,0.8052922982119318,0.7140581178073983,0.00044288839092280206,-0.0006021433489073857,-0.0014822277283959373,-0.0018774476181650946,4.0,1.0,0.004428883909228021,200.0,0.7140581178073983,0.0,0.0,-0.0029756517900883517,77.0,0.8873461297483396,-0.2815129982833737,0.001453466726599141,moderate_decay
630,x_time_h/10.1002_anie.202505470/Fig6_D_stability_performance_curve/accepted/10.1002_anie.202505470__Fig6__D__stability_performance_curve__Control__Series_1.csv,1.0,0.992233875987734,0.9805263843114579,0.9503118902933353,0.9151870235125192,0.8672084075049517,0.8129863186685635,-0.0007766124012265951,-0.001048049642359969,-0.0007024973356163211,-0.0010220070484395572,0.0,1.0,0.0,200.0,0.8129863186685635,0.0,0.0,-0.0014902341535324992,189.0,0.9109927797459726,-0.18701368133143648,0.000934466657061444,moderate_decay
