config_id,mean_bic,bic_percentile,cp_f1,mean_segments,id,algorithm,cost,min_fraction,penalty,cp_score
CP191,-234.21761152117085,0.4719296906796907,0.7900641025641025,2.378205128205128,CP191,window,l2,0.1,2.0,0.5804690679690679
CP002,-239.56146838455808,0.48869301994301995,0.8530982905982907,2.371794871794872,CP002,pelt,l2,0.03,2.0,0.5796652421652422
CP093,-234.02774512959726,0.5164199226699226,0.8834401709401709,2.2371794871794872,CP093,binseg,l2,0.05,2.0,0.5635520960520961
CP086,-233.86738638032298,0.5206679894179894,0.8802350427350427,2.2371794871794872,CP086,binseg,l2,0.03,2.0,0.559512617012617
CP171,-231.38341063839218,0.5033831908831908,0.8050213675213674,2.2115384615384617,CP171,window,l2,0.03,3.0,0.5582977207977209
CP178,-231.38341063839218,0.5033831908831908,0.8050213675213674,2.2115384615384617,CP178,window,l2,0.05,3.0,0.5582977207977209
CP185,-231.38341063839218,0.5033831908831908,0.8050213675213674,2.2115384615384617,CP185,window,l2,0.08,3.0,0.5582977207977209
CP192,-231.38341063839218,0.5033831908831908,0.8050213675213674,2.2115384615384617,CP192,window,l2,0.1,3.0,0.5582977207977209
CP100,-232.12941520633345,0.5227665852665853,0.8695512820512821,2.2243589743589745,CP100,binseg,l2,0.08,2.0,0.5556969881969882
CP107,-231.2288188882653,0.5306903744403745,0.8732905982905982,2.198717948717949,CP107,binseg,l2,0.1,2.0,0.5501058201058201
CP226,-225.6716627979184,0.505303724053724,0.7383547008547009,2.3461538461538463,CP226,window,rbf,0.03,2.0,0.543427960927961
CP233,-225.6716627979184,0.505303724053724,0.7383547008547009,2.3461538461538463,CP233,window,rbf,0.05,2.0,0.543427960927961
CP240,-225.6716627979184,0.505303724053724,0.7383547008547009,2.3461538461538463,CP240,window,rbf,0.08,2.0,0.543427960927961
CP247,-225.6716627979184,0.505303724053724,0.7383547008547009,2.3461538461538463,CP247,window,rbf,0.1,2.0,0.543427960927961
CP024,-228.43389542421443,0.5599180911680912,0.8808760683760684,2.0641025641025643,CP024,pelt,l2,0.1,3.0,0.5282407407407408
CP010,-229.6536213839001,0.5597527472527473,0.8744658119658119,2.0961538461538463,CP010,pelt,l2,0.05,3.0,0.5270909645909646
CP200,-228.64165912880685,0.5571454008954009,0.8557692307692307,1.7307692307692308,CP200,window,linear,0.03,5.0,0.5254375254375254
CP207,-228.64165912880685,0.5571454008954009,0.8557692307692307,1.7307692307692308,CP207,window,linear,0.05,5.0,0.5254375254375254
CP214,-228.64165912880685,0.5571454008954009,0.8557692307692307,1.7307692307692308,CP214,window,linear,0.08,5.0,0.5254375254375254
CP221,-228.64165912880685,0.5571454008954009,0.8557692307692307,1.7307692307692308,CP221,window,linear,0.1,5.0,0.5254375254375254
CP003,-229.7036062447428,0.5635556573056574,0.8733974358974359,2.0961538461538463,CP003,pelt,l2,0.03,3.0,0.5238349613349613
CP017,-227.71077213195576,0.5650819088319088,0.8766025641025641,2.0705128205128207,CP017,pelt,l2,0.08,3.0,0.5232549857549859
CP108,-226.56028071031164,0.5714031339031339,0.8803418803418804,2.0256410256410255,CP108,binseg,l2,0.1,3.0,0.518945868945869
CP094,-227.67621198277806,0.5683506308506309,0.8648504273504273,2.0448717948717947,CP094,binseg,l2,0.05,3.0,0.5182895807895809
CP087,-228.1798769868207,0.5691010378510378,0.8648504273504273,2.051282051282051,CP087,binseg,l2,0.03,3.0,0.5176892551892552
CP101,-226.06382378306836,0.5758674196174196,0.875,2.0256410256410255,CP101,binseg,l2,0.08,3.0,0.5143060643060644
CP172,-222.03828185149047,0.5826846764346764,0.8301282051282052,1.8397435897435896,CP172,window,l2,0.03,5.0,0.4998778998779
CP179,-222.03828185149047,0.5826846764346764,0.8301282051282052,1.8397435897435896,CP179,window,l2,0.05,5.0,0.4998778998779
CP186,-222.03828185149047,0.5826846764346764,0.8301282051282052,1.8397435897435896,CP186,window,l2,0.08,5.0,0.4998778998779
CP193,-222.03828185149047,0.5826846764346764,0.8301282051282052,1.8397435897435896,CP193,window,l2,0.1,5.0,0.4998778998779
CP059,-214.9313982816656,0.5970695970695971,0.8838675213675213,2.076923076923077,CP059,pelt,rbf,0.03,3.0,0.49911782661782667
CP066,-214.9313982816656,0.5970695970695971,0.8838675213675213,2.076923076923077,CP066,pelt,rbf,0.05,3.0,0.49911782661782667
CP073,-214.9313982816656,0.5970695970695971,0.8838675213675213,2.076923076923077,CP073,pelt,rbf,0.08,3.0,0.49911782661782667
CP080,-214.76912381233493,0.6012922262922263,0.8827991452991453,2.0705128205128207,CP080,pelt,rbf,0.1,3.0,0.49552604802604805
CP143,-213.7501599579706,0.6088598901098902,0.8926282051282052,2.032051282051282,CP143,binseg,rbf,0.03,3.0,0.49143772893772897
CP150,-213.7501599579706,0.6088598901098902,0.8926282051282052,2.032051282051282,CP150,binseg,rbf,0.05,3.0,0.49143772893772897
CP157,-213.7501599579706,0.6088598901098902,0.8926282051282052,2.032051282051282,CP157,binseg,rbf,0.08,3.0,0.49143772893772897
CP164,-213.5878854886399,0.6130825193325193,0.8915598290598291,2.0256410256410255,CP164,binseg,rbf,0.1,3.0,0.4878459503459504
CP018,-222.54181925711086,0.6158679283679284,0.8814102564102564,1.9038461538461537,CP018,pelt,l2,0.08,5.0,0.4835877085877086
CP025,-222.25967998258153,0.6187932437932437,0.8910256410256411,1.8974358974358974,CP025,pelt,l2,0.1,5.0,0.48317053317053327
CP109,-222.25967998258153,0.6187932437932437,0.8910256410256411,1.8974358974358974,CP109,binseg,l2,0.1,5.0,0.48317053317053327
CP004,-222.73225950781185,0.6185388685388685,0.8835470085470086,1.9102564102564104,CP004,pelt,l2,0.03,5.0,0.48187830687830696
CP095,-222.3235237533263,0.6190094627594628,0.8846153846153846,1.9038461538461537,CP095,binseg,l2,0.05,5.0,0.4817155067155068
CP088,-222.73220872666883,0.6186151811151811,0.8824786324786325,1.9102564102564104,CP088,binseg,l2,0.03,5.0,0.48160358160358163
CP011,-222.32002975712646,0.6191620879120878,0.8846153846153846,1.9038461538461537,CP011,pelt,l2,0.05,5.0,0.48159340659340666
CP102,-221.81744204980265,0.6207773707773707,0.8803418803418804,1.8974358974358974,CP102,binseg,l2,0.08,5.0,0.47944647944647956
CP201,-220.0057068681111,0.6439509564509565,0.8910256410256411,1.455128205128205,CP201,window,linear,0.03,8.0,0.4630443630443631
CP208,-220.0057068681111,0.6439509564509565,0.8910256410256411,1.455128205128205,CP208,window,linear,0.05,8.0,0.4630443630443631
CP215,-220.0057068681111,0.6439509564509565,0.8910256410256411,1.455128205128205,CP215,window,linear,0.08,8.0,0.4630443630443631
CP222,-220.0057068681111,0.6439509564509565,0.8910256410256411,1.455128205128205,CP222,window,linear,0.1,8.0,0.4630443630443631
CP034,-211.28195515586907,0.6633470695970696,0.9423076923076923,1.2692307692307692,CP034,pelt,linear,0.03,10.0,0.4577838827838828
CP118,-211.28195515586907,0.6633470695970696,0.9423076923076923,1.2692307692307692,CP118,binseg,linear,0.03,10.0,0.4577838827838828
CP041,-211.2463353508828,0.6635760073260073,0.9423076923076923,1.2692307692307692,CP041,pelt,linear,0.05,10.0,0.45760073260073264
CP125,-211.2463353508828,0.6635760073260073,0.9423076923076923,1.2692307692307692,CP125,binseg,linear,0.05,10.0,0.45760073260073264
CP048,-210.45441965055534,0.669808201058201,0.9455128205128205,1.2628205128205128,CP048,pelt,linear,0.08,10.0,0.4532560032560033
CP132,-210.45441965055534,0.669808201058201,0.9455128205128205,1.2628205128205128,CP132,binseg,linear,0.08,10.0,0.4532560032560033
CP055,-209.84982635219762,0.6765491452991453,0.9519230769230769,1.2564102564102564,CP055,pelt,linear,0.1,10.0,0.4491452991452991
CP139,-209.84982635219762,0.6765491452991453,0.9519230769230769,1.2564102564102564,CP139,binseg,linear,0.1,10.0,0.4491452991452991
CP227,-203.71915369845541,0.6666412291412291,0.7932692307692307,1.6987179487179487,CP227,window,rbf,0.03,3.0,0.42534086284086287
CP234,-203.71915369845541,0.6666412291412291,0.7932692307692307,1.6987179487179487,CP234,window,rbf,0.05,3.0,0.42534086284086287
CP241,-203.71915369845541,0.6666412291412291,0.7932692307692307,1.6987179487179487,CP241,window,rbf,0.08,3.0,0.42534086284086287
CP248,-203.71915369845541,0.6666412291412291,0.7932692307692307,1.6987179487179487,CP248,window,rbf,0.1,3.0,0.42534086284086287
CP019,-207.93324732495623,0.6949277574277575,0.875,1.4935897435897436,CP019,pelt,l2,0.08,8.0,0.4190577940577941
CP103,-207.93324732495623,0.6949277574277575,0.875,1.4935897435897436,CP103,binseg,l2,0.08,8.0,0.4190577940577941
CP005,-208.32687297021707,0.6956400081400081,0.875,1.5,CP005,pelt,l2,0.03,8.0,0.4184879934879935
CP012,-208.32687297021707,0.6956400081400081,0.875,1.5,CP012,pelt,l2,0.05,8.0,0.4184879934879935
CP089,-208.32687297021707,0.6956400081400081,0.875,1.5,CP089,binseg,l2,0.03,8.0,0.4184879934879935
CP096,-208.32687297021707,0.6956400081400081,0.875,1.5,CP096,binseg,l2,0.05,8.0,0.4184879934879935
CP026,-206.61330516518797,0.7006512006512007,0.8814102564102564,1.4807692307692308,CP026,pelt,l2,0.1,8.0,0.4157610907610908
CP110,-206.61330516518797,0.7006512006512007,0.8814102564102564,1.4807692307692308,CP110,binseg,l2,0.1,8.0,0.4157610907610908
CP144,-197.89396620048197,0.7101012413512413,0.875,1.5192307692307692,CP144,binseg,rbf,0.03,5.0,0.40691900691900695
CP151,-197.89396620048197,0.7101012413512413,0.875,1.5192307692307692,CP151,binseg,rbf,0.05,5.0,0.40691900691900695
CP158,-197.89396620048197,0.7101012413512413,0.875,1.5192307692307692,CP158,binseg,rbf,0.08,5.0,0.40691900691900695
CP165,-197.89396620048197,0.7101012413512413,0.875,1.5192307692307692,CP165,binseg,rbf,0.1,5.0,0.40691900691900695
CP060,-197.9467119258364,0.708829365079365,0.8685897435897436,1.5256410256410255,CP060,pelt,rbf,0.03,5.0,0.40665445665445676
CP067,-197.9467119258364,0.708829365079365,0.8685897435897436,1.5256410256410255,CP067,pelt,rbf,0.05,5.0,0.40665445665445676
CP074,-197.9467119258364,0.708829365079365,0.8685897435897436,1.5256410256410255,CP074,pelt,rbf,0.08,5.0,0.40665445665445676
CP081,-197.9467119258364,0.708829365079365,0.8685897435897436,1.5256410256410255,CP081,pelt,rbf,0.1,5.0,0.40665445665445676
CP202,-202.79886410078498,0.743513431013431,0.9615384615384616,1.205128205128205,CP202,window,linear,0.03,10.0,0.39749694749694753
CP209,-202.79886410078498,0.743513431013431,0.9615384615384616,1.205128205128205,CP209,window,linear,0.05,10.0,0.39749694749694753
