config_id,sample_id,bic,segments,cp_f1
CP002,S0023,-264.79796283448417,3,1.0
CP002,S0025,-334.76861228051393,3,1.0
CP002,S0028,-351.06290346761654,2,1.0
CP002,S0029,-322.6077667392429,4,1.0
CP002,S0030,-308.61960487937336,3,1.0
CP002,S0031,-214.7183300474935,2,1.0
CP002,S0034,-219.15326367575548,3,0.75
CP002,S0035,-161.5239341691471,2,1.0
CP002,S0036,-133.4677014780025,2,1.0
CP002,S0037,-274.1537760316382,2,1.0
CP002,S0038,-293.97191251503773,2,1.0
CP002,S0039,-144.24665709276266,2,0.5
CP002,S0040,-143.92452147160813,2,1.0
CP002,S0044,-138.89490910820567,2,1.0
CP002,S0045,-543.0327258596697,3,0.0
CP002,S0046,-72.17856866793714,2,0.5
CP002,S0047,-78.3306732588573,2,1.0
CP002,S0048,-174.93258576177985,2,0.5
CP002,S0049,-211.83606731199907,2,1.0
CP002,S0050,-306.94198062557786,2,1.0
CP002,S0051,-167.0991888612291,2,1.0
CP002,S0052,-203.41142511717086,2,1.0
CP002,S0053,-264.1134251077068,2,1.0
CP002,S0054,-178.48706715487663,2,1.0
CP002,S0055,-335.690237248281,4,0.5
CP002,S0056,-260.6466624146344,2,1.0
CP002,S0057,-235.61023572711403,2,1.0
CP002,S0058,-285.23464823614876,2,1.0
CP002,S0059,-123.95095168343185,2,1.0
CP002,S0060,-318.5395611133872,2,0.5
CP002,S0061,-223.99439330512533,2,1.0
CP002,S0062,-140.3376334798538,2,1.0
CP002,S0063,-586.4825927840284,3,0.0
CP002,S0064,-524.192857869992,3,1.0
CP002,S0065,-374.7591687535845,3,0.0
CP002,S0066,-262.6781030525553,2,1.0
CP002,S0067,-365.90513128149814,3,1.0
CP002,S0071,-225.93995320668722,2,1.0
CP002,S0072,-267.5142741235077,2,1.0
CP002,S0075,-319.5499646224896,2,0.5
CP002,S0076,-241.99204511353173,3,0.5
CP002,S0077,-319.9890349072121,3,1.0
CP002,S0080,-189.7786417138093,2,0.0
CP002,S0081,-417.6209238039032,3,1.0
CP002,S0082,-299.3246952123737,2,0.5
CP002,S0083,-245.9437538105338,2,1.0
CP002,S0084,-206.24607340984082,2,1.0
CP002,S0085,-185.68825175107233,2,1.0
CP002,S0086,-278.4401128901622,3,0.0
CP002,S0087,-208.12226159062521,2,1.0
CP002,S0088,-260.00545444062146,2,1.0
CP002,S0089,-270.8857820543319,2,1.0
CP002,S0090,-258.89273112114813,2,0.5
CP002,S0091,-117.51644507202141,2,1.0
CP002,S0092,-223.5316868032285,2,1.0
CP002,S0093,-111.60365212797568,2,1.0
CP002,S0095,-227.083021646867,3,0.5
CP002,S0096,-141.74401173801684,2,1.0
CP002,S0099,-171.41811083687483,3,1.0
