sample,curve_id,csv_path,window_hours,included,reason,duration_hours,first_global_max_time_hours,raw_points
图片200,图片200_42b86034ef,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片200/accepted/samples_test__unknown__unknown__图片200__Series_2__Series_2.csv,300,False,axis_or_csv:missing;missing,,,37
图片202,图片202_c362bc8fd2,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBGPSCs_with_YbOx__Series_2.csv,300,True,included,490.314972508966,0.0,35
图片202,图片202_608c29938a,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片202/accepted/samples_test__unknown__unknown__图片202__WBG_PSCs_withBCP__Series_1.csv,300,True,included,490.314972508966,57.68411441281954,35
图片203,图片203_a0cc51d6e9,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片203/accepted/samples_test__unknown__unknown__图片203__0--Control__Series_1.csv,300,True,included,1571.5181159463548,0.0,46
图片203,图片203_dac72be995,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片203/accepted/samples_test__unknown__unknown__图片203__DMPESI__Series_2.csv,300,True,included,1571.518115946355,0.0,46
图片204,图片204_e00712df07,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_1__Series_1.csv,300,False,axis_or_csv:power_proxy,,,42
图片204,图片204_1f0751f297,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片204/accepted/samples_test__unknown__unknown__图片204__Series_2__Series_2.csv,300,False,axis_or_csv:power_proxy,,,41
图片205,图片205_b2366de081,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_1__Series_1.csv,300,True,included,1003.8344196702012,0.0,54
图片205,图片205_522a9ae83d,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片205/accepted/samples_test__unknown__unknown__图片205__Series_2__Series_2.csv,300,True,included,1003.8344196702012,0.0,54
图片208,图片208_1d876a13ef,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_1__Series_1.csv,300,False,axis_or_csv:missing,,,43
图片208,图片208_b7378998db,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_2__Series_2.csv,300,False,axis_or_csv:missing,,,37
图片208,图片208_2b20f79d99,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_3__Series_3.csv,300,False,axis_or_csv:missing,,,43
图片208,图片208_dc3b02e3c2,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片208/accepted/samples_test__unknown__unknown__图片208__Series_4__Series_4.csv,300,False,axis_or_csv:missing,,,43
图片210,图片210_ba99e47109,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_1__Series_1.csv,300,False,axis_or_csv:missing;missing,,,40
图片210,图片210_4b90fd4a3d,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_2__Series_2.csv,300,False,axis_or_csv:missing;missing,,,23
图片210,图片210_6d8d1aa5f5,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片210/accepted/samples_test__unknown__unknown__图片210__Series_3__Series_3.csv,300,False,axis_or_csv:missing;missing,,,41
图片28,图片28_c65ea9940b,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_1__Series_1.csv,300,True,included,399.4283373072515,81.93401790917981,40
图片28,图片28_209893d1b5,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片28/accepted/samples_test__unknown__unknown__图片28__Series_2__Series_2.csv,300,True,included,399.4283373072515,30.72525671594242,41
图片31,图片31_780102cb04,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_1__Series_1.csv,300,False,axis_or_csv:missing;missing,,,50
图片31,图片31_395b5aa834,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_2__Series_2.csv,300,False,axis_or_csv:missing;missing,,,50
图片31,图片31_a2012fad70,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_3__Series_3.csv,300,False,axis_or_csv:missing;missing,,,50
图片31,图片31_13a16a6068,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片31/accepted/samples_test__unknown__unknown__图片31__Series_4__Series_4.csv,300,False,axis_or_csv:missing;missing,,,50
图片33,图片33_29efc2f954,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片33/accepted/samples_test__unknown__unknown__图片33__0—AZO__Series_2.csv,300,True,included,330.91298368039196,0.0,10
图片33,图片33_3085c3e247,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片33/accepted/samples_test__unknown__unknown__图片33__AZO_SnOx__Series_1.csv,300,False,global_pce_max_after_window,1029.5070603389972,588.2897487651414,29
图片35,图片35_a002bc6cb7,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片35/accepted/samples_test__unknown__unknown__图片35__Series_1__Series_1.csv,300,False,global_pce_max_after_window,9939.757007994876,2070.7827099989327,25
图片37,图片37_6f14f326fc,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片37/accepted/samples_test__unknown__unknown__图片37__Series_1__Series_1.csv,300,False,shorter_than_window,199.3430329201032,,23
图片37,图片37_000746d01e,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片37/accepted/samples_test__unknown__unknown__图片37__Series_2__Series_2.csv,300,True,included,389.6250188892927,0.0,44
图片39,图片39_ee170f3dae,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片39/accepted/samples_test__unknown__unknown__图片39__Series_1__Series_1.csv,300,True,included,1963.3894378264692,0.0,37
图片39,图片39_bb4eabe158,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片39/accepted/samples_test__unknown__unknown__图片39__Series_2__Series_2.csv,300,True,included,1963.3894378264692,0.0,37
图片4,图片4_31895ed34d,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_1__Series_1.csv,300,False,axis_or_csv:missing;missing,,,32
图片4,图片4_4fe5f51d76,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_2__Series_2.csv,300,False,axis_or_csv:missing;missing,,,32
图片4,图片4_ad6f15abb3,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片4/accepted/samples_test__unknown__unknown__图片4__Series_3__Series_3.csv,300,False,axis_or_csv:missing;missing,,,32
图片42,图片42_19506aa641,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片42/accepted/samples_test__unknown__unknown__图片42__Series_1__Series_1.csv,300,False,shorter_than_window,276.1276966504159,,52
图片42,图片42_7d207d471d,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片42/accepted/samples_test__unknown__unknown__图片42__Series_2__Series_2.csv,300,False,shorter_than_window,276.1276966504159,,52
图片47,图片47_21e1cba1d1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片47/accepted/samples_test__unknown__unknown__图片47__EtCz3EPA_PTAA_BCP__Series_1.csv,300,True,included,4794.717909237788,223.0101353133855,44
图片47,图片47_46ad798915,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片47/accepted/samples_test__unknown__unknown__图片47__PTAA_BCP__Series_2.csv,300,False,global_pce_max_after_window,4348.697638611017,334.5152029700781,40
图片48,图片48_18bb53501c,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA_PTAA_BCP__Series_1.csv,300,True,included,1845.3625184336338,90.01768382603092,42
图片48,图片48_bf7136b28b,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__EtCz3EPA__Series_2.csv,300,True,included,1305.2564154774484,0.0,30
图片48,图片48_5bbb0059b4,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片48/accepted/samples_test__unknown__unknown__图片48__PTAA_BCP__Series_3.csv,300,True,included,720.1414706082476,0.0,17
图片50,图片50_c0a214ebf5,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片50/accepted/samples_test__unknown__unknown__图片50__Series_1__Series_1.csv,300,True,included,988.880643929825,21.497405302822287,47
图片51,图片51_532fa757f2,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片51/accepted/samples_test__unknown__unknown__图片51__Series_1__Series_1.csv,300,False,axis_or_csv:missing,,,17
图片51,图片51_41acdf5ccd,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片51/accepted/samples_test__unknown__unknown__图片51__Series_2__Series_2.csv,300,False,axis_or_csv:missing,,,48
图片52,图片52_b273f3e758,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片52/accepted/samples_test__unknown__unknown__图片52__Series_1__Series_1.csv,300,False,axis_or_csv:missing;missing,,,49
图片52,图片52_476f5edfc5,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片52/accepted/samples_test__unknown__unknown__图片52__Series_2__Series_2.csv,300,False,axis_or_csv:missing;missing,,,48
图片55,图片55_2bb88618e1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片55/accepted/samples_test__unknown__unknown__图片55__Series_1__Series_1.csv,300,False,axis_or_csv:missing;missing,,,44
图片55,图片55_264b8f25f7,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片55/accepted/samples_test__unknown__unknown__图片55__Series_2__Series_2.csv,300,False,axis_or_csv:missing;missing,,,44
图片57,图片57_f0bc9782cf,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片57/accepted/samples_test__unknown__unknown__图片57__Series_1__Series_1.csv,300,False,axis_or_csv:missing;missing,,,53
图片57,图片57_faadc8232e,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片57/accepted/samples_test__unknown__unknown__图片57__Series_2__Series_2.csv,300,False,axis_or_csv:missing;missing,,,53
图片58,图片58_d69ce56cdb,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_1__Series_1.csv,300,True,included,2265.7268956153443,0.0,37
图片58,图片58_50448758b7,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_2__Series_2.csv,300,True,included,2328.663753826882,0.0,38
图片58,图片58_b811f75376,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片58/accepted/samples_test__unknown__unknown__图片58__Series_3__Series_3.csv,300,True,included,2328.663753826882,0.0,38
图片59,图片59_0e2117ef59,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Control__Series_1.csv,300,True,included,998.2401077705126,0.0,44
图片59,图片59_e3475cdbf8,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片59/accepted/samples_test__unknown__unknown__图片59__Target__Series_2.csv,300,True,included,998.2401077705125,0.0,44
图片6,图片6_3aee0ce6fd,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_1__Series_1.csv,300,False,axis_or_csv:non_time_cycle,,,64
图片6,图片6_e65a31853e,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_2__Series_2.csv,300,False,axis_or_csv:non_time_cycle,,,63
图片6,图片6_e25af81242,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_3__Series_3.csv,300,False,axis_or_csv:non_time_cycle,,,62
图片6,图片6_cc7eaa391b,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_4__Series_4.csv,300,False,axis_or_csv:non_time_cycle,,,63
图片60,图片60_4f22cb4e55,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_1__Series_1.csv,300,False,axis_or_csv:missing;missing,,,43
图片60,图片60_2cfb4795aa,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_2__Series_2.csv,300,False,axis_or_csv:missing;missing,,,17
